aciPOW-CurA1_HVNK0001,LAAXIANGDIANLIU,aciPOW-CurA1,A,aciPOW-CurA1
aciPOW-CurB1_HVNK0001,LBBXIANGDIANLIU,aciPOW-CurB1,A,aciPOW-CurB1
aciPOW-CurC1_HVNK0001,LCCXIANGDIANLIU,aciPOW-CurC1,A,aciPOW-CurC1
aciPOW-IoCurIn_HVNK0001,INLINGXUDIANLIU,aciPOW-IoCurIn,A,aciPOW-IoCurIn
aciPOW-VoltA3_HVNK0001,VAAXIANGDIANYA,aciPOW-VoltA3,kV,aciPOW-VoltA3
aciPOW-VoltB3_HVNK0001,VBBXIANGDIANYA,aciPOW-VoltB3,kV,aciPOW-VoltB3
aciPOW-VoltC3_HVNK0001,VCCXIANGDIANYA,aciPOW-VoltC3,kV,aciPOW-VoltC3
aciPOW-Uab1_HVNK0001,VABABXIANDIANYA,aciPOW-Uab1,kV,aciPOW-Uab1
aciPOW-Ubc1_HVNK0001,VBCBCXIANDIANYA,aciPOW-Ubc1,kV,aciPOW-Ubc1
aciPOW-Uca1_HVNK0001,VCACAXIANDIANYA,aciPOW-Uca1,kV,aciPOW-Uca1
aciPOW-WithPowP_HVNK0001,PYOUGONGGONGLV,aciPOW-WithPowP,,aciPOW-WithPowP
aciPOW-NoPowQ_HVNK0001,QWUGONGGONGLV,aciPOW-NoPowQ,,aciPOW-NoPowQ
aciPOW-VoltFreq_HVNK0001,FREQPINLV,aciPOW-VoltFreq,HZ,aciPOW-VoltFreq
aciPOW-Cos_HVNK0001,COSGONGLVYINSHU,aciPOW-Cos,,aciPOW-Cos
aciPOW-CovTemp1_NKNB0001,1BIANLIUQIWENDU,aciPOW-CovTemp1,Centi Degree,aciPOW-CovTemp1
aciPOW-CovACCur1_NKNB0001,1BIANLIUQIJIAOLIUDIANLIU,aciPOW-CovACCur1,A,aciPOW-CovACCur1
aciPOW-CovDCCur1_NKNB0001,1BIANLIUQIZHILIUDIANLIU,aciPOW-CovDCCur1,A,aciPOW-CovDCCur1
aciPOW-CovTemp2_NKNB0001,2BIANLIUQIWENDU,aciPOW-CovTemp2,Centi Degree,aciPOW-CovTemp2
aciPOW-CovACCur2_NKNB0001,2BIANLIUQIJIAOLIUDIANLIU,aciPOW-CovACCur2,A,aciPOW-CovACCur2
aciPOW-CovDCCur2_NKNB0001,2BIANLIUQIZHILIUDIANLIU,aciPOW-CovDCCur2,A,aciPOW-CovDCCur2
aciPOW-DCVolt_NKNB0001,ZHILIUZONGDIANYA,aciPOW-DCVolt,kV,aciPOW-DCVolt
aciPOW-DCCur_NKNB0001,ZHILIUZONGDIANLIU,aciPOW-DCCur,A,aciPOW-DCCur
aciPOW-BLVolt_ZSKX0001,MUXIANDIANYA,aciPOW-BLVolt,V,aciPOW-BLVolt
aciPOW-FDCur_ZSKX0001,KUIXIANDIANLIU,aciPOW-FDCur,A,aciPOW-FDCur
aciPOW-RetCur_NKFJ0001,HUILIUDIANLIU,aciPOW-RetCur,A,aciPOW-RetCur
aciPOW-BrkFrmCur_NKFJ0001,NENGKUIKUANGJIADIANLIU,aciPOW-BrkFrmCur,A,aciPOW-BrkFrmCur
aciPOW-TrsTmpCtrA_NKWQ0001,AXIANGWENDU,aciPOW-TrsTmpCtrA,,aciPOW-TrsTmpCtrA
aciPOW-TrsTmpCtrB_NKWQ0001,BXIANGWENDU,aciPOW-TrsTmpCtrB,,aciPOW-TrsTmpCtrB
aciPOW-TrsTmpCtrC_NKWQ0001,CXIANGWENDU,aciPOW-TrsTmpCtrC,,aciPOW-TrsTmpCtrC
aciPOW-VoltA2_DDB_0007,AXIANGXIANGDIANYA,aciPOW-VoltA2,V,aciPOW-VoltA2
aciPOW-VoltB2_DDB_0007,BXIANGXIANGDIANYA,aciPOW-VoltB2,V,aciPOW-VoltB2
aciPOW-VoltC2_DDB_0007,CXIANGXIANGDIANYA,aciPOW-VoltC2,V,aciPOW-VoltC2
aciPOW-PNoPow_DDB_0007,ZHENGXIANGWUGONGDIANDU,aciPOW-PNoPow,VARH,aciPOW-PNoPow
aciPOW-NNoPow_DDB_0007,FANXIANGWUGONGDIANDU,aciPOW-NNoPow,VARH,aciPOW-NNoPow
aciPOW-PWithPow_DDB_0007,ZHENGXIANGYOUGONGDIANDU,aciPOW-PWithPow,WH,aciPOW-PWithPow
aciPOW-NWithPow_DDB_0007,FANXIANGYOUGONGDIANDU,aciPOW-NWithPow,WH,aciPOW-NWithPow
aciPOW-PowFact_DDB_0007,ZONGGONGLVYINSHU,aciPOW-PowFact,,aciPOW-PowFact
