dciPOW-SwtPos_NLDG0001,DS85 Iso Pos,dciPOW-SwtPos
dciPOW-PowFlt_NLDG0001,DS85 Power Fault,dciPOW-PowFlt
dciPOW-OpeAlw_NLDG0001,DS85 Oper Allow,dciPOW-OpeAlw
dciPOW-CCtrlMode_NLDG0001,CCtrl Mode,dciPOW-CCtrlMode
dciPOW-CtrlScrn_NLDG0001,Control Screen,dciPOW-CtrlScrn
dciPOW-Maintain_NLDG0001,Maintain,dciPOW-Maintain
dciPOW-Forbid_NLDG0001,Forbid,dciPOW-Forbid
dciPOW-Ground_NLDG0001,Ground,dciPOW-Ground
dciPOW-PowIscs_NLDG0001,PSCADA to ISCS,dciPOW-PowIscs
dciPOW-RightPos_NLDG0001,Right Pos,dciPOW-RightPos
dciPOW-RecComm_NLDG0001,Rec Comm,dciPOW-RecComm
