AZMPOWNLDG0001,NLDG0001,1
dciPOW-CCtrlMode_NLDG0001,dciPOW-CCtrlMode,2
dfoPOW_CCtrlMode_NLDG0001,dfo,3
dacPOW-CCtrlMode_NLDG0001,dac,3
dalPOW-CCtrlMode_NLDG0001,dal,3
dciPOW-CtrlScrn_NLDG0001,dciPOW-CtrlScrn,2
dfoPOW_CtrlScrn_NLDG0001,dfo,3
dacPOW-CtrlScrn_NLDG0001,dac,3
dalPOW-CtrlScrn_NLDG0001,dal,3
dciPOW-Forbid_NLDG0001,dciPOW-Forbid,2
dfoPOW_Forbid_NLDG0001,dfo,3
dacPOW-Forbid_NLDG0001,dac,3
dalPOW-Forbid_NLDG0001,dal,3
dciPOW-Ground_NLDG0001,dciPOW-Ground,2
dfoPOW_Ground_NLDG0001,dfo,3
dacPOW-Ground_NLDG0001,dac,3
dalPOW-Ground_NLDG0001,dal,3
dciPOW-Maintain_NLDG0001,dciPOW-Maintain,2
dfoPOW_Maintain_NLDG0001,dfo,3
dacPOW-Maintain_NLDG0001,dac,3
dalPOW-Maintain_NLDG0001,dal,3
dciPOW-OpeAlw_NLDG0001,dciPOW-OpeAlw,2
dfoPOW_OpeAlw_NLDG0001,dfo,3
dacPOW-OpeAlw_NLDG0001,dac,3
dalPOW-OpeAlw_NLDG0001,dal,3
dciPOW-PowFlt_NLDG0001,dciPOW-PowFlt,2
dfoPOW_PowFlt_NLDG0001,dfo,3
dacPOW-PowFlt_NLDG0001,dac,3
dalPOW-PowFlt_NLDG0001,dal,3
dciPOW-PowIscs_NLDG0001,dciPOW-PowIscs,2
dfoPOW_PowIscs_NLDG0001,dfo,3
dacPOW-PowIscs_NLDG0001,dac,3
dalPOW-PowIscs_NLDG0001,dal,3
dciPOW-RecComm_NLDG0001,dciPOW-RecComm,2
dfoPOW_RecComm_NLDG0001,dfo,3
dacPOW-RecComm_NLDG0001,dac,3
dalPOW-RecComm_NLDG0001,dal,3
dciPOW-RightPos_NLDG0001,dciPOW-RightPos,2
dfoPOW_RightPos_NLDG0001,dfo,3
dacPOW-RightPos_NLDG0001,dac,3
dalPOW-RightPos_NLDG0001,dal,3
dciPOW-SwtPos_NLDG0001,dciPOW-SwtPos,2
dfoPOW_SwtPos_NLDG0001,dfo,3
dacPOW-SwtPos_NLDG0001,dac,3
dalPOW-SwtPos_NLDG0001,dal,3
dioPOW-Close_NLDG0001,dioPOW-Close,2
dovPOW-HeZha_Close_NLDG0001,dovPOW-HeZha,3
dioPOW-Open_NLDG0001,dioPOW-Open,2
dovPOW-FenZha_Open_NLDG0001,dovPOW-FenZha,3
dioPOW-Screen_NLDG0001,dioPOW-Screen,2
dovPOW-Cancl_Screen_NLDG0001,dovPOW-Cancl,3
dovPOW-Exe_Screen_NLDG0001,dovPOW-Exe,3
sioPOW-HangMain_NLDG0001,sioPOW-HangMain,2
sioPOW-HangForb_NLDG0001,sioPOW-HangForb,2
sioPOW-HangGrnd_NLDG0001,sioPOW-HangGrnd,2
sioPOW-IscsPow_NLDG0001,sioPOW-IscsPow,2
