ID,nom_instance,reference_import,address,deadband,label,length,name,type,ELEMENT_NAME,varInvalid1,varInvalid2,varInvalid3,functCheck,functTrans
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_1GenAlmM,deiSTAUCST000BACSHVACACSERU_1GenAlmM,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Minor),4,deiSTAUCST000BACSHVACACSERU_1GenAlmM,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_1GenAlm,deiSTAUCST000BACSHVACACSERU_1GenAlm,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Major),4,deiSTAUCST000BACSHVACACSERU_1GenAlm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_1RtTemp,aeiSTAUCST000BACSHVACACSERU_1RtTemp,M-Conf 30/01/18 16:54,$VOID,0,Return Temperature,4,aeiSTAUCST000BACSHVACACSERU_1RtTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_1SpTemp,aeiSTAUCST000BACSHVACACSERU_1SpTemp,M-Conf 30/01/18 16:54,$VOID,0,Supply Temperature,4,aeiSTAUCST000BACSHVACACSERU_1SpTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_1EmStp,deiSTAUCST000BACSHVACACSERU_1EmStp,M-Conf 30/01/18 16:54,$VOID,0,Emergency Stop Push-Button-Control Operation,4,deiSTAUCST000BACSHVACACSERU_1EmStp,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_1TpAlrm,deiSTAUCST000BACSHVACACSERU_1TpAlrm,M-Conf 30/01/18 16:54,$VOID,0,Sum Of Major Fault/Trip Alarms-Trip,4,deiSTAUCST000BACSHVACACSERU_1TpAlrm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_2GenAlmM,deiSTAUCST000BACSHVACACSERU_2GenAlmM,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Minor),4,deiSTAUCST000BACSHVACACSERU_2GenAlmM,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_2GenAlm,deiSTAUCST000BACSHVACACSERU_2GenAlm,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Major),4,deiSTAUCST000BACSHVACACSERU_2GenAlm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_2RtTemp,aeiSTAUCST000BACSHVACACSERU_2RtTemp,M-Conf 30/01/18 16:54,$VOID,0,Return Temperature,4,aeiSTAUCST000BACSHVACACSERU_2RtTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_2SpTemp,aeiSTAUCST000BACSHVACACSERU_2SpTemp,M-Conf 30/01/18 16:54,$VOID,0,Supply Temperature,4,aeiSTAUCST000BACSHVACACSERU_2SpTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_2EmStp,deiSTAUCST000BACSHVACACSERU_2EmStp,M-Conf 30/01/18 16:54,$VOID,0,Emergency Stop Push-Button-Control Operation,4,deiSTAUCST000BACSHVACACSERU_2EmStp,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_2TpAlrm,deiSTAUCST000BACSHVACACSERU_2TpAlrm,M-Conf 30/01/18 16:54,$VOID,0,Sum Of Major Fault/Trip Alarms-Trip,4,deiSTAUCST000BACSHVACACSERU_2TpAlrm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_3GenAlmM,deiSTAUCST000BACSHVACACSERU_3GenAlmM,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Minor),4,deiSTAUCST000BACSHVACACSERU_3GenAlmM,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_3GenAlm,deiSTAUCST000BACSHVACACSERU_3GenAlm,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Major),4,deiSTAUCST000BACSHVACACSERU_3GenAlm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_3RtTemp,aeiSTAUCST000BACSHVACACSERU_3RtTemp,M-Conf 30/01/18 16:54,$VOID,0,Return Temperature,4,aeiSTAUCST000BACSHVACACSERU_3RtTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_3SpTemp,aeiSTAUCST000BACSHVACACSERU_3SpTemp,M-Conf 30/01/18 16:54,$VOID,0,Supply Temperature,4,aeiSTAUCST000BACSHVACACSERU_3SpTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_3EmStp,deiSTAUCST000BACSHVACACSERU_3EmStp,M-Conf 30/01/18 16:54,$VOID,0,Emergency Stop Push-Button-Control Operation,4,deiSTAUCST000BACSHVACACSERU_3EmStp,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_3TpAlrm,deiSTAUCST000BACSHVACACSERU_3TpAlrm,M-Conf 30/01/18 16:54,$VOID,0,Sum Of Major Fault/Trip Alarms-Trip,4,deiSTAUCST000BACSHVACACSERU_3TpAlrm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_4GenAlmM,deiSTAUCST000BACSHVACACSERU_4GenAlmM,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Minor),4,deiSTAUCST000BACSHVACACSERU_4GenAlmM,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_4GenAlm,deiSTAUCST000BACSHVACACSERU_4GenAlm,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Major),4,deiSTAUCST000BACSHVACACSERU_4GenAlm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_4RtTemp,aeiSTAUCST000BACSHVACACSERU_4RtTemp,M-Conf 30/01/18 16:54,$VOID,0,Return Temperature,4,aeiSTAUCST000BACSHVACACSERU_4RtTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_4SpTemp,aeiSTAUCST000BACSHVACACSERU_4SpTemp,M-Conf 30/01/18 16:54,$VOID,0,Supply Temperature,4,aeiSTAUCST000BACSHVACACSERU_4SpTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_4EmStp,deiSTAUCST000BACSHVACACSERU_4EmStp,M-Conf 30/01/18 16:54,$VOID,0,Emergency Stop Push-Button-Control Operation,4,deiSTAUCST000BACSHVACACSERU_4EmStp,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_4TpAlrm,deiSTAUCST000BACSHVACACSERU_4TpAlrm,M-Conf 30/01/18 16:54,$VOID,0,Sum Of Major Fault/Trip Alarms-Trip,4,deiSTAUCST000BACSHVACACSERU_4TpAlrm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_5GenAlmM,deiSTAUCST000BACSHVACACSERU_5GenAlmM,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Minor),4,deiSTAUCST000BACSHVACACSERU_5GenAlmM,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_5GenAlm,deiSTAUCST000BACSHVACACSERU_5GenAlm,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Major),4,deiSTAUCST000BACSHVACACSERU_5GenAlm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_5RtTemp,aeiSTAUCST000BACSHVACACSERU_5RtTemp,M-Conf 30/01/18 16:54,$VOID,0,Return Temperature,4,aeiSTAUCST000BACSHVACACSERU_5RtTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_5SpTemp,aeiSTAUCST000BACSHVACACSERU_5SpTemp,M-Conf 30/01/18 16:54,$VOID,0,Supply Temperature,4,aeiSTAUCST000BACSHVACACSERU_5SpTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_5EmStp,deiSTAUCST000BACSHVACACSERU_5EmStp,M-Conf 30/01/18 16:54,$VOID,0,Emergency Stop Push-Button-Control Operation,4,deiSTAUCST000BACSHVACACSERU_5EmStp,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_5TpAlrm,deiSTAUCST000BACSHVACACSERU_5TpAlrm,M-Conf 30/01/18 16:54,$VOID,0,Sum Of Major Fault/Trip Alarms-Trip,4,deiSTAUCST000BACSHVACACSERU_5TpAlrm,DEIV,VE,,,,,
