ID,ELEMENT_NAME,shortLabel,type
:R:A:BAS,basicNode,,
:R:A:BAS:TVF_,BASEquipment,&DB_SUIDAOSHIGUFENGJI,
:R:A:BAS:TEF_,BASEquipment,&DB_PAIREFENGJI,
:R:A:BAS:JET_,BASEquipment,&DB_SHELIUFENGJI,
:R:A:BAS:FAND,BASEquipment,&DB_DAXITONGDANSUFENGJI,
:R:A:BAS:FANX,BASEquipment,&DB_XIAOXITONGDANSUFENGJI,
:R:A:BAS:FANR,BASEquipment,&DB_RENFANGTONGFENGXITONGD,
:R:A:BAS:LQB_,BASEquipment,&DB_LENGQUEBENG,
:R:A:BAS:LQT_,BASEquipment,&DB_LENGQUETA,
:R:A:BAS:HPFD,BASEquipment,&DB_DAXITONGHUIPAIFENGJI,
:R:A:BAS:AHUD,BASEquipment,&DB_DAXITONGZUHEKONGTIAOJI,
:R:A:BAS:LDB_,BASEquipment,&DB_LENGDONGSHUIBENG,
:R:A:BAS:DDZF,BASEquipment,&DB_DIANDONGZUHEFENGFA,
:R:A:BAS:DDFD,BASEquipment,&DB_DAXITONGDIANDONGFENGFA,
:R:A:BAS:DDFX,BASEquipment,&DB_XIAOXITONGDIANDONGFENG,
:R:A:BAS:DDFR,BASEquipment,&DB_RENFANGTONGFENGXITONGD1,
:R:A:BAS:DDDF,BASEquipment,&DB_DIANDONGDIEFA,
:R:A:BAS:TDDF,BASEquipment,&DB_DAXITONGSANWEIZHIDIAND,
:R:A:BAS:XDDF,BASEquipment,&DB_XIAOXITONGSANWEIZHIDIA,
:R:A:BAS:DJSB,BASEquipment,&DB_DANDIANYUANCHEZHANSHUA,
:R:A:BAS:SJSB,BASEquipment,&DB_SHUANGDIANYUANCHEZHANS,
:R:A:BAS:QJSB,BASEquipment,&DB_SHUANGDIANYUANQUJIANSH,
:R:A:BAS:TJSB,BASEquipment,&DB_SANBENGFEISHUIBENG,
:R:A:BAS:EPS_,BASEquipment,&DB_YINGJIDIANYUAN,
:R:A:BAS:EPS1,BASEquipment,&DB_YINGJIDIANYUAN,
:R:A:BAS:SSZZ,BASEquipment,&DB_QUJIANSHUSANZHISHI,
:R:A:BAS:ZNZM,BASEquipment,&DB_ZHINENGZHAOMING,
:R:A:BAS:WSTS,BASEquipment,&DB_MIBIWUSHUITISHENGZHUAN,
:R:A:BAS:WSZZ,BASEquipment,&DB_MIBIWUSHUITISHENGZHUAN,
:R:A:BAS:DT__,BASEquipment,&DB_DIANTI,
:R:A:BAS:CRFT,BASEquipment,&DB_CHURUKOUFUTI,
:R:A:BAS:ZNFT,BASEquipment,&DB_ZHANNEIFUTI,
:R:A:BAS:GFKX,BASEquipment,&DB_GAOJIAZHANFENGJIKONGZH,
:R:A:BAS:LSJZ,BASEquipment,&DB_LENGSHUIJIZU,
:R:A:BAS:TVFB,BASEquipment,&DB_SUIDAOSHIGUFENGJIYIBIA,
:R:A:BAS:TEFB,BASEquipment,&DB_PAIREFENGJIYIBIAOXIANG,
:R:A:BAS:KQJC,BASEquipment,&DB_KONGQIZAIXIANJIANCEZHU,
