ID,ELEMENT_NAME,ackAutomaton,valueAutomaton,theme
:R:A:BAS:TVF_:dciBAS-MANAUTO:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TVF_:dciBAS-BASLOC:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TVF_:dciBAS-BASECS:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TVF_:dciBAS-FOWSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TVF_:dciBAS-REVSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TVF_:dciBAS-STPSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TVF_:dciBAS-FALA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TVF_:dciBAS-SYSGS:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TEF_:dciBAS-MANAUTO:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TEF_:dciBAS-BASLOC:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TEF_:dciBAS-ENCTL:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TEF_:dciBAS-RUNSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TEF_:dciBAS-STOPSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TEF_:dciBAS-FALA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TEF_:dciBAS-ECSPOS:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TEF_:dciBAS-NCFRSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TEF_:dciBAS-FRQOPER:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TEF_:dciBAS-FREQFLT:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TEF_:dciBAS-SYSGS:dal,dal_type,Ack,DIBasic2StateLog,0
