ID,ELEMENT_NAME
:R:A:FG:FG__:aciFG-WATTUNL:afo,afo_type
:R:A:FG:FG__:aciFG-TUNLRISPD:afo,afo_type
:R:A:FG:FG__:dciFG-OPNSTA:dfo,dfo_type
:R:A:FG:FG__:dciFG-CLOSTA:dfo,dfo_type
:R:A:FG:FG__:dciFG-OPNPSTA:dfo,dfo_type
:R:A:FG:FG__:dciFG-CLOPSTA:dfo,dfo_type
:R:A:FG:FG__:dciFG-FLTALM:dfo,dfo_type
:R:A:FG:FG__:dciFG-CLOSREST:dfo,dfo_type
:R:A:FG:FG__:dciFG-IBPCLOREST:dfo,dfo_type
:R:A:FG:FG__:dciFG-CLOALLOW:dfo,dfo_type
:R:A:FG:FG__:dciFG-ALMLVL1:dfo,dfo_type
:R:A:FG:FG__:dciFG-ALMLVL2:dfo,dfo_type
