ID,ELEMENT_NAME,ctlvalue,initCond1,returnCond1,returnCondTO
:R:A:BAS:TVF_:dioBAS-MANAUTO:dovBAS-CTLVAL0,dov_type,0,"IF([^:^:dciBAS-MANAUTO.value]=1,1,0)","IF([^:^:dciBAS-MANAUTO.value]=0,1,0)",30
:R:A:BAS:TVF_:dioBAS-MANAUTO:dovBAS-CTLVAL1,dov_type,1,"IF([^:^:dciBAS-MANAUTO.value]=0,1,0)","IF([^:^:dciBAS-MANAUTO.value]=1,1,0)",30
:R:A:BAS:TVF_:dioBAS-FWDCTL:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-BASLOC.value]=1) AND ([^:^:dciBAS-BASECS.value]=1) AND ([^:^:dciBAS-STPSTA.value]=1),1,0)","IF([^:^:dciBAS-FOWSTA.value]=1,1,0)",30
:R:A:BAS:TVF_:dioBAS-REVCTL:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-BASLOC.value]=1) AND ([^:^:dciBAS-BASECS.value]=1) AND ([^:^:dciBAS-STPSTA.value]=1),1,0)","IF([^:^:dciBAS-REVSTA.value]=1,1,0)",30
:R:A:BAS:TVF_:dioBAS-STOP:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-BASLOC.value]=1) AND ([^:^:dciBAS-BASECS.value]=1) AND (([^:^:dciBAS-FOWSTA.value]=1) OR ([^:^:dciBAS-REVSTA.value]=1)),1,0)","IF([^:^:dciBAS-STPSTA.value]=1,1,0)",30
:R:A:BAS:TEF_:dioBAS-MANAUTO:dovBAS-CTLVAL0,dov_type,0,"IF([^:^:dciBAS-MANAUTO.value]=1,1,0)","IF([^:^:dciBAS-MANAUTO.value]=0,1,0)",30
:R:A:BAS:TEF_:dioBAS-MANAUTO:dovBAS-CTLVAL1,dov_type,1,"IF([^:^:dciBAS-MANAUTO.value]=0,1,0)","IF([^:^:dciBAS-MANAUTO.value]=1,1,0)",30
:R:A:BAS:TEF_:dioBAS-START:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-BASLOC.value]=1) AND ([^:^:dciBAS-ENCTL.value]=1) AND ([^:^:dciBAS-STOPSTA.value]=1),1,0)","IF([^:^:dciBAS-RUNSTA.value]=1,1,0)",30
:R:A:BAS:TEF_:dioBAS-STOP:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-BASLOC.value]=1) AND ([^:^:dciBAS-ENCTL.value]=1) AND ([^:^:dciBAS-RUNSTA.value]=1),1,0)","IF([^:^:dciBAS-STOPSTA.value]=1,1,0)",30
:R:A:BAS:TEF_:dioBAS-FQSTART:dovBAS-CTLVAL1,dov_type,1,"IF([^:^:dciBAS-ECSPOS.value]=1,1,0)","IF([^:^:dciBAS-FRQOPER.value]=1,1,0)",30
:R:A:BAS:TEF_:dioBAS-FQSTOP:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-ECSPOS.value]=1) AND ([^:^:dciBAS-FRQOPER.value]=1),1,0)","IF([^:^:dciBAS-FRQOPER.value]=0,1,0)",30
:R:A:BAS:JET_:dioBAS-MANAUTO:dovBAS-CTLVAL0,dov_type,0,"IF([^:^:dciBAS-MANAUTO.value]=1,1,0)","IF([^:^:dciBAS-MANAUTO.value]=0,1,0)",30
:R:A:BAS:JET_:dioBAS-MANAUTO:dovBAS-CTLVAL1,dov_type,1,"IF([^:^:dciBAS-MANAUTO.value]=0,1,0)","IF([^:^:dciBAS-MANAUTO.value]=1,1,0)",30
:R:A:BAS:JET_:dioBAS-FWDCTL:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-BASLOC.value]=1) AND ([^:^:dciBAS-BASECS.value]=1) AND ([^:^:dciBAS-STPSTA.value]=1),1,0)","IF([^:^:dciBAS-FOWSTA.value]=1,1,0)",30
:R:A:BAS:JET_:dioBAS-REVCTL:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-BASLOC.value]=1) AND ([^:^:dciBAS-BASECS.value]=1) AND ([^:^:dciBAS-STPSTA.value]=1),1,0)","IF([^:^:dciBAS-REVSTA.value]=1,1,0)",30
:R:A:BAS:JET_:dioBAS-STOP:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-BASLOC.value]=1) AND ([^:^:dciBAS-BASECS.value]=1) AND (([^:^:dciBAS-FOWSTA.value]=1) OR ([^:^:dciBAS-REVSTA.value]=1)),1,0)","IF([^:^:dciBAS-STPSTA.value]=1,1,0)",30
:R:A:BAS:FAND:dioBAS-MANAUTO:dovBAS-CTLVAL0,dov_type,0,"IF([^:^:dciBAS-MANAUTO.value]=1,1,0)","IF([^:^:dciBAS-MANAUTO.value]=0,1,0)",30
:R:A:BAS:FAND:dioBAS-MANAUTO:dovBAS-CTLVAL1,dov_type,1,"IF([^:^:dciBAS-MANAUTO.value]=0,1,0)","IF([^:^:dciBAS-MANAUTO.value]=1,1,0)",30
