ID,v0,v1,v2,v3,v4
:R:A:BAS:TEF_:aciBAS-FEQFDBK:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:TEF_:aciBAS-AVGCUR:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:TEF_:aciBAS-AVGVOLT:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:HPFD:aciBAS-FEQFDBK:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:HPFD:aciBAS-AVGCUR:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:HPFD:aciBAS-AVGVOLT:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:AHUD:aciBAS-FEQFDBK:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:AHUD:aciBAS-AVGCUR:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:AHUD:aciBAS-AVGVOLT:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:LDB_:aciBAS-FEQFDBK:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:LDB_:aciBAS-AVGCUR:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:LDB_:aciBAS-AVGVOLT:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:DJSB:aciBAS-LEVSTA:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:DJSB:aciBAS-RUNTIME1:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:DJSB:aciBAS-RUMTIME2:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:SJSB:aciBAS-LEVSTA:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:SJSB:aciBAS-RUNTIME1:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:SJSB:aciBAS-RUMTIME2:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:QJSB:aciBAS-LEVSTA:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:QJSB:aciBAS-RUNTIME1:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:QJSB:aciBAS-RUMTIME2:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:TJSB:aciBAS-LEVSTA:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:TJSB:aciBAS-RUNTIME1:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:TJSB:aciBAS-RUMTIME2:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:TJSB:aciBAS-RUNTIME3:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:EPS_:aciBAS-TOTVOLT:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:EPS_:aciBAS-BATTEMP:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:EPS_:aciBAS-INVOLTPHA:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:EPS_:aciBAS-INVOLTPHB:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
