ID,v0,v1,v2,v3,v4,v5,v6,v7
:R:A:BAS:TVF_:dciBAS-MANAUTO:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-MANAUTO:dal:V_valueTable_label,&DB_ZIDO2,&DB_SHOU2,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-MANAUTO:dal:V_valueTable_severity,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-MANAUTO:dal:V_valueTable_state,N,N,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-MANAUTO:dal:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-BASLOC:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-BASLOC:dal:V_valueTable_label,&DB_LOCAL1,&DB_BASH,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-BASLOC:dal:V_valueTable_severity,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-BASLOC:dal:V_valueTable_state,N,N,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-BASLOC:dal:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-BASECS:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-BASECS:dal:V_valueTable_label,&DB_HUAN,&DB_BAS,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-BASECS:dal:V_valueTable_severity,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-BASECS:dal:V_valueTable_state,N,N,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-BASECS:dal:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-FOWSTA:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-FOWSTA:dal:V_valueTable_label,&DB_WUYI,&DB_ZHEN8,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-FOWSTA:dal:V_valueTable_severity,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-FOWSTA:dal:V_valueTable_state,N,N,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-FOWSTA:dal:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-REVSTA:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-REVSTA:dal:V_valueTable_label,&DB_WUYI,&DB_FANZ2,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-REVSTA:dal:V_valueTable_severity,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-REVSTA:dal:V_valueTable_state,N,N,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-REVSTA:dal:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-STPSTA:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-STPSTA:dal:V_valueTable_label,&DB_WUYI,&DB_TING1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-STPSTA:dal:V_valueTable_severity,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-STPSTA:dal:V_valueTable_state,N,N,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-STPSTA:dal:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-FALA:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-FALA:dal:V_valueTable_label,&DB_WUYI,&DB_GUZH,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-FALA:dal:V_valueTable_severity,0,2,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-FALA:dal:V_valueTable_state,N,A,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-FALA:dal:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-SYSGS:dal:V_valueTable_format,0,0,0,0,0,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-SYSGS:dal:V_valueTable_label,&DB_WUYI,&DB_TONG,&DB_KONG2,&DB_GEIP,&DB_DIYA,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-SYSGS:dal:V_valueTable_severity,0,0,0,0,0,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-SYSGS:dal:V_valueTable_state,N,N,N,N,N,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TVF_:dciBAS-SYSGS:dal:V_valueTable_value,0,1,2,3,4,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-MANAUTO:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-MANAUTO:dal:V_valueTable_label,&DB_ZIDO2,&DB_SHOU2,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-MANAUTO:dal:V_valueTable_severity,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-MANAUTO:dal:V_valueTable_state,N,N,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-MANAUTO:dal:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-BASLOC:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-BASLOC:dal:V_valueTable_label,&DB_LOCAL1,&DB_BASH,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-BASLOC:dal:V_valueTable_severity,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-BASLOC:dal:V_valueTable_state,N,N,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-BASLOC:dal:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-ENCTL:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-ENCTL:dal:V_valueTable_label,&DB_HUAN,&DB_BAS,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-ENCTL:dal:V_valueTable_severity,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-ENCTL:dal:V_valueTable_state,N,N,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-ENCTL:dal:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-RUNSTA:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-RUNSTA:dal:V_valueTable_label,&DB_WUYI,&DB_YUNX1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-RUNSTA:dal:V_valueTable_severity,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-RUNSTA:dal:V_valueTable_state,N,N,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-RUNSTA:dal:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-STOPSTA:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-STOPSTA:dal:V_valueTable_label,&DB_WUYI,&DB_TING1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-STOPSTA:dal:V_valueTable_severity,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-STOPSTA:dal:V_valueTable_state,N,N,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-STOPSTA:dal:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-FALA:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-FALA:dal:V_valueTable_label,&DB_WUYI,&DB_GUZH,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-FALA:dal:V_valueTable_severity,0,2,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-FALA:dal:V_valueTable_state,N,A,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-FALA:dal:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-ECSPOS:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-ECSPOS:dal:V_valueTable_label,&DB_HUAN,&DB_BAS,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-ECSPOS:dal:V_valueTable_severity,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-ECSPOS:dal:V_valueTable_state,N,N,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-ECSPOS:dal:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-NCFRSTA:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-NCFRSTA:dal:V_valueTable_label,&DB_BIAN2,&DB_GONG1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-NCFRSTA:dal:V_valueTable_severity,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-NCFRSTA:dal:V_valueTable_state,N,N,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-NCFRSTA:dal:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-FRQOPER:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-FRQOPER:dal:V_valueTable_label,&DB_WUYI,&DB_YUNX1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-FRQOPER:dal:V_valueTable_severity,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-FRQOPER:dal:V_valueTable_state,N,N,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-FRQOPER:dal:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-FREQFLT:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-FREQFLT:dal:V_valueTable_label,&DB_WUYI,&DB_GUZH,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-FREQFLT:dal:V_valueTable_severity,0,2,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-FREQFLT:dal:V_valueTable_state,N,A,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-FREQFLT:dal:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-SYSGS:dal:V_valueTable_format,0,0,0,0,0,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-SYSGS:dal:V_valueTable_label,&DB_WUYI,&DB_TONG,&DB_KONG2,&DB_GEIP,&DB_DIYA,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-SYSGS:dal:V_valueTable_severity,0,0,0,0,0,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-SYSGS:dal:V_valueTable_state,N,N,N,N,N,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:TEF_:dciBAS-SYSGS:dal:V_valueTable_value,0,1,2,3,4,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:JET_:dciBAS-MANAUTO:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:JET_:dciBAS-MANAUTO:dal:V_valueTable_label,&DB_ZIDO2,&DB_SHOU2,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:JET_:dciBAS-MANAUTO:dal:V_valueTable_severity,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:JET_:dciBAS-MANAUTO:dal:V_valueTable_state,N,N,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:JET_:dciBAS-MANAUTO:dal:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:JET_:dciBAS-BASLOC:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
