ID,name,address,type,length,deadband,label,ELEMENT_NAME,varInvalid1,functTrans,SubscriptionPeriod,RefreshPeriod,link_object_is_from_object_type
:R:A:POLE_ZXN:FEP:FG:aeiZXNFGFG__0002-WATTUNL,aeiZXNFGFG__0002-WATTUNL,097/010/00000/0/000016,AEIV,4,0,&DB_FGXX-&DB_FANGYANMEN,VE,deiZXNSYSFEPFG02-COM,,,,
:R:A:POLE_ZXN:FEP:FG:aeiZXNFGFG__0002-TUNLRISPD,aeiZXNFGFG__0002-TUNLRISPD,097/010/00002/0/000016,AEIV,4,0,&DB_FGXX-&DB_FANGYANMEN,VE,deiZXNSYSFEPFG02-COM,,,,
:R:A:POLE_ZXN:FEP:FG:deiZXNFGFG__0002-OPNSTA,deiZXNFGFG__0002-OPNSTA,097/010/00005/0/000001,DEIV,4,0,&DB_FGXX-&DB_FANGYANMEN,VE,deiZXNSYSFEPFG02-COM,,,,
:R:A:POLE_ZXN:FEP:FG:deiZXNFGFG__0002-CLOSTA,deiZXNFGFG__0002-CLOSTA,097/010/00005/1/000001,DEIV,4,0,&DB_FGXX-&DB_FANGYANMEN,VE,deiZXNSYSFEPFG02-COM,,,,
:R:A:POLE_ZXN:FEP:FG:deiZXNFGFG__0002-OPNPSTA,deiZXNFGFG__0002-OPNPSTA,097/010/00005/2/000001,DEIV,4,0,&DB_FGXX-&DB_FANGYANMEN,VE,deiZXNSYSFEPFG02-COM,,,,
:R:A:POLE_ZXN:FEP:FG:deiZXNFGFG__0002-CLOPSTA,deiZXNFGFG__0002-CLOPSTA,097/010/00005/3/000001,DEIV,4,0,&DB_FGXX-&DB_FANGYANMEN,VE,deiZXNSYSFEPFG02-COM,,,,
:R:A:POLE_ZXN:FEP:FG:deiZXNFGFG__0002-FLTALM,deiZXNFGFG__0002-FLTALM,097/010/00005/4/000001,DEIV,4,0,&DB_FGXX-&DB_FANGYANMEN,VE,deiZXNSYSFEPFG02-COM,,,,
:R:A:POLE_ZXN:FEP:FG:deiZXNFGFG__0002-CLOSREST,deiZXNFGFG__0002-CLOSREST,097/010/00005/5/000001,DEIV,4,0,&DB_FGXX-&DB_FANGYANMEN,VE,deiZXNSYSFEPFG02-COM,,,,
:R:A:POLE_ZXN:FEP:FG:deiZXNFGFG__0002-IBPCLOREST,deiZXNFGFG__0002-IBPCLOREST,097/010/00005/6/000001,DEIV,4,0,&DB_FGXX-&DB_FANGYANMEN,VE,deiZXNSYSFEPFG02-COM,,,,
:R:A:POLE_ZXN:FEP:FG:deiZXNFGFG__0002-CLOALLOW,deiZXNFGFG__0002-CLOALLOW,097/010/00005/7/000001,DEIV,4,0,&DB_FGXX-&DB_FANGYANMEN,VE,deiZXNSYSFEPFG02-COM,,,,
:R:A:POLE_ZXN:FEP:FG:deiZXNFGFG__0002-ALMLVL1,deiZXNFGFG__0002-ALMLVL1,097/010/00004/0/000001,DEIV,4,0,&DB_FGXX-&DB_FANGYANMEN,VE,deiZXNSYSFEPFG02-COM,,,,
:R:A:POLE_ZXN:FEP:FG:deiZXNFGFG__0002-ALMLVL2,deiZXNFGFG__0002-ALMLVL2,097/010/00004/1/000001,DEIV,4,0,&DB_FGXX-&DB_FANGYANMEN,VE,deiZXNSYSFEPFG02-COM,,,,
