ID,name,address,type,length,deadband,label,ELEMENT_NAME,varInvalid1,functTrans,SubscriptionPeriod,RefreshPeriod,link_object_is_from_object_type
:R:A:POLE_OCC:FEP:SYS:HOM,HOM,,,,,HOM,GRP_VE,,,,,
:R:A:POLE_OCC:FEP:SYS:HOM:VE0001,deiOCCSYSFEPHOM-COM,$ComStatus-00027/4+5,DEIV,4,0,HOM - FEP COMM STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:HOM:VE0002,deiOCCSYSFEPHOM-INF,$InfStatus-00208/4+5,DEIV,4,0,HOM - FEP INF STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:HOM:VE0003,deoOCCSYSFEPHOM-SET,$SetComStatus-00208-1,DEOV,4,0,HOM - FEP SET COM STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:HOM:VE0004,deiOCCSYSFEPHOM-LINK1,000/001/00027/4/000001,DEIV,4,0,HOM - FEP LINK1 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:HOM:VE0005,deiOCCSYSFEPHOM-LINK2,000/001/00027/5/000001,DEIV,4,0,HOM - FEP LINK2 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:HOM:VE0006,deiOCCSYSFEPHOM-LINK3,000/002/00027/4/000001,DEIV,4,0,HOM - FEP LINK3 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:HOM:VE0007,deiOCCSYSFEPHOM-LINK4,000/002/00027/5/000001,DEIV,4,0,HOM - FEP LINK4 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PSCADA,PSCADA,,,,,PSCADA,GRP_VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PSCADA:VE0001,deiOCCSYSFEPPSCADA-COM,$ComStatus-00029/4+5,DEIV,4,0,PSCADA - FEP COMM STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PSCADA:VE0002,deiOCCSYSFEPPSCADA-INF,$InfStatus-00160/4+5,DEIV,4,0,PSCADA - FEP INF STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PSCADA:VE0003,deoOCCSYSFEPPSCADA-SET,$SetComStatus-00160-1,DEOV,4,0,PSCADA - FEP SET COM STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PSCADA:VE0004,deiOCCSYSFEPPSCADA-LINK1,000/001/00029/4/000001,DEIV,4,0,PSCADA - FEP LINK1 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PSCADA:VE0005,deiOCCSYSFEPPSCADA-LINK2,000/001/00029/5/000001,DEIV,4,0,PSCADA - FEP LINK2 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PSCADA:VE0006,deiOCCSYSFEPPSCADA-LINK3,000/002/00029/4/000001,DEIV,4,0,PSCADA - FEP LINK3 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PSCADA:VE0007,deiOCCSYSFEPPSCADA-LINK4,000/002/00029/5/000001,DEIV,4,0,PSCADA - FEP LINK4 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:BAS,BAS,,,,,BAS,GRP_VE,,,,,
:R:A:POLE_OCC:FEP:SYS:BAS:VE0001,deiOCCSYSFEPBAS-COM,$ComStatus-00031/4+5,DEIV,4,0,BAS - FEP COMM STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:BAS:VE0002,deiOCCSYSFEPBAS-INF,$InfStatus-00123/4+5,DEIV,4,0,BAS - FEP INF STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:BAS:VE0003,deoOCCSYSFEPBAS-SET,$SetComStatus-00123-1,DEOV,4,0,BAS - FEP SET COM STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:BAS:VE0004,deiOCCSYSFEPBAS-LINK1,000/001/00031/4/000001,DEIV,4,0,BAS - FEP LINK1 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:BAS:VE0005,deiOCCSYSFEPBAS-LINK2,000/001/00031/5/000001,DEIV,4,0,BAS - FEP LINK2 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:BAS:VE0006,deiOCCSYSFEPBAS-LINK3,000/002/00031/4/000001,DEIV,4,0,BAS - FEP LINK3 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:BAS:VE0007,deiOCCSYSFEPBAS-LINK4,000/002/00031/5/000001,DEIV,4,0,BAS - FEP LINK4 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:FAS,FAS,,,,,FAS,GRP_VE,,,,,
:R:A:POLE_OCC:FEP:SYS:FAS:VE0001,deiOCCSYSFEPFAS-COM,$ComStatus-00033/4+5,DEIV,4,0,FAS - FEP COMM STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:FAS:VE0002,deiOCCSYSFEPFAS-INF,$InfStatus-00032/4+5,DEIV,4,0,FAS - FEP INF STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:FAS:VE0003,deoOCCSYSFEPFAS-SET,$SetComStatus-00032-1,DEOV,4,0,FAS - FEP SET COM STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:FAS:VE0004,deiOCCSYSFEPFAS-LINK1,000/001/00033/4/000001,DEIV,4,0,FAS - FEP LINK1 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:FAS:VE0005,deiOCCSYSFEPFAS-LINK2,000/001/00033/5/000001,DEIV,4,0,FAS - FEP LINK2 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:FAS:VE0006,deiOCCSYSFEPFAS-LINK3,000/002/00033/4/000001,DEIV,4,0,FAS - FEP LINK3 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:FAS:VE0007,deiOCCSYSFEPFAS-LINK4,000/002/00033/5/000001,DEIV,4,0,FAS - FEP LINK4 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PSD,PSD,,,,,PSD,GRP_VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PSD:VE0001,deiOCCSYSFEPPSD-COM,$ComStatus-00035/4+5,DEIV,4,0,PSD - FEP COMM STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PSD:VE0002,deiOCCSYSFEPPSD-INF,$InfStatus-00033/4+5,DEIV,4,0,PSD - FEP INF STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PSD:VE0003,deoOCCSYSFEPPSD-SET,$SetComStatus-00033-1,DEOV,4,0,PSD - FEP SET COM STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PSD:VE0004,deiOCCSYSFEPPSD-LINK1,000/001/00035/4/000001,DEIV,4,0,PSD - FEP LINK1 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PSD:VE0005,deiOCCSYSFEPPSD-LINK2,000/001/00035/5/000001,DEIV,4,0,PSD - FEP LINK2 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PSD:VE0006,deiOCCSYSFEPPSD-LINK3,000/002/00035/4/000001,DEIV,4,0,PSD - FEP LINK3 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PSD:VE0007,deiOCCSYSFEPPSD-LINK4,000/002/00035/5/000001,DEIV,4,0,PSD - FEP LINK4 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:AFC,AFC,,,,,AFC,GRP_VE,,,,,
:R:A:POLE_OCC:FEP:SYS:AFC:VE0001,deiOCCSYSFEPAFC-COM,$ComStatus-00037/4+5,DEIV,4,0,AFC - FEP COMM STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:AFC:VE0002,deiOCCSYSFEPAFC-INF,$InfStatus-00034/4+5,DEIV,4,0,AFC - FEP INF STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:AFC:VE0003,deoOCCSYSFEPAFC-SET,$SetComStatus-00034-1,DEOV,4,0,AFC - FEP SET COM STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:AFC:VE0004,deiOCCSYSFEPAFC-LINK1,000/001/00037/4/000001,DEIV,4,0,AFC - FEP LINK1 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:AFC:VE0005,deiOCCSYSFEPAFC-LINK2,000/001/00037/5/000001,DEIV,4,0,AFC - FEP LINK2 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:AFC:VE0006,deiOCCSYSFEPAFC-LINK3,000/002/00037/4/000001,DEIV,4,0,AFC - FEP LINK3 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:AFC:VE0007,deiOCCSYSFEPAFC-LINK4,000/002/00037/5/000001,DEIV,4,0,AFC - FEP LINK4 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:DTS,DTS,,,,,DTS,GRP_VE,,,,,
:R:A:POLE_OCC:FEP:SYS:DTS:VE0001,deiOCCSYSFEPDTS-COM,$ComStatus-00039/4+5,DEIV,4,0,DTS - FEP COMM STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:DTS:VE0002,deiOCCSYSFEPDTS-INF,$InfStatus-00035/4+5,DEIV,4,0,DTS - FEP INF STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:DTS:VE0003,deoOCCSYSFEPDTS-SET,$SetComStatus-00035-1,DEOV,4,0,DTS - FEP SET COM STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:DTS:VE0004,deiOCCSYSFEPDTS-LINK1,000/001/00039/4/000001,DEIV,4,0,DTS - FEP LINK1 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:DTS:VE0005,deiOCCSYSFEPDTS-LINK2,000/001/00039/5/000001,DEIV,4,0,DTS - FEP LINK2 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:DTS:VE0006,deiOCCSYSFEPDTS-LINK3,000/002/00039/4/000001,DEIV,4,0,DTS - FEP LINK3 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:DTS:VE0007,deiOCCSYSFEPDTS-LINK4,000/002/00039/5/000001,DEIV,4,0,DTS - FEP LINK4 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:ACS,ACS,,,,,ACS,GRP_VE,,,,,
:R:A:POLE_OCC:FEP:SYS:ACS:VE0001,deiOCCSYSFEPACS-COM,$ComStatus-00041/4+5,DEIV,4,0,ACS - FEP COMM STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:ACS:VE0002,deiOCCSYSFEPACS-INF,$InfStatus-00036/4+5,DEIV,4,0,ACS - FEP INF STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:ACS:VE0003,deoOCCSYSFEPACS-SET,$SetComStatus-00036-1,DEOV,4,0,ACS - FEP SET COM STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:ACS:VE0004,deiOCCSYSFEPACS-LINK1,000/001/00041/4/000001,DEIV,4,0,ACS - FEP LINK1 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:ACS:VE0005,deiOCCSYSFEPACS-LINK2,000/001/00041/5/000001,DEIV,4,0,ACS - FEP LINK2 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:ACS:VE0006,deiOCCSYSFEPACS-LINK3,000/002/00041/4/000001,DEIV,4,0,ACS - FEP LINK3 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:ACS:VE0007,deiOCCSYSFEPACS-LINK4,000/002/00041/5/000001,DEIV,4,0,ACS - FEP LINK4 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PA,PA,,,,,PA,GRP_VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PA:VE0001,deiOCCSYSFEPPA-COM,$ComStatus-00043/4+5,DEIV,4,0,PA - FEP COMM STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PA:VE0002,deiOCCSYSFEPPA-INF,$InfStatus-00048/4+5,DEIV,4,0,PA - FEP INF STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PA:VE0003,deoOCCSYSFEPPA-SET,$SetComStatus-00048-1,DEOV,4,0,PA - FEP SET COM STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PA:VE0004,deiOCCSYSFEPPA-LINK1,000/001/00043/4/000001,DEIV,4,0,PA - FEP LINK1 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PA:VE0005,deiOCCSYSFEPPA-LINK2,000/001/00043/5/000001,DEIV,4,0,PA - FEP LINK2 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PA:VE0006,deiOCCSYSFEPPA-LINK3,000/002/00043/4/000001,DEIV,4,0,PA - FEP LINK3 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PA:VE0007,deiOCCSYSFEPPA-LINK4,000/002/00043/5/000001,DEIV,4,0,PA - FEP LINK4 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PIS,PIS,,,,,PIS,GRP_VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PIS:VE0001,deiOCCSYSFEPPIS-COM,$ComStatus-00045/4+5,DEIV,4,0,PIS - FEP COMM STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PIS:VE0002,deiOCCSYSFEPPIS-INF,$InfStatus-00049/4+5,DEIV,4,0,PIS - FEP INF STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PIS:VE0003,deoOCCSYSFEPPIS-SET,$SetComStatus-00049-1,DEOV,4,0,PIS - FEP SET COM STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PIS:VE0004,deiOCCSYSFEPPIS-LINK1,000/001/00045/4/000001,DEIV,4,0,PIS - FEP LINK1 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PIS:VE0005,deiOCCSYSFEPPIS-LINK2,000/001/00045/5/000001,DEIV,4,0,PIS - FEP LINK2 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PIS:VE0006,deiOCCSYSFEPPIS-LINK3,000/002/00045/4/000001,DEIV,4,0,PIS - FEP LINK3 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:PIS:VE0007,deiOCCSYSFEPPIS-LINK4,000/002/00045/5/000001,DEIV,4,0,PIS - FEP LINK4 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:CCTV,CCTV,,,,,CCTV,GRP_VE,,,,,
:R:A:POLE_OCC:FEP:SYS:CCTV:VE0001,deiOCCSYSFEPCCTV-COM,$ComStatus-00047/4+5,DEIV,4,0,CCTV - FEP COMM STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:CCTV:VE0002,deiOCCSYSFEPCCTV-INF,$InfStatus-00050/4+5,DEIV,4,0,CCTV - FEP INF STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:CCTV:VE0003,deoOCCSYSFEPCCTV-SET,$SetComStatus-00050-1,DEOV,4,0,CCTV - FEP SET COM STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:CCTV:VE0004,deiOCCSYSFEPCCTV-LINK1,000/001/00047/4/000001,DEIV,4,0,CCTV - FEP LINK1 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:CCTV:VE0005,deiOCCSYSFEPCCTV-LINK2,000/001/00047/5/000001,DEIV,4,0,CCTV - FEP LINK2 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:CCTV:VE0006,deiOCCSYSFEPCCTV-LINK3,000/002/00047/4/000001,DEIV,4,0,CCTV - FEP LINK3 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:CCTV:VE0007,deiOCCSYSFEPCCTV-LINK4,000/002/00047/5/000001,DEIV,4,0,CCTV - FEP LINK4 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:ALM,ALM,,,,,ALM,GRP_VE,,,,,
:R:A:POLE_OCC:FEP:SYS:ALM:VE0001,deiOCCSYSFEPALM-COM,$ComStatus-00049/4+5,DEIV,4,0,ALM - FEP COMM STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:ALM:VE0002,deiOCCSYSFEPALM-INF,$InfStatus-00051/4+5,DEIV,4,0,ALM - FEP INF STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:ALM:VE0003,deoOCCSYSFEPALM-SET,$SetComStatus-00051-1,DEOV,4,0,ALM - FEP SET COM STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:ALM:VE0004,deiOCCSYSFEPALM-LINK1,000/001/00049/4/000001,DEIV,4,0,ALM - FEP LINK1 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:ALM:VE0005,deiOCCSYSFEPALM-LINK2,000/001/00049/5/000001,DEIV,4,0,ALM - FEP LINK2 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:ALM:VE0006,deiOCCSYSFEPALM-LINK3,000/002/00049/4/000001,DEIV,4,0,ALM - FEP LINK3 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:ALM:VE0007,deiOCCSYSFEPALM-LINK4,000/002/00049/5/000001,DEIV,4,0,ALM - FEP LINK4 STATUS,VE,,,,,
:R:A:POLE_OCC:FEP:SYS:FG01,FG01,,,,,FG01,GRP_VE,,,,,
