ID,name,address,type,length,deadband,label,ELEMENT_NAME,varInvalid1,functTrans,SubscriptionPeriod,RefreshPeriod,link_object_is_from_object_type
:R:A:POLE_ZXN:FEP:SYS:HOM,HOM,,,,,HOM,GRP_VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:HOM:VE0001,deiZXNSYSFEPHOM-COM,$ComStatus-00027/4+5,DEIV,4,0,HOM - FEP COMM STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:HOM:VE0002,deiZXNSYSFEPHOM-INF,$InfStatus-00208/4+5,DEIV,4,0,HOM - FEP INF STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:HOM:VE0003,deoZXNSYSFEPHOM-SET,$SetComStatus-00208-1,DEOV,4,0,HOM - FEP SET COM STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:HOM:VE0004,deiZXNSYSFEPHOM-LINK1,000/001/00027/4/000001,DEIV,4,0,HOM - FEP LINK1 STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:HOM:VE0005,deiZXNSYSFEPHOM-LINK2,000/001/00027/5/000001,DEIV,4,0,HOM - FEP LINK2 STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:HOM:VE0006,deiZXNSYSFEPHOM-LINK3,000/002/00027/4/000001,DEIV,4,0,HOM - FEP LINK3 STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:HOM:VE0007,deiZXNSYSFEPHOM-LINK4,000/002/00027/5/000001,DEIV,4,0,HOM - FEP LINK4 STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:PSCADA,PSCADA,,,,,PSCADA,GRP_VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:PSCADA:VE0001,deiZXNSYSFEPPSCADA-COM,$ComStatus-00029/4+5,DEIV,4,0,PSCADA - FEP COMM STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:PSCADA:VE0002,deiZXNSYSFEPPSCADA-INF,$InfStatus-00160/4+5,DEIV,4,0,PSCADA - FEP INF STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:PSCADA:VE0003,deoZXNSYSFEPPSCADA-SET,$SetComStatus-00160-1,DEOV,4,0,PSCADA - FEP SET COM STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:PSCADA:VE0004,deiZXNSYSFEPPSCADA-LINK1,000/001/00029/4/000001,DEIV,4,0,PSCADA - FEP LINK1 STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:PSCADA:VE0005,deiZXNSYSFEPPSCADA-LINK2,000/001/00029/5/000001,DEIV,4,0,PSCADA - FEP LINK2 STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:PSCADA:VE0006,deiZXNSYSFEPPSCADA-LINK3,000/002/00029/4/000001,DEIV,4,0,PSCADA - FEP LINK3 STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:PSCADA:VE0007,deiZXNSYSFEPPSCADA-LINK4,000/002/00029/5/000001,DEIV,4,0,PSCADA - FEP LINK4 STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:BAS,BAS,,,,,BAS,GRP_VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:BAS:VE0001,deiZXNSYSFEPBAS-COM,$ComStatus-00031/4+5,DEIV,4,0,BAS - FEP COMM STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:BAS:VE0002,deiZXNSYSFEPBAS-INF,$InfStatus-00123/4+5,DEIV,4,0,BAS - FEP INF STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:BAS:VE0003,deoZXNSYSFEPBAS-SET,$SetComStatus-00123-1,DEOV,4,0,BAS - FEP SET COM STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:BAS:VE0004,deiZXNSYSFEPBAS-LINK1,000/001/00031/4/000001,DEIV,4,0,BAS - FEP LINK1 STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:BAS:VE0005,deiZXNSYSFEPBAS-LINK2,000/001/00031/5/000001,DEIV,4,0,BAS - FEP LINK2 STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:BAS:VE0006,deiZXNSYSFEPBAS-LINK3,000/002/00031/4/000001,DEIV,4,0,BAS - FEP LINK3 STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:BAS:VE0007,deiZXNSYSFEPBAS-LINK4,000/002/00031/5/000001,DEIV,4,0,BAS - FEP LINK4 STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:FAS,FAS,,,,,FAS,GRP_VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:FAS:VE0001,deiZXNSYSFEPFAS-COM,$ComStatus-00033/4+5,DEIV,4,0,FAS - FEP COMM STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:FAS:VE0002,deiZXNSYSFEPFAS-INF,$InfStatus-00032/4+5,DEIV,4,0,FAS - FEP INF STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:FAS:VE0003,deoZXNSYSFEPFAS-SET,$SetComStatus-00032-1,DEOV,4,0,FAS - FEP SET COM STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:FAS:VE0004,deiZXNSYSFEPFAS-LINK1,000/001/00033/4/000001,DEIV,4,0,FAS - FEP LINK1 STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:FAS:VE0005,deiZXNSYSFEPFAS-LINK2,000/001/00033/5/000001,DEIV,4,0,FAS - FEP LINK2 STATUS,VE,,,,,
