ID,name,address,type,length,deadband,label,ELEMENT_NAME,varInvalid1,functTrans,SubscriptionPeriod,RefreshPeriod,link_object_is_from_object_type
:R:A:POLE_ZXN:FEP:FG,FG,,,,,,GRP_VE,,,0,0,
:R:A:POLE_ZXN:FEP:FG:aeiZXNFGFG__0001-WATTUNL,aeiZXNFGFG__0001-WATTUNL,096/010/00000/0/000016,AEIV,4,0,&DB_FGSX-&DB_FANGYANMEN,VE,deiZXNSYSFEPFG01-COM,,,,
:R:A:POLE_ZXN:FEP:FG:aeiZXNFGFG__0001-TUNLRISPD,aeiZXNFGFG__0001-TUNLRISPD,096/010/00002/0/000016,AEIV,4,0,&DB_FGSX-&DB_FANGYANMEN,VE,deiZXNSYSFEPFG01-COM,,,,
:R:A:POLE_ZXN:FEP:FG:deiZXNFGFG__0001-OPNSTA,deiZXNFGFG__0001-OPNSTA,096/010/00005/0/000001,DEIV,4,0,&DB_FGSX-&DB_FANGYANMEN,VE,deiZXNSYSFEPFG01-COM,,,,
:R:A:POLE_ZXN:FEP:FG:deiZXNFGFG__0001-CLOSTA,deiZXNFGFG__0001-CLOSTA,096/010/00005/1/000001,DEIV,4,0,&DB_FGSX-&DB_FANGYANMEN,VE,deiZXNSYSFEPFG01-COM,,,,
:R:A:POLE_ZXN:FEP:FG:deiZXNFGFG__0001-OPNPSTA,deiZXNFGFG__0001-OPNPSTA,096/010/00005/2/000001,DEIV,4,0,&DB_FGSX-&DB_FANGYANMEN,VE,deiZXNSYSFEPFG01-COM,,,,
:R:A:POLE_ZXN:FEP:FG:deiZXNFGFG__0001-CLOPSTA,deiZXNFGFG__0001-CLOPSTA,096/010/00005/3/000001,DEIV,4,0,&DB_FGSX-&DB_FANGYANMEN,VE,deiZXNSYSFEPFG01-COM,,,,
:R:A:POLE_ZXN:FEP:FG:deiZXNFGFG__0001-FLTALM,deiZXNFGFG__0001-FLTALM,096/010/00005/4/000001,DEIV,4,0,&DB_FGSX-&DB_FANGYANMEN,VE,deiZXNSYSFEPFG01-COM,,,,
:R:A:POLE_ZXN:FEP:FG:deiZXNFGFG__0001-CLOSREST,deiZXNFGFG__0001-CLOSREST,096/010/00005/5/000001,DEIV,4,0,&DB_FGSX-&DB_FANGYANMEN,VE,deiZXNSYSFEPFG01-COM,,,,
:R:A:POLE_ZXN:FEP:FG:deiZXNFGFG__0001-IBPCLOREST,deiZXNFGFG__0001-IBPCLOREST,096/010/00005/6/000001,DEIV,4,0,&DB_FGSX-&DB_FANGYANMEN,VE,deiZXNSYSFEPFG01-COM,,,,
:R:A:POLE_ZXN:FEP:FG:deiZXNFGFG__0001-CLOALLOW,deiZXNFGFG__0001-CLOALLOW,096/010/00005/7/000001,DEIV,4,0,&DB_FGSX-&DB_FANGYANMEN,VE,deiZXNSYSFEPFG01-COM,,,,
:R:A:POLE_ZXN:FEP:FG:deiZXNFGFG__0001-ALMLVL1,deiZXNFGFG__0001-ALMLVL1,096/010/00004/0/000001,DEIV,4,0,&DB_FGSX-&DB_FANGYANMEN,VE,deiZXNSYSFEPFG01-COM,,,,
:R:A:POLE_ZXN:FEP:FG:deiZXNFGFG__0001-ALMLVL2,deiZXNFGFG__0001-ALMLVL2,096/010/00004/1/000001,DEIV,4,0,&DB_FGSX-&DB_FANGYANMEN,VE,deiZXNSYSFEPFG01-COM,,,,
