ID,__AGGREGATE__,label,link_object_is_from_object_type,ELEMENT_NAME,lk0,lk1,shortLabel,EqtLocation
:R:A:ZXN,,ZXN,,basicNode,,,,
:R:A:ZXN:link_geo_cat,,,,,:R:A:Opm:Definition:Location:ZXN,,,
:R:A:ZXN:ACS,,ACS,,basicNode,,,,
:R:A:ZXN:ACS:link_fct_cat,,,,,:R:A:Opm:Definition:Function:ACS,,,
:R:A:ZXN:ACS:MCON0001,ACS_MCON,&DB_ZHONGXINGDAQIAONANZHAN,basicEquipment:ACS_MCON,basicEquipment,,,&DB_ZHUKONGZHIQI,&DB_ZONGHEJIANKONGSHEBEISHI
:R:A:ZXN:ACS:FCON0001,ACS_FCON,&DB_QUYU1,basicEquipment:ACS_FCON,basicEquipment,,,&DB_XIAOFANGQUYUKONGZHIQI,&DB_ZONGHEJIANKONGSHEBEISHI
:R:A:ZXN:ACS:FCON0002,ACS_FCON,&DB_QUYU2,basicEquipment:ACS_FCON,basicEquipment,,,&DB_XIAOFANGQUYUKONGZHIQI,&DB_ZONGHEJIANKONGSHEBEISHI
:R:A:ZXN:ACS:FCON0003,ACS_FCON,&DB_QUYU3,basicEquipment:ACS_FCON,basicEquipment,,,&DB_XIAOFANGQUYUKONGZHIQI,&DB_ZONGHEJIANKONGSHEBEISHI
:R:A:ZXN:ACS:FCON0004,ACS_FCON,&DB_QUYU4,basicEquipment:ACS_FCON,basicEquipment,,,&DB_XIAOFANGQUYUKONGZHIQI,&DB_ZONGHEJIANKONGSHEBEISHI
:R:A:ZXN:ACS:FCON0005,ACS_FCON,&DB_QUYU5,basicEquipment:ACS_FCON,basicEquipment,,,&DB_XIAOFANGQUYUKONGZHIQI,&DB_ZONGHEJIANKONGSHEBEISHI
:R:A:ZXN:ACS:FCON0006,ACS_FCON,&DB_QUYU6,basicEquipment:ACS_FCON,basicEquipment,,,&DB_XIAOFANGQUYUKONGZHIQI,&DB_ZONGHEJIANKONGSHEBEISHI
:R:A:ZXN:ACS:FCON0007,ACS_FCON,&DB_QUYU7,basicEquipment:ACS_FCON,basicEquipment,,,&DB_XIAOFANGQUYUKONGZHIQI,&DB_ZONGHEJIANKONGSHEBEISHI
:R:A:ZXN:ACS:FCON0008,ACS_FCON,&DB_QUYU8,basicEquipment:ACS_FCON,basicEquipment,,,&DB_XIAOFANGQUYUKONGZHIQI,&DB_ZONGHEJIANKONGSHEBEISHI
:R:A:ZXN:ACS:SCON0001,ACS_SCON,&DB_R0314101,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_ZHANZHANGSHI
:R:A:ZXN:ACS:SCON0002,ACS_SCON,&DB_R0314107,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_ZHANZHANGSHI
:R:A:ZXN:ACS:SCON0003,ACS_SCON,&DB_R0314102,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_ZONGHEJIANKONGSHEBEISHI
:R:A:ZXN:ACS:SCON0004,ACS_SCON,&DB_R0314105,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_HUANKONGDIANKONGSHI
:R:A:ZXN:ACS:SCON0005,ACS_SCON,&DB_R0314103,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_AFCSHEBEISHI
:R:A:ZXN:ACS:SCON0006,ACS_SCON,&DB_R0314110,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_HUANKONGDIANKONGSHI
:R:A:ZXN:ACS:SCON0007,ACS_SCON,&DB_R0314111,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_QINGSAOJIAN
:R:A:ZXN:ACS:SCON0008,ACS_SCON,&DB_R0314208,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_HUANKONGDIANKONGSHI
:R:A:ZXN:ACS:SCON0009,ACS_SCON,&DB_R0314202,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_ZHAOMINGPEIDIANJIAN
:R:A:ZXN:ACS:SCON0010,ACS_SCON,&DB_R0314201,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_QIPINGJIAN
:R:A:ZXN:ACS:SCON0011,ACS_SCON,&DB_R0314209,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_HUANKONGJIFANG
:R:A:ZXN:ACS:SCON0012,ACS_SCON,&DB_R0314206,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_SHANGYONGTONGXINSHEBEISHI
:R:A:ZXN:ACS:SCON0013,ACS_SCON,&DB_R0314205,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_TONGXINSHEBEISHI
:R:A:ZXN:ACS:SCON0014,ACS_SCON,&DB_R0314203,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_GENGYISHI
:R:A:ZXN:ACS:SCON0015,ACS_SCON,&DB_R0314204,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_XINHAOSHEBEISHI
:R:A:ZXN:ACS:SCON0016,ACS_SCON,&DB_R0314207,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_ZHAOMINGPEIDIANJIAN
:R:A:ZXN:ACS:SCON0017,ACS_SCON,&DB_R0314113,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_FENGSHI
:R:A:ZXN:ACS:SCON0018,ACS_SCON,&DB_R0314112,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_FENGSHI
:R:A:ZXN:ACS:SCON0019,ACS_SCON,&DB_R0314109,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_ZHAOMINGPEIDIANJIAN
:R:A:ZXN:ACS:SCON0020,ACS_SCON,&DB_R0314108,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_ZHAOMINGPEIDIANJIAN
:R:A:ZXN:ACS:SCON0021,ACS_SCON,&DB_R0314305,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_FEISHUIBENGFANG
:R:A:ZXN:ACS:SCON0022,ACS_SCON,&DB_R0314301,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_SANJIAOJIFANG
:R:A:ZXN:ACS:SCON0023,ACS_SCON,&DB_R0314104,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_AFCPIAOWUSHI
:R:A:ZXN:ACS:SCON0024,ACS_SCON,&DB_R0314106,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_AFCPIAOWUSHI
:R:A:ZXN:ACS:SCON0025,ACS_SCON,&DB_R0314304,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_KONGZHISHI
:R:A:ZXN:ACS:SCON0026,ACS_SCON,&DB_R0314302,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_35KVKAIGUANGUISHI1
:R:A:ZXN:ACS:SCON0027,ACS_SCON,&DB_R0314303,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_04KVKAIGUANGUISHI1
:R:A:ZXN:ACS:SCON0028,ACS_SCON,&DB_R0314306,basicEquipment:ACS_SCON,basicEquipment,,,&DB_JIUDIKONGZHIQI,&DB_ZHAOMINGPEIDIANJIAN
:R:A:ZXN:ACS:DOR10001,ACS_DOR1,&DB_R03141011,basicEquipment:ACS_DOR1,basicEquipment,,,&DB_BIAOZHUNDUKAQIMEN,&DB_ZHANZHANGSHI
:R:A:ZXN:ACS:DOR10002,ACS_DOR1,&DB_R03141012,basicEquipment:ACS_DOR1,basicEquipment,,,&DB_BIAOZHUNDUKAQIMEN,&DB_CHEZHANKONGZHISHI
