ID,name,address,type,length,deadband,label,ELEMENT_NAME,varInvalid1,functTrans,SubscriptionPeriod,RefreshPeriod,link_object_is_from_object_type
:R:A:POLE_ZXN:FEP:ACS,ACS,,,,,,GRP_VE,,,0,0,
:R:A:POLE_ZXN:FEP:ACS:deiZXNACSMCON0001-SMSCOM,deiZXNACSMCON0001-SMSCOM,036/010/00065/0/000001,DEIV,4,0,&DB_ZHONGXINGDAQIAONANZHAN-&DB_ZHUKONGZHIQI,VE,deiZXNSYSFEPACS-COM,,,,
:R:A:POLE_ZXN:FEP:ACS:deiZXNACSMCON0001-OPNSTA,deiZXNACSMCON0001-OPNSTA,036/010/00066/4/000001,DEIV,4,0,&DB_ZHONGXINGDAQIAONANZHAN-&DB_ZHUKONGZHIQI,VE,deiZXNSYSFEPACS-COM,,,,
:R:A:POLE_ZXN:FEP:ACS:aeoZXNACSMCON0001-OPNCTL,aeoZXNACSMCON0001-OPNCTL,036/050/00128/0/000016,AEOV,4,0,&DB_ZHONGXINGDAQIAONANZHAN-&DB_ZHUKONGZHIQI,VE,,,,,
:R:A:POLE_ZXN:FEP:ACS:deiZXNACSFCON0001-OPNSTA,deiZXNACSFCON0001-OPNSTA,036/010/00067/4/000001,DEIV,4,0,&DB_QUYU1-&DB_XIAOFANGQUYUKONGZHIQI,VE,deiZXNSYSFEPACS-COM,,,,
:R:A:POLE_ZXN:FEP:ACS:aeoZXNACSFCON0001-OPNCTL,aeoZXNACSFCON0001-OPNCTL,036/050/00130/0/000016,AEOV,4,0,&DB_QUYU1-&DB_XIAOFANGQUYUKONGZHIQI,VE,,,,,
:R:A:POLE_ZXN:FEP:ACS:deiZXNACSFCON0002-OPNSTA,deiZXNACSFCON0002-OPNSTA,036/010/00067/5/000001,DEIV,4,0,&DB_QUYU2-&DB_XIAOFANGQUYUKONGZHIQI,VE,deiZXNSYSFEPACS-COM,,,,
:R:A:POLE_ZXN:FEP:ACS:aeoZXNACSFCON0002-OPNCTL,aeoZXNACSFCON0002-OPNCTL,036/050/00132/0/000016,AEOV,4,0,&DB_QUYU2-&DB_XIAOFANGQUYUKONGZHIQI,VE,,,,,
:R:A:POLE_ZXN:FEP:ACS:deiZXNACSFCON0003-OPNSTA,deiZXNACSFCON0003-OPNSTA,036/010/00067/6/000001,DEIV,4,0,&DB_QUYU3-&DB_XIAOFANGQUYUKONGZHIQI,VE,deiZXNSYSFEPACS-COM,,,,
:R:A:POLE_ZXN:FEP:ACS:aeoZXNACSFCON0003-OPNCTL,aeoZXNACSFCON0003-OPNCTL,036/050/00134/0/000016,AEOV,4,0,&DB_QUYU3-&DB_XIAOFANGQUYUKONGZHIQI,VE,,,,,
:R:A:POLE_ZXN:FEP:ACS:deiZXNACSFCON0004-OPNSTA,deiZXNACSFCON0004-OPNSTA,036/010/00067/7/000001,DEIV,4,0,&DB_QUYU4-&DB_XIAOFANGQUYUKONGZHIQI,VE,deiZXNSYSFEPACS-COM,,,,
:R:A:POLE_ZXN:FEP:ACS:aeoZXNACSFCON0004-OPNCTL,aeoZXNACSFCON0004-OPNCTL,036/050/00136/0/000016,AEOV,4,0,&DB_QUYU4-&DB_XIAOFANGQUYUKONGZHIQI,VE,,,,,
:R:A:POLE_ZXN:FEP:ACS:deiZXNACSFCON0005-OPNSTA,deiZXNACSFCON0005-OPNSTA,036/010/00066/0/000001,DEIV,4,0,&DB_QUYU5-&DB_XIAOFANGQUYUKONGZHIQI,VE,deiZXNSYSFEPACS-COM,,,,
:R:A:POLE_ZXN:FEP:ACS:aeoZXNACSFCON0005-OPNCTL,aeoZXNACSFCON0005-OPNCTL,036/050/00138/0/000016,AEOV,4,0,&DB_QUYU5-&DB_XIAOFANGQUYUKONGZHIQI,VE,,,,,
:R:A:POLE_ZXN:FEP:ACS:deiZXNACSFCON0006-OPNSTA,deiZXNACSFCON0006-OPNSTA,036/010/00066/1/000001,DEIV,4,0,&DB_QUYU6-&DB_XIAOFANGQUYUKONGZHIQI,VE,deiZXNSYSFEPACS-COM,,,,
:R:A:POLE_ZXN:FEP:ACS:aeoZXNACSFCON0006-OPNCTL,aeoZXNACSFCON0006-OPNCTL,036/050/00140/0/000016,AEOV,4,0,&DB_QUYU6-&DB_XIAOFANGQUYUKONGZHIQI,VE,,,,,
:R:A:POLE_ZXN:FEP:ACS:deiZXNACSFCON0007-OPNSTA,deiZXNACSFCON0007-OPNSTA,036/010/00066/2/000001,DEIV,4,0,&DB_QUYU7-&DB_XIAOFANGQUYUKONGZHIQI,VE,deiZXNSYSFEPACS-COM,,,,
:R:A:POLE_ZXN:FEP:ACS:aeoZXNACSFCON0007-OPNCTL,aeoZXNACSFCON0007-OPNCTL,036/050/00142/0/000016,AEOV,4,0,&DB_QUYU7-&DB_XIAOFANGQUYUKONGZHIQI,VE,,,,,
:R:A:POLE_ZXN:FEP:ACS:deiZXNACSFCON0008-OPNSTA,deiZXNACSFCON0008-OPNSTA,036/010/00066/3/000001,DEIV,4,0,&DB_QUYU8-&DB_XIAOFANGQUYUKONGZHIQI,VE,deiZXNSYSFEPACS-COM,,,,
:R:A:POLE_ZXN:FEP:ACS:aeoZXNACSFCON0008-OPNCTL,aeoZXNACSFCON0008-OPNCTL,036/050/00144/0/000016,AEOV,4,0,&DB_QUYU8-&DB_XIAOFANGQUYUKONGZHIQI,VE,,,,,
:R:A:POLE_ZXN:FEP:ACS:deiZXNACSSCON0001-COMM,deiZXNACSSCON0001-COMM,036/010/00001/0/000001,DEIV,4,0,&DB_R0314101-&DB_JIUDIKONGZHIQI,VE,deiZXNSYSFEPACS-COM,,,,
:R:A:POLE_ZXN:FEP:ACS:deiZXNACSSCON0001-ANTIALM,deiZXNACSSCON0001-ANTIALM,036/010/00001/1/000001,DEIV,4,0,&DB_R0314101-&DB_JIUDIKONGZHIQI,VE,deiZXNSYSFEPACS-COM,,,,
:R:A:POLE_ZXN:FEP:ACS:deiZXNACSSCON0002-COMM,deiZXNACSSCON0002-COMM,036/010/00003/0/000001,DEIV,4,0,&DB_R0314107-&DB_JIUDIKONGZHIQI,VE,deiZXNSYSFEPACS-COM,,,,
:R:A:POLE_ZXN:FEP:ACS:deiZXNACSSCON0002-ANTIALM,deiZXNACSSCON0002-ANTIALM,036/010/00003/1/000001,DEIV,4,0,&DB_R0314107-&DB_JIUDIKONGZHIQI,VE,deiZXNSYSFEPACS-COM,,,,
:R:A:POLE_ZXN:FEP:ACS:deiZXNACSSCON0003-COMM,deiZXNACSSCON0003-COMM,036/010/00005/0/000001,DEIV,4,0,&DB_R0314102-&DB_JIUDIKONGZHIQI,VE,deiZXNSYSFEPACS-COM,,,,
:R:A:POLE_ZXN:FEP:ACS:deiZXNACSSCON0003-ANTIALM,deiZXNACSSCON0003-ANTIALM,036/010/00005/1/000001,DEIV,4,0,&DB_R0314102-&DB_JIUDIKONGZHIQI,VE,deiZXNSYSFEPACS-COM,,,,
:R:A:POLE_ZXN:FEP:ACS:deiZXNACSSCON0004-COMM,deiZXNACSSCON0004-COMM,036/010/00007/0/000001,DEIV,4,0,&DB_R0314105-&DB_JIUDIKONGZHIQI,VE,deiZXNSYSFEPACS-COM,,,,
:R:A:POLE_ZXN:FEP:ACS:deiZXNACSSCON0004-ANTIALM,deiZXNACSSCON0004-ANTIALM,036/010/00007/1/000001,DEIV,4,0,&DB_R0314105-&DB_JIUDIKONGZHIQI,VE,deiZXNSYSFEPACS-COM,,,,
:R:A:POLE_ZXN:FEP:ACS:deiZXNACSSCON0005-COMM,deiZXNACSSCON0005-COMM,036/010/00009/0/000001,DEIV,4,0,&DB_R0314103-&DB_JIUDIKONGZHIQI,VE,deiZXNSYSFEPACS-COM,,,,
:R:A:POLE_ZXN:FEP:ACS:deiZXNACSSCON0005-ANTIALM,deiZXNACSSCON0005-ANTIALM,036/010/00009/1/000001,DEIV,4,0,&DB_R0314103-&DB_JIUDIKONGZHIQI,VE,deiZXNSYSFEPACS-COM,,,,
:R:A:POLE_ZXN:FEP:ACS:deiZXNACSSCON0006-COMM,deiZXNACSSCON0006-COMM,036/010/00011/0/000001,DEIV,4,0,&DB_R0314110-&DB_JIUDIKONGZHIQI,VE,deiZXNSYSFEPACS-COM,,,,
