ID,__AGGREGATE__,label,link_object_is_from_object_type,ELEMENT_NAME,lk0,lk1,shortLabel,EqtLocation
:R:A:ZXN,,ZXN,,basicNode,,,,
:R:A:ZXN:link_geo_cat,,,,,:R:A:Opm:Definition:Location:ZXN,,,
:R:A:ZXN:AFC,,AFC,,basicNode,,,,
:R:A:ZXN:AFC:link_fct_cat,,,,,:R:A:Opm:Definition:Function:AFC,,,
:R:A:ZXN:AFC:SC__0001,AFC_SC__,&DB_SERVER,basicEquipment:AFC_SC__,basicEquipment,,,&DB_CHEZHANFUWUQI,&DB_AFCSHEBEIJIFANG
:R:A:ZXN:AFC:IBP_0001,AFC_IBP_,&DB_IBP,basicEquipment:AFC_IBP_,basicEquipment,,,&DB_IBPPANSHANGZHAJISHIFANGANNI,&DB_AFCSHEBEIJIFANG
:R:A:ZXN:AFC:EAGM0001,AFC_EAGM,&DB_AGM_007,basicEquipment:AFC_EAGM,basicEquipment,,,&DB_JINZHANZHAJI,&DB_ZHANTING
:R:A:ZXN:AFC:EAGM0002,AFC_EAGM,&DB_AGM_008,basicEquipment:AFC_EAGM,basicEquipment,,,&DB_JINZHANZHAJI,&DB_ZHANTING
:R:A:ZXN:AFC:EAGM0003,AFC_EAGM,&DB_AGM_009,basicEquipment:AFC_EAGM,basicEquipment,,,&DB_JINZHANZHAJI,&DB_ZHANTING
:R:A:ZXN:AFC:EAGM0004,AFC_EAGM,&DB_AGM_010,basicEquipment:AFC_EAGM,basicEquipment,,,&DB_JINZHANZHAJI,&DB_ZHANTING
:R:A:ZXN:AFC:EAGM0005,AFC_EAGM,&DB_AGM_011,basicEquipment:AFC_EAGM,basicEquipment,,,&DB_JINZHANZHAJI,&DB_ZHANTING
:R:A:ZXN:AFC:EAGM0006,AFC_EAGM,&DB_AGM_012,basicEquipment:AFC_EAGM,basicEquipment,,,&DB_JINZHANZHAJI,&DB_ZHANTING
:R:A:ZXN:AFC:EAGM0007,AFC_EAGM,&DB_AGM_013,basicEquipment:AFC_EAGM,basicEquipment,,,&DB_JINZHANZHAJI,&DB_ZHANTING
:R:A:ZXN:AFC:EAGM0008,AFC_EAGM,&DB_AGM_014,basicEquipment:AFC_EAGM,basicEquipment,,,&DB_JINZHANZHAJI,&DB_ZHANTING
:R:A:ZXN:AFC:OAGM0001,AFC_OAGM,&DB_AGM_001,basicEquipment:AFC_OAGM,basicEquipment,,,&DB_CHUZHANZHAJI,&DB_ZHANTING
:R:A:ZXN:AFC:OAGM0002,AFC_OAGM,&DB_AGM_002,basicEquipment:AFC_OAGM,basicEquipment,,,&DB_CHUZHANZHAJI,&DB_ZHANTING
:R:A:ZXN:AFC:OAGM0003,AFC_OAGM,&DB_AGM_003,basicEquipment:AFC_OAGM,basicEquipment,,,&DB_CHUZHANZHAJI,&DB_ZHANTING
:R:A:ZXN:AFC:OAGM0004,AFC_OAGM,&DB_AGM_004,basicEquipment:AFC_OAGM,basicEquipment,,,&DB_CHUZHANZHAJI,&DB_ZHANTING
:R:A:ZXN:AFC:OAGM0005,AFC_OAGM,&DB_AGM_005,basicEquipment:AFC_OAGM,basicEquipment,,,&DB_CHUZHANZHAJI,&DB_ZHANTING
:R:A:ZXN:AFC:OAGM0006,AFC_OAGM,&DB_AGM_006,basicEquipment:AFC_OAGM,basicEquipment,,,&DB_CHUZHANZHAJI,&DB_ZHANTING
:R:A:ZXN:AFC:OAGM0007,AFC_OAGM,&DB_AGM_015,basicEquipment:AFC_OAGM,basicEquipment,,,&DB_CHUZHANZHAJI,&DB_ZHANTING
:R:A:ZXN:AFC:OAGM0008,AFC_OAGM,&DB_AGM_016,basicEquipment:AFC_OAGM,basicEquipment,,,&DB_CHUZHANZHAJI,&DB_ZHANTING
:R:A:ZXN:AFC:OAGM0009,AFC_OAGM,&DB_AGM_017,basicEquipment:AFC_OAGM,basicEquipment,,,&DB_CHUZHANZHAJI,&DB_ZHANTING
:R:A:ZXN:AFC:OAGM0010,AFC_OAGM,&DB_AGM_018,basicEquipment:AFC_OAGM,basicEquipment,,,&DB_CHUZHANZHAJI,&DB_ZHANTING
:R:A:ZXN:AFC:OAGM0011,AFC_OAGM,&DB_AGM_019,basicEquipment:AFC_OAGM,basicEquipment,,,&DB_CHUZHANZHAJI,&DB_ZHANTING
:R:A:ZXN:AFC:OAGM0012,AFC_OAGM,&DB_AGM_020,basicEquipment:AFC_OAGM,basicEquipment,,,&DB_CHUZHANZHAJI,&DB_ZHANTING
:R:A:ZXN:AFC:TVM_0001,AFC_TVM_,&DB_TVM_001,basicEquipment:AFC_TVM_,basicEquipment,,,&DB_ZIDONGSHOUPIAOJI,&DB_ZHANTING
:R:A:ZXN:AFC:TVM_0002,AFC_TVM_,&DB_TVM_002,basicEquipment:AFC_TVM_,basicEquipment,,,&DB_ZIDONGSHOUPIAOJI,&DB_ZHANTING
:R:A:ZXN:AFC:TVM_0003,AFC_TVM_,&DB_TVM_003,basicEquipment:AFC_TVM_,basicEquipment,,,&DB_ZIDONGSHOUPIAOJI,&DB_ZHANTING
:R:A:ZXN:AFC:TVM_0004,AFC_TVM_,&DB_TVM_004,basicEquipment:AFC_TVM_,basicEquipment,,,&DB_ZIDONGSHOUPIAOJI,&DB_ZHANTING
:R:A:ZXN:AFC:TVM_0005,AFC_TVM_,&DB_TVM_005,basicEquipment:AFC_TVM_,basicEquipment,,,&DB_ZIDONGSHOUPIAOJI,&DB_ZHANTING
:R:A:ZXN:AFC:TVM_0006,AFC_TVM_,&DB_TVM_006,basicEquipment:AFC_TVM_,basicEquipment,,,&DB_ZIDONGSHOUPIAOJI,&DB_ZHANTING
:R:A:ZXN:AFC:TVM_0007,AFC_TVM_,&DB_TVM_007,basicEquipment:AFC_TVM_,basicEquipment,,,&DB_ZIDONGSHOUPIAOJI,&DB_ZHANTING
:R:A:ZXN:AFC:TVM_0008,AFC_TVM_,&DB_TVM_008,basicEquipment:AFC_TVM_,basicEquipment,,,&DB_ZIDONGSHOUPIAOJI,&DB_ZHANTING
:R:A:ZXN:AFC:BOM_0001,AFC_BOM_,&DB_BOM_001,basicEquipment:AFC_BOM_,basicEquipment,,,&DB_BANZIDONGSHOUPIAOJI,&DB_ZHANTING
:R:A:ZXN:AFC:BOM_0002,AFC_BOM_,&DB_BOM_002,basicEquipment:AFC_BOM_,basicEquipment,,,&DB_BANZIDONGSHOUPIAOJI,&DB_ZHANTING
:R:A:ZXN:AFC:ITVM0001,AFC_ITVM,&DB_ITVM001,basicEquipment:AFC_ITVM,basicEquipment,,,&DB_WANGLUOSHOUPIAOJI,&DB_ZHANTING
:R:A:ZXN:AFC:ITVM0002,AFC_ITVM,&DB_ITVM002,basicEquipment:AFC_ITVM,basicEquipment,,,&DB_WANGLUOSHOUPIAOJI,&DB_ZHANTING
