ID,name,address,type,length,deadband,label,ELEMENT_NAME,varInvalid1,functTrans,SubscriptionPeriod,RefreshPeriod,link_object_is_from_object_type
:R:A:POLE_ZXN:FEP:AFC,AFC,,,,,,GRP_VE,,,0,0,
:R:A:POLE_ZXN:FEP:AFC:deiZXNAFCSC__0001-MODE,deiZXNAFCSC__0001-MODE,034/023/00121/0/000008,DEIV,4,0,&DB_SERVER-&DB_CHEZHANFUWUQI,VE,deiZXNSYSFEPAFC-COM,,,,
:R:A:POLE_ZXN:FEP:AFC:aeiZXNAFCSC__0001-TIMESEC,aeiZXNAFCSC__0001-TIMESEC,034/023/00123/0/000008,AEIV,4,0,&DB_SERVER-&DB_CHEZHANFUWUQI,VE,deiZXNSYSFEPAFC-COM,,,,
:R:A:POLE_ZXN:FEP:AFC:aeiZXNAFCSC__0001-ENTRY,aeiZXNAFCSC__0001-ENTRY,034/023/00124/0/000032,AEIV,4,0,&DB_SERVER-&DB_CHEZHANFUWUQI,VE,deiZXNSYSFEPAFC-COM,,,,
:R:A:POLE_ZXN:FEP:AFC:aeiZXNAFCSC__0001-EXIT,aeiZXNAFCSC__0001-EXIT,034/023/00128/0/000032,AEIV,4,0,&DB_SERVER-&DB_CHEZHANFUWUQI,VE,deiZXNSYSFEPAFC-COM,,,,
:R:A:POLE_ZXN:FEP:AFC:aeiZXNAFCSC__0001-HISENTRY,aeiZXNAFCSC__0001-HISENTRY,034/023/00132/0/000032,AEIV,4,0,&DB_SERVER-&DB_CHEZHANFUWUQI,VE,deiZXNSYSFEPAFC-COM,,,,
:R:A:POLE_ZXN:FEP:AFC:aeiZXNAFCSC__0001-HISEXIT,aeiZXNAFCSC__0001-HISEXIT,034/023/00136/0/000032,AEIV,4,0,&DB_SERVER-&DB_CHEZHANFUWUQI,VE,deiZXNSYSFEPAFC-COM,,,,
:R:A:POLE_ZXN:FEP:AFC:deiZXNAFCSC__0001-ALARM,deiZXNAFCSC__0001-ALARM,034/023/00035/6/000001,DEIV,4,0,&DB_SERVER-&DB_CHEZHANFUWUQI,VE,deiZXNSYSFEPAFC-COM,,,,
:R:A:POLE_ZXN:FEP:AFC:deiZXNAFCIBP_0001-EMGSTA,deiZXNAFCIBP_0001-EMGSTA,034/023/00035/7/000001,DEIV,4,0,&DB_IBP-&DB_IBPPANSHANGZHAJISHIFAN,VE,deiZXNSYSFEPAFC-COM,,,,
:R:A:POLE_ZXN:FEP:AFC:deiZXNAFCEAGM0001-COMALM,deiZXNAFCEAGM0001-COMALM,034/023/00001/0/000001,DEIV,4,0,&DB_AGM_007-&DB_JINZHANZHAJI,VE,deiZXNSYSFEPAFC-COM,,,,
:R:A:POLE_ZXN:FEP:AFC:deiZXNAFCEAGM0001-SERSTA,deiZXNAFCEAGM0001-SERSTA,034/023/00001/1/000001,DEIV,4,0,&DB_AGM_007-&DB_JINZHANZHAJI,VE,deiZXNSYSFEPAFC-COM,,,,
:R:A:POLE_ZXN:FEP:AFC:deiZXNAFCEAGM0001-RELSTA,deiZXNAFCEAGM0001-RELSTA,034/023/00001/2/000001,DEIV,4,0,&DB_AGM_007-&DB_JINZHANZHAJI,VE,deiZXNSYSFEPAFC-COM,,,,
:R:A:POLE_ZXN:FEP:AFC:deiZXNAFCEAGM0001-FLTALM,deiZXNAFCEAGM0001-FLTALM,034/023/00001/3/000001,DEIV,4,0,&DB_AGM_007-&DB_JINZHANZHAJI,VE,deiZXNSYSFEPAFC-COM,,,,
:R:A:POLE_ZXN:FEP:AFC:deiZXNAFCEAGM0002-COMALM,deiZXNAFCEAGM0002-COMALM,034/023/00001/4/000001,DEIV,4,0,&DB_AGM_008-&DB_JINZHANZHAJI,VE,deiZXNSYSFEPAFC-COM,,,,
:R:A:POLE_ZXN:FEP:AFC:deiZXNAFCEAGM0002-SERSTA,deiZXNAFCEAGM0002-SERSTA,034/023/00001/5/000001,DEIV,4,0,&DB_AGM_008-&DB_JINZHANZHAJI,VE,deiZXNSYSFEPAFC-COM,,,,
:R:A:POLE_ZXN:FEP:AFC:deiZXNAFCEAGM0002-RELSTA,deiZXNAFCEAGM0002-RELSTA,034/023/00001/6/000001,DEIV,4,0,&DB_AGM_008-&DB_JINZHANZHAJI,VE,deiZXNSYSFEPAFC-COM,,,,
:R:A:POLE_ZXN:FEP:AFC:deiZXNAFCEAGM0002-FLTALM,deiZXNAFCEAGM0002-FLTALM,034/023/00001/7/000001,DEIV,4,0,&DB_AGM_008-&DB_JINZHANZHAJI,VE,deiZXNSYSFEPAFC-COM,,,,
:R:A:POLE_ZXN:FEP:AFC:deiZXNAFCEAGM0003-COMALM,deiZXNAFCEAGM0003-COMALM,034/023/00000/0/000001,DEIV,4,0,&DB_AGM_009-&DB_JINZHANZHAJI,VE,deiZXNSYSFEPAFC-COM,,,,
:R:A:POLE_ZXN:FEP:AFC:deiZXNAFCEAGM0003-SERSTA,deiZXNAFCEAGM0003-SERSTA,034/023/00000/1/000001,DEIV,4,0,&DB_AGM_009-&DB_JINZHANZHAJI,VE,deiZXNSYSFEPAFC-COM,,,,
:R:A:POLE_ZXN:FEP:AFC:deiZXNAFCEAGM0003-RELSTA,deiZXNAFCEAGM0003-RELSTA,034/023/00000/2/000001,DEIV,4,0,&DB_AGM_009-&DB_JINZHANZHAJI,VE,deiZXNSYSFEPAFC-COM,,,,
:R:A:POLE_ZXN:FEP:AFC:deiZXNAFCEAGM0003-FLTALM,deiZXNAFCEAGM0003-FLTALM,034/023/00000/3/000001,DEIV,4,0,&DB_AGM_009-&DB_JINZHANZHAJI,VE,deiZXNSYSFEPAFC-COM,,,,
:R:A:POLE_ZXN:FEP:AFC:deiZXNAFCEAGM0004-COMALM,deiZXNAFCEAGM0004-COMALM,034/023/00000/4/000001,DEIV,4,0,&DB_AGM_010-&DB_JINZHANZHAJI,VE,deiZXNSYSFEPAFC-COM,,,,
:R:A:POLE_ZXN:FEP:AFC:deiZXNAFCEAGM0004-SERSTA,deiZXNAFCEAGM0004-SERSTA,034/023/00000/5/000001,DEIV,4,0,&DB_AGM_010-&DB_JINZHANZHAJI,VE,deiZXNSYSFEPAFC-COM,,,,
