ID,name,address,type,length,deadband,label,ELEMENT_NAME,varInvalid1,functTrans,SubscriptionPeriod,RefreshPeriod,link_object_is_from_object_type
:R:A:POLE_ZXN:FEP:ASD,ASD,,,,,,GRP_VE,,,0,0,
:R:A:POLE_ZXN:FEP:ASD:deiZXNASDASD_0001-FLTASTA,deiZXNASDASD_0001-FLTASTA,064/010/00004/7/000001,DEIV,4,0,&DB_XQS01-&DB_XIQISHIJIZAOQITANCEQI,VE,deiZXNSYSFEPASD01-COM,,,,
:R:A:POLE_ZXN:FEP:ASD:deiZXNASDASD_0001-FLTLSTA,deiZXNASDASD_0001-FLTLSTA,064/010/00005/4/000001,DEIV,4,0,&DB_XQS01-&DB_XIQISHIJIZAOQITANCEQI,VE,deiZXNSYSFEPASD01-COM,,,,
:R:A:POLE_ZXN:FEP:ASD:deiZXNASDASD_0001-FLTHSTA,deiZXNASDASD_0001-FLTHSTA,064/010/00005/3/000001,DEIV,4,0,&DB_XQS01-&DB_XIQISHIJIZAOQITANCEQI,VE,deiZXNSYSFEPASD01-COM,,,,
:R:A:POLE_ZXN:FEP:ASD:aeiZXNASDASD_0001-RESMPT,aeiZXNASDASD_0001-RESMPT,064/010/00002/0/000016,AEIV,4,0,&DB_XQS01-&DB_XIQISHIJIZAOQITANCEQI,VE,deiZXNSYSFEPASD01-COM,tfLIN 1000.0 0.0,,,
:R:A:POLE_ZXN:FEP:ASD:deiZXNASDASD_0002-FLTASTA,deiZXNASDASD_0002-FLTASTA,065/010/00004/7/000001,DEIV,4,0,&DB_XQS02-&DB_XIQISHIJIZAOQITANCEQI,VE,deiZXNSYSFEPASD02-COM,,,,
:R:A:POLE_ZXN:FEP:ASD:deiZXNASDASD_0002-FLTLSTA,deiZXNASDASD_0002-FLTLSTA,065/010/00005/4/000001,DEIV,4,0,&DB_XQS02-&DB_XIQISHIJIZAOQITANCEQI,VE,deiZXNSYSFEPASD02-COM,,,,
:R:A:POLE_ZXN:FEP:ASD:deiZXNASDASD_0002-FLTHSTA,deiZXNASDASD_0002-FLTHSTA,065/010/00005/3/000001,DEIV,4,0,&DB_XQS02-&DB_XIQISHIJIZAOQITANCEQI,VE,deiZXNSYSFEPASD02-COM,,,,
:R:A:POLE_ZXN:FEP:ASD:aeiZXNASDASD_0002-RESMPT,aeiZXNASDASD_0002-RESMPT,065/010/00002/0/000016,AEIV,4,0,&DB_XQS02-&DB_XIQISHIJIZAOQITANCEQI,VE,deiZXNSYSFEPASD02-COM,tfLIN 1000.0 0.0,,,
:R:A:POLE_ZXN:FEP:ASD:deiZXNASDASD_0003-FLTASTA,deiZXNASDASD_0003-FLTASTA,066/010/00004/7/000001,DEIV,4,0,&DB_XQS03-&DB_XIQISHIJIZAOQITANCEQI,VE,deiZXNSYSFEPASD03-COM,,,,
:R:A:POLE_ZXN:FEP:ASD:deiZXNASDASD_0003-FLTLSTA,deiZXNASDASD_0003-FLTLSTA,066/010/00005/4/000001,DEIV,4,0,&DB_XQS03-&DB_XIQISHIJIZAOQITANCEQI,VE,deiZXNSYSFEPASD03-COM,,,,
:R:A:POLE_ZXN:FEP:ASD:deiZXNASDASD_0003-FLTHSTA,deiZXNASDASD_0003-FLTHSTA,066/010/00005/3/000001,DEIV,4,0,&DB_XQS03-&DB_XIQISHIJIZAOQITANCEQI,VE,deiZXNSYSFEPASD03-COM,,,,
:R:A:POLE_ZXN:FEP:ASD:aeiZXNASDASD_0003-RESMPT,aeiZXNASDASD_0003-RESMPT,066/010/00002/0/000016,AEIV,4,0,&DB_XQS03-&DB_XIQISHIJIZAOQITANCEQI,VE,deiZXNSYSFEPASD03-COM,tfLIN 1000.0 0.0,,,
:R:A:POLE_ZXN:FEP:ASD:deiZXNASDASD_0004-FLTASTA,deiZXNASDASD_0004-FLTASTA,067/010/00004/7/000001,DEIV,4,0,&DB_XQS04-&DB_XIQISHIJIZAOQITANCEQI,VE,deiZXNSYSFEPASD04-COM,,,,
:R:A:POLE_ZXN:FEP:ASD:deiZXNASDASD_0004-FLTLSTA,deiZXNASDASD_0004-FLTLSTA,067/010/00005/4/000001,DEIV,4,0,&DB_XQS04-&DB_XIQISHIJIZAOQITANCEQI,VE,deiZXNSYSFEPASD04-COM,,,,
:R:A:POLE_ZXN:FEP:ASD:deiZXNASDASD_0004-FLTHSTA,deiZXNASDASD_0004-FLTHSTA,067/010/00005/3/000001,DEIV,4,0,&DB_XQS04-&DB_XIQISHIJIZAOQITANCEQI,VE,deiZXNSYSFEPASD04-COM,,,,
:R:A:POLE_ZXN:FEP:ASD:aeiZXNASDASD_0004-RESMPT,aeiZXNASDASD_0004-RESMPT,067/010/00002/0/000016,AEIV,4,0,&DB_XQS04-&DB_XIQISHIJIZAOQITANCEQI,VE,deiZXNSYSFEPASD04-COM,tfLIN 1000.0 0.0,,,
:R:A:POLE_ZXN:FEP:ASD:deiZXNASDASD_0005-FLTASTA,deiZXNASDASD_0005-FLTASTA,068/010/00004/7/000001,DEIV,4,0,&DB_XQS05-&DB_XIQISHIJIZAOQITANCEQI,VE,deiZXNSYSFEPASD05-COM,,,,
:R:A:POLE_ZXN:FEP:ASD:deiZXNASDASD_0005-FLTLSTA,deiZXNASDASD_0005-FLTLSTA,068/010/00005/4/000001,DEIV,4,0,&DB_XQS05-&DB_XIQISHIJIZAOQITANCEQI,VE,deiZXNSYSFEPASD05-COM,,,,
:R:A:POLE_ZXN:FEP:ASD:deiZXNASDASD_0005-FLTHSTA,deiZXNASDASD_0005-FLTHSTA,068/010/00005/3/000001,DEIV,4,0,&DB_XQS05-&DB_XIQISHIJIZAOQITANCEQI,VE,deiZXNSYSFEPASD05-COM,,,,
