ID,__AGGREGATE__,label,link_object_is_from_object_type,ELEMENT_NAME,lk0,lk1,shortLabel,EqtLocation
:R:A:ZXN,,ZXN,,basicNode,,,,
:R:A:ZXN:link_geo_cat,,,,,:R:A:Opm:Definition:Location:ZXN,,,
:R:A:ZXN:ASD,,ASD,,basicNode,,,,
:R:A:ZXN:ASD:link_fct_cat,,,,,:R:A:Opm:Definition:Function:ASD,,,
:R:A:ZXN:ASD:ASD_0001,ASD_ASD_,&DB_XQS01,ASD_dciFAS-HRFLTSTA:ASD_ASD_,ASD_dciFAS-HRFLTSTA,,,&DB_XIQISHIJIZAOQITANCEQI,&DB_ZHANTINGCENGADUANSHEBEIQU1
:R:A:ZXN:ASD:ASD_0001,ASD_ASD_,&DB_XQS01,basicEquipment:ASD_ASD_,basicEquipment,,,&DB_XIQISHIJIZAOQITANCEQI,&DB_ZHANTINGCENGADUANSHEBEIQU1
:R:A:ZXN:ASD:ASD_0002,ASD_ASD_,&DB_XQS02,ASD_dciFAS-HRFLTSTA:ASD_ASD_,ASD_dciFAS-HRFLTSTA,,,&DB_XIQISHIJIZAOQITANCEQI,&DB_ZHANTINGCENGADUANSHEBEIQU2
:R:A:ZXN:ASD:ASD_0002,ASD_ASD_,&DB_XQS02,basicEquipment:ASD_ASD_,basicEquipment,,,&DB_XIQISHIJIZAOQITANCEQI,&DB_ZHANTINGCENGADUANSHEBEIQU2
:R:A:ZXN:ASD:ASD_0003,ASD_ASD_,&DB_XQS03,ASD_dciFAS-HRFLTSTA:ASD_ASD_,ASD_dciFAS-HRFLTSTA,,,&DB_XIQISHIJIZAOQITANCEQI,&DB_ZHANTINGCENGBDUANSHEBEIQU1
:R:A:ZXN:ASD:ASD_0003,ASD_ASD_,&DB_XQS03,basicEquipment:ASD_ASD_,basicEquipment,,,&DB_XIQISHIJIZAOQITANCEQI,&DB_ZHANTINGCENGBDUANSHEBEIQU1
:R:A:ZXN:ASD:ASD_0004,ASD_ASD_,&DB_XQS04,ASD_dciFAS-HRFLTSTA:ASD_ASD_,ASD_dciFAS-HRFLTSTA,,,&DB_XIQISHIJIZAOQITANCEQI,&DB_ZHANTINGCENGADUANSHEBEIQU3
:R:A:ZXN:ASD:ASD_0004,ASD_ASD_,&DB_XQS04,basicEquipment:ASD_ASD_,basicEquipment,,,&DB_XIQISHIJIZAOQITANCEQI,&DB_ZHANTINGCENGADUANSHEBEIQU3
:R:A:ZXN:ASD:ASD_0005,ASD_ASD_,&DB_XQS05,ASD_dciFAS-HRFLTSTA:ASD_ASD_,ASD_dciFAS-HRFLTSTA,,,&DB_XIQISHIJIZAOQITANCEQI,&DB_ZHANTINGCENGADUANSHEBEIQU4
:R:A:ZXN:ASD:ASD_0005,ASD_ASD_,&DB_XQS05,basicEquipment:ASD_ASD_,basicEquipment,,,&DB_XIQISHIJIZAOQITANCEQI,&DB_ZHANTINGCENGADUANSHEBEIQU4
:R:A:ZXN:ASD:ASD_0006,ASD_ASD_,&DB_XQS06,ASD_dciFAS-HRFLTSTA:ASD_ASD_,ASD_dciFAS-HRFLTSTA,,,&DB_XIQISHIJIZAOQITANCEQI,&DB_SHEBEICENGZHONGDUANSHEBEIQU
:R:A:ZXN:ASD:ASD_0006,ASD_ASD_,&DB_XQS06,basicEquipment:ASD_ASD_,basicEquipment,,,&DB_XIQISHIJIZAOQITANCEQI,&DB_SHEBEICENGZHONGDUANSHEBEIQU
