ID,__AGGREGATE__,label,link_object_is_from_object_type,ELEMENT_NAME,lk0,lk1,shortLabel,EqtLocation
:R:A:ZXN,,ZXN,,basicNode,,,,
:R:A:ZXN:link_geo_cat,,,,,:R:A:Opm:Definition:Location:ZXN,,,
:R:A:ZXN:BAS,,BAS,,basicNode,,,,
:R:A:ZXN:BAS:link_fct_cat,,,,,:R:A:Opm:Definition:Function:BAS,,,
:R:A:ZXN:BAS:TVF_0001,BAS_TVF_,&DB_TVF314A01,BASEquipment:BAS_TVF_,BASEquipment,,,&DB_SUIDAOSHIGUFENGJI,&DB_ZHANTINGZUODUANHUOSAIFENGDAO
:R:A:ZXN:BAS:TVF_0002,BAS_TVF_,&DB_TVF314A02,BASEquipment:BAS_TVF_,BASEquipment,,,&DB_SUIDAOSHIGUFENGJI,&DB_ZHANTINGZUODUANHUOSAIFENGDAO
:R:A:ZXN:BAS:TEF_0001,BAS_TEF_,&DB_TEF314A01,BASEquipment:BAS_TEF_,BASEquipment,,,&DB_PAIREFENGJI,&DB_SHEBEICENGZUODUANPAIREFENGDAO
:R:A:ZXN:BAS:TVFB0001,BAS_TVFB,&DB_SDT3141A01,BASEquipment:BAS_TVFB,BASEquipment,,,&DB_SUIDAOSHIGUFENGJIYIBIAOXIAN,&DB_ZHANTINGADUANHUANKONGDIANKONGSHI
:R:A:ZXN:BAS:TVFB0002,BAS_TVFB,&DB_SDT3141A02,BASEquipment:BAS_TVFB,BASEquipment,,,&DB_SUIDAOSHIGUFENGJIYIBIAOXIAN,&DB_ZHANTINGADUANHUANKONGDIANKONGSHI
:R:A:ZXN:BAS:TEFB0001,BAS_TEFB,&DB_SDT31413,BASEquipment:BAS_TEFB,BASEquipment,,,&DB_PAIREFENGJIYIBIAOXIANG,&DB_ZHANTINGADUANHUANKONGDIANKONGSHI
:R:A:ZXN:BAS:DDZF0001,BAS_DDZF,&DB_MD314A01,BASEquipment:BAS_DDZF,BASEquipment,,,&DB_DIANDONGZUHEFENGFA,&DB_ZHANTINGZUODUANHUOSAIFENGDAO
:R:A:ZXN:BAS:DDZF0002,BAS_DDZF,&DB_MD314A02,BASEquipment:BAS_DDZF,BASEquipment,,,&DB_DIANDONGZUHEFENGFA,&DB_ZHANTINGZUODUANHUOSAIFENGDAO
:R:A:ZXN:BAS:DDZF0003,BAS_DDZF,&DB_MD314A03,BASEquipment:BAS_DDZF,BASEquipment,,,&DB_DIANDONGZUHEFENGFA,&DB_SHEBEICENGZUODUANHUOSAIFENGDAO
:R:A:ZXN:BAS:DDZF0003,BAS_DDZF,&DB_MD314A03,BASEquipment:BAS_DDZF,BASEquipment,,,&DB_DIANDONGZUHEFENGFA,&DB_ZHANTINGZUODUANHUOSAIFENGDAO
:R:A:ZXN:BAS:DDZF0004,BAS_DDZF,&DB_MD314A04,BASEquipment:BAS_DDZF,BASEquipment,,,&DB_DIANDONGZUHEFENGFA,&DB_SHEBEICENGZUODUANHUOSAIFENGDAO
:R:A:ZXN:BAS:DDZF0005,BAS_DDZF,&DB_MD314A05,BASEquipment:BAS_DDZF,BASEquipment,,,&DB_DIANDONGZUHEFENGFA,&DB_ZHANTINGZUODUANHUOSAIFENGDAO
:R:A:ZXN:BAS:DDZF0006,BAS_DDZF,&DB_MD314A06,BASEquipment:BAS_DDZF,BASEquipment,,,&DB_DIANDONGZUHEFENGFA,&DB_ZHANTINGZUODUANHUOSAIFENGDAO
:R:A:ZXN:BAS:DDZF0007,BAS_DDZF,&DB_MD314A07,BASEquipment:BAS_DDZF,BASEquipment,,,&DB_DIANDONGZUHEFENGFA,&DB_SHEBEICENGZUODUANHUOSAIFENGDAO
:R:A:ZXN:BAS:DDZF0008,BAS_DDZF,&DB_MD314A08,BASEquipment:BAS_DDZF,BASEquipment,,,&DB_DIANDONGZUHEFENGFA,&DB_SHEBEICENGZUODUANHUOSAIFENGDAO
:R:A:ZXN:BAS:DDZF0009,BAS_DDZF,&DB_MD314A09,BASEquipment:BAS_DDZF,BASEquipment,,,&DB_DIANDONGZUHEFENGFA,&DB_ZHANTAIZUODUANPAIREFENGSHI
:R:A:ZXN:BAS:DDZF0010,BAS_DDZF,&DB_MD314A10,BASEquipment:BAS_DDZF,BASEquipment,,,&DB_DIANDONGZUHEFENGFA,&DB_ZHANTAIZUODUANPAIREFENGSHI
:R:A:ZXN:BAS:DDZF0011,BAS_DDZF,&DB_MD314A11,BASEquipment:BAS_DDZF,BASEquipment,,,&DB_DIANDONGZUHEFENGFA,&DB_ZHANTAIZUODUANPAIREFENGSHI
:R:A:ZXN:BAS:DDZF0012,BAS_DDZF,&DB_MD314A12,BASEquipment:BAS_DDZF,BASEquipment,,,&DB_DIANDONGZUHEFENGFA,&DB_ZHANTAIZUODUANPAIREFENGSHI
:R:A:ZXN:BAS:TVF_0003,BAS_TVF_,&DB_TVF314B01,BASEquipment:BAS_TVF_,BASEquipment,,,&DB_SUIDAOSHIGUFENGJI,&DB_SHEBEICENGYOUDUANHUOSAIFENGDAO
:R:A:ZXN:BAS:TVF_0004,BAS_TVF_,&DB_TVF314B02,BASEquipment:BAS_TVF_,BASEquipment,,,&DB_SUIDAOSHIGUFENGJI,&DB_SHEBEICENGYOUDUANHUOSAIFENGDAO
:R:A:ZXN:BAS:TEF_0002,BAS_TEF_,&DB_TEF314B01,BASEquipment:BAS_TEF_,BASEquipment,,,&DB_PAIREFENGJI,&DB_SHEBEICENGYOUDUANPAIREFENGDAO
:R:A:ZXN:BAS:TVFB0003,BAS_TVFB,&DB_SDT3147B01,BASEquipment:BAS_TVFB,BASEquipment,,,&DB_SUIDAOSHIGUFENGJIYIBIAOXIAN,&DB_SHEBEICENGBDUANHUANKONGDIANKONGSHI
:R:A:ZXN:BAS:TVFB0004,BAS_TVFB,&DB_SDT3147B02,BASEquipment:BAS_TVFB,BASEquipment,,,&DB_SUIDAOSHIGUFENGJIYIBIAOXIAN,&DB_SHEBEICENGBDUANHUANKONGDIANKONGSHI
:R:A:ZXN:BAS:TEFB0002,BAS_TEFB,&DB_SDT31416,BASEquipment:BAS_TEFB,BASEquipment,,,&DB_PAIREFENGJIYIBIAOXIANG,&DB_SHEBEICENGBDUANHUANKONGDIANKONGSHI
:R:A:ZXN:BAS:DDZF0013,BAS_DDZF,&DB_MD314B01,BASEquipment:BAS_DDZF,BASEquipment,,,&DB_DIANDONGZUHEFENGFA,&DB_SHEBEICENGYOUDUANHUOSAIFENGDAO
:R:A:ZXN:BAS:DDZF0014,BAS_DDZF,&DB_MD314B02,BASEquipment:BAS_DDZF,BASEquipment,,,&DB_DIANDONGZUHEFENGFA,&DB_SHEBEICENGYOUDUANHUOSAIFENGDAO
:R:A:ZXN:BAS:DDZF0015,BAS_DDZF,&DB_MD314B03,BASEquipment:BAS_DDZF,BASEquipment,,,&DB_DIANDONGZUHEFENGFA,&DB_SHEBEICENGYOUDUANHUOSAIFENGDAO
:R:A:ZXN:BAS:DDZF0016,BAS_DDZF,&DB_MD314B04,BASEquipment:BAS_DDZF,BASEquipment,,,&DB_DIANDONGZUHEFENGFA,&DB_SHEBEICENGYOUDUANHUOSAIFENGDAO
:R:A:ZXN:BAS:DDZF0017,BAS_DDZF,&DB_MD314B05,BASEquipment:BAS_DDZF,BASEquipment,,,&DB_DIANDONGZUHEFENGFA,&DB_SHEBEICENGYOUDUANHUOSAIFENGDAO
:R:A:ZXN:BAS:DDZF0018,BAS_DDZF,&DB_MD314B06,BASEquipment:BAS_DDZF,BASEquipment,,,&DB_DIANDONGZUHEFENGFA,&DB_SHEBEICENGYOUDUANHUOSAIFENGDAO
:R:A:ZXN:BAS:DDZF0019,BAS_DDZF,&DB_MD314B07,BASEquipment:BAS_DDZF,BASEquipment,,,&DB_DIANDONGZUHEFENGFA,&DB_SHEBEICENGYOUDUANHUOSAIFENGDAO
:R:A:ZXN:BAS:DDZF0020,BAS_DDZF,&DB_MD314B08,BASEquipment:BAS_DDZF,BASEquipment,,,&DB_DIANDONGZUHEFENGFA,&DB_SHEBEICENGYOUDUANHUOSAIFENGDAO
:R:A:ZXN:BAS:DDZF0021,BAS_DDZF,&DB_MD314B09,BASEquipment:BAS_DDZF,BASEquipment,,,&DB_DIANDONGZUHEFENGFA,&DB_ZHANTAIYOUDUANHUOPAIREFENGSHI
