ID,name,address,type,length,deadband,label,ELEMENT_NAME,varInvalid1,functTrans,SubscriptionPeriod,RefreshPeriod,link_object_is_from_object_type
:R:A:POLE_ZXN:FEP:BAS,BAS,,,,,,GRP_VE,,,0,0,
:R:A:POLE_ZXN:FEP:BAS:deiZXNBASTVF_0001-MANAUTO,deiZXNBASTVF_0001-MANAUTO,123/010/00001/0/000001,DEIV,4,0,&DB_TVF314A01-&DB_SUIDAOSHIGUFENGJI,VE,deiZXNSYSFEPBAS-COM,,,,
:R:A:POLE_ZXN:FEP:BAS:deiZXNBASTVF_0001-BASLOC,deiZXNBASTVF_0001-BASLOC,123/010/00001/1/000001,DEIV,4,0,&DB_TVF314A01-&DB_SUIDAOSHIGUFENGJI,VE,deiZXNSYSFEPBAS-COM,,,,
:R:A:POLE_ZXN:FEP:BAS:deiZXNBASTVF_0001-BASECS,deiZXNBASTVF_0001-BASECS,123/010/00001/2/000001,DEIV,4,0,&DB_TVF314A01-&DB_SUIDAOSHIGUFENGJI,VE,deiZXNSYSFEPBAS-COM,,,,
:R:A:POLE_ZXN:FEP:BAS:deiZXNBASTVF_0001-FOWSTA,deiZXNBASTVF_0001-FOWSTA,123/010/00001/3/000001,DEIV,4,0,&DB_TVF314A01-&DB_SUIDAOSHIGUFENGJI,VE,deiZXNSYSFEPBAS-COM,,,,
:R:A:POLE_ZXN:FEP:BAS:deiZXNBASTVF_0001-REVSTA,deiZXNBASTVF_0001-REVSTA,123/010/00001/4/000001,DEIV,4,0,&DB_TVF314A01-&DB_SUIDAOSHIGUFENGJI,VE,deiZXNSYSFEPBAS-COM,,,,
:R:A:POLE_ZXN:FEP:BAS:deiZXNBASTVF_0001-STPSTA,deiZXNBASTVF_0001-STPSTA,123/010/00001/5/000001,DEIV,4,0,&DB_TVF314A01-&DB_SUIDAOSHIGUFENGJI,VE,deiZXNSYSFEPBAS-COM,,,,
:R:A:POLE_ZXN:FEP:BAS:deiZXNBASTVF_0001-FALA,deiZXNBASTVF_0001-FALA,123/010/00001/6/000001,DEIV,4,0,&DB_TVF314A01-&DB_SUIDAOSHIGUFENGJI,VE,deiZXNSYSFEPBAS-COM,,,,
:R:A:POLE_ZXN:FEP:BAS:deiZXNBASTVF_0001-SYSGS,deiZXNBASTVF_0001-SYSGS,123/024/00000/0/000016,DEIV,4,0,&DB_TVF314A01-&DB_SUIDAOSHIGUFENGJI,VE,deiZXNSYSFEPBAS-COM,,,,
:R:A:POLE_ZXN:FEP:BAS:deoZXNBASTVF_0001-MANAUTO,deoZXNBASTVF_0001-MANAUTO,123/200/00000/0/000016,DEOV,4,0,&DB_TVF314A01-&DB_SUIDAOSHIGUFENGJI,VE,,,,,
