ID,__AGGREGATE__,label,link_object_is_from_object_type,ELEMENT_NAME,lk0,lk1,shortLabel,EqtLocation
:R:A:ZXN,,ZXN,,basicNode,,,,
:R:A:ZXN:link_geo_cat,,,,,:R:A:Opm:Definition:Location:ZXN,,,
:R:A:ZXN:CCTV,,CCTV,,basicNode,,,,
:R:A:ZXN:CCTV:link_fct_cat,,,,,:R:A:Opm:Definition:Function:CCTV,,,
:R:A:ZXN:CCTV:SYS_0001,CCTV_SYS_,&DB_SYSSTA,CCTVEquipment:CCTV_SYS_,CCTVEquipment,,,&DB_CCTVXITONGGONGZUOZHUANGTAI,&DB_CCTVSHEBEIJIFANG
:R:A:ZXN:CCTV:FGQ_0001,CCTV_FGQ_,&DB_TERMSTA,CCTVEquipment:CCTV_FGQ_,CCTVEquipment,,,&DB_CAOZUOZHONGDUANZHUANGTAI,&DB_CHEKONGSHI
:R:A:ZXN:CCTV:QCAM0001,CCTV_QCAM,&DB_2,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANACHURUKOULOUTISHANG
:R:A:ZXN:CCTV:QCAM0002,CCTV_QCAM,&DB_3,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANACHURUKOUFUTISHANG
:R:A:ZXN:CCTV:QCAM0003,CCTV_QCAM,&DB_4,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANACHURUKOULOUTIXIA
:R:A:ZXN:CCTV:QCAM0004,CCTV_QCAM,&DB_5,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANACHURUKOUFUTIXIA
:R:A:ZXN:CCTV:QCAM0005,CCTV_QCAM,&DB_6,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANACHURUKOUCHUIZHIDIANTI
:R:A:ZXN:CCTV:QCAM0006,CCTV_QCAM,&DB_8,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANBCHURUKOULOUTISHANG
:R:A:ZXN:CCTV:QCAM0007,CCTV_QCAM,&DB_9,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANBCHURUKOUFUTISHANG
:R:A:ZXN:CCTV:QCAM0008,CCTV_QCAM,&DB_10,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANBCHURUKOULOUTIXIA
:R:A:ZXN:CCTV:QCAM0009,CCTV_QCAM,&DB_11,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANBCHURUKOUFUTIXIA
:R:A:ZXN:CCTV:QCAM0010,CCTV_QCAM,&DB_12,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANZHANTINGXIZHAOMINGPEIDIANJIANMENKOUTONGDA
:R:A:ZXN:CCTV:QCAM0011,CCTV_QCAM,&DB_13,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANXIAOFANGBENGFANGMENKOUTONGDAO
:R:A:ZXN:CCTV:QCAM0012,CCTV_QCAM,&DB_14,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANZONGHEJIANKONGSHI
:R:A:ZXN:CCTV:QCAM0013,CCTV_QCAM,&DB_16,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANAFCPIAOWUSHI2
:R:A:ZXN:CCTV:QCAM0014,CCTV_QCAM,&DB_17,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANAFCPIAOWUSHI3
:R:A:ZXN:CCTV:QCAM0015,CCTV_QCAM,&DB_18,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANGONGANSHEBEISHI
:R:A:ZXN:CCTV:QCAM0016,CCTV_QCAM,&DB_21,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANZHANTINGWEISHENGJIANGONGGONGQU
:R:A:ZXN:CCTV:QCAM0017,CCTV_QCAM,&DB_25,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANZHANTINGXICHUZHAKOU1
:R:A:ZXN:CCTV:QCAM0018,CCTV_QCAM,&DB_26,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANZHANTINGXICHUZHAKOU2
:R:A:ZXN:CCTV:QCAM0019,CCTV_QCAM,&DB_27,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANZHANTINGXISHOUPIAOJI
:R:A:ZXN:CCTV:QCAM0020,CCTV_QCAM,&DB_28,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANZHANTINGXIFEIFUFEIQUGUODAO
:R:A:ZXN:CCTV:QCAM0021,CCTV_QCAM,&DB_29,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANZHANTINGXIANJIANJI
:R:A:ZXN:CCTV:QCAM0022,CCTV_QCAM,&DB_30,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANZHANTINGXIJINZHAKOU1
:R:A:ZXN:CCTV:QCAM0023,CCTV_QCAM,&DB_31,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANZHANTINGXIJINZHAKOU2
:R:A:ZXN:CCTV:QCAM0024,CCTV_QCAM,&DB_32,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANZHANTINGXIXIAXINGFUTISHANG
:R:A:ZXN:CCTV:QCAM0025,CCTV_QCAM,&DB_33,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANZHANTINGXISHANGXINGFUTISHANG
:R:A:ZXN:CCTV:QCAM0026,CCTV_QCAM,&DB_34,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANZHANTINGXIXIAXINGFUTIZHONG
:R:A:ZXN:CCTV:QCAM0027,CCTV_QCAM,&DB_35,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANZHANTINGXISHANGXINGFUTIZHONG
:R:A:ZXN:CCTV:QCAM0028,CCTV_QCAM,&DB_40,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANZHANTINGDONGJINZHAKOU1
:R:A:ZXN:CCTV:QCAM0029,CCTV_QCAM,&DB_41,CCTVEquipment:CCTV_QCAM,CCTVEquipment,,,&DB_QIANGSHISHEXIANGJI,&DB_ZHONGXINGDAQIAONANZHANTINGDONGJINZHAKOU2
