ID,name,address,type,length,deadband,label,ELEMENT_NAME,varInvalid1,functTrans,SubscriptionPeriod,RefreshPeriod,link_object_is_from_object_type
:R:A:POLE_ZXN:FEP:CCTV,CCTV,,,,,,GRP_VE,,,0,0,
:R:A:POLE_ZXN:FEP:CCTV:deiZXNCCTVSYS_0001-WKSTA,deiZXNCCTVSYS_0001-WKSTA,050/010/00001/0/000001,DEIV,4,0,&DB_SYSSTA-&DB_CCTVXITONGGONGZUOZHUANGTAI,VE,deiZXNSYSFEPCCTV-COM,,,,
:R:A:POLE_ZXN:FEP:CCTV:deiZXNCCTVFGQ_0001-WKSTA,deiZXNCCTVFGQ_0001-WKSTA,050/010/00003/0/000001,DEIV,4,0,&DB_TERMSTA-&DB_CAOZUOZHONGDUANZHUANGTAI,VE,deiZXNSYSFEPCCTV-COM,,,,
:R:A:POLE_ZXN:FEP:CCTV:deiZXNCCTVQCAM0001-WKSTA,deiZXNCCTVQCAM0001-WKSTA,050/010/00005/0/000002,DEIV,4,0,&DB_2-&DB_QIANGSHISHEXIANGJI,VE,deiZXNSYSFEPCCTV-COM,,,,
:R:A:POLE_ZXN:FEP:CCTV:deiZXNCCTVQCAM0002-WKSTA,deiZXNCCTVQCAM0002-WKSTA,050/010/00005/2/000002,DEIV,4,0,&DB_3-&DB_QIANGSHISHEXIANGJI,VE,deiZXNSYSFEPCCTV-COM,,,,
:R:A:POLE_ZXN:FEP:CCTV:deiZXNCCTVQCAM0003-WKSTA,deiZXNCCTVQCAM0003-WKSTA,050/010/00005/4/000002,DEIV,4,0,&DB_4-&DB_QIANGSHISHEXIANGJI,VE,deiZXNSYSFEPCCTV-COM,,,,
:R:A:POLE_ZXN:FEP:CCTV:deiZXNCCTVQCAM0004-WKSTA,deiZXNCCTVQCAM0004-WKSTA,050/010/00005/6/000002,DEIV,4,0,&DB_5-&DB_QIANGSHISHEXIANGJI,VE,deiZXNSYSFEPCCTV-COM,,,,
:R:A:POLE_ZXN:FEP:CCTV:deiZXNCCTVQCAM0005-WKSTA,deiZXNCCTVQCAM0005-WKSTA,050/010/00004/0/000002,DEIV,4,0,&DB_6-&DB_QIANGSHISHEXIANGJI,VE,deiZXNSYSFEPCCTV-COM,,,,
:R:A:POLE_ZXN:FEP:CCTV:deiZXNCCTVQCAM0006-WKSTA,deiZXNCCTVQCAM0006-WKSTA,050/010/00004/2/000002,DEIV,4,0,&DB_8-&DB_QIANGSHISHEXIANGJI,VE,deiZXNSYSFEPCCTV-COM,,,,
:R:A:POLE_ZXN:FEP:CCTV:deiZXNCCTVQCAM0007-WKSTA,deiZXNCCTVQCAM0007-WKSTA,050/010/00004/4/000002,DEIV,4,0,&DB_9-&DB_QIANGSHISHEXIANGJI,VE,deiZXNSYSFEPCCTV-COM,,,,
:R:A:POLE_ZXN:FEP:CCTV:deiZXNCCTVQCAM0008-WKSTA,deiZXNCCTVQCAM0008-WKSTA,050/010/00004/6/000002,DEIV,4,0,&DB_10-&DB_QIANGSHISHEXIANGJI,VE,deiZXNSYSFEPCCTV-COM,,,,
:R:A:POLE_ZXN:FEP:CCTV:deiZXNCCTVQCAM0009-WKSTA,deiZXNCCTVQCAM0009-WKSTA,050/010/00007/0/000002,DEIV,4,0,&DB_11-&DB_QIANGSHISHEXIANGJI,VE,deiZXNSYSFEPCCTV-COM,,,,
:R:A:POLE_ZXN:FEP:CCTV:deiZXNCCTVQCAM0010-WKSTA,deiZXNCCTVQCAM0010-WKSTA,050/010/00007/2/000002,DEIV,4,0,&DB_12-&DB_QIANGSHISHEXIANGJI,VE,deiZXNSYSFEPCCTV-COM,,,,
:R:A:POLE_ZXN:FEP:CCTV:deiZXNCCTVQCAM0011-WKSTA,deiZXNCCTVQCAM0011-WKSTA,050/010/00007/4/000002,DEIV,4,0,&DB_13-&DB_QIANGSHISHEXIANGJI,VE,deiZXNSYSFEPCCTV-COM,,,,
:R:A:POLE_ZXN:FEP:CCTV:deiZXNCCTVQCAM0012-WKSTA,deiZXNCCTVQCAM0012-WKSTA,050/010/00007/6/000002,DEIV,4,0,&DB_14-&DB_QIANGSHISHEXIANGJI,VE,deiZXNSYSFEPCCTV-COM,,,,
