ID,__AGGREGATE__,label,link_object_is_from_object_type,ELEMENT_NAME,lk0,lk1,shortLabel,EqtLocation
:R:A:ZXN,,ZXN,,basicNode,,,,
:R:A:ZXN:link_geo_cat,,,,,:R:A:Opm:Definition:Location:ZXN,,,
:R:A:ZXN:DTS,,DTS,,basicNode,,,,
:R:A:ZXN:DTS:link_fct_cat,,,,,:R:A:Opm:Definition:Function:DTS,,,
:R:A:ZXN:DTS:ZJXT0001,DTS_ZJXT,&DB_MA02,basicEquipment:DTS_ZJXT,basicEquipment,,,&DB_ZHUJIXITONG,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:GLTD0001,DTS_GLTD,&DB_C0201,basicEquipment:DTS_GLTD,basicEquipment,,,&DB_GUANGLANTONGDAO,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:GLTD0002,DTS_GLTD,&DB_C0202,basicEquipment:DTS_GLTD,basicEquipment,,,&DB_GUANGLANTONGDAO,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:GLTD0003,DTS_GLTD,&DB_C0203,basicEquipment:DTS_GLTD,basicEquipment,,,&DB_GUANGLANTONGDAO,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:GLTD0004,DTS_GLTD,&DB_C0204,basicEquipment:DTS_GLTD,basicEquipment,,,&DB_GUANGLANTONGDAO,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0001,DTS_FQZT,&DB_A020101,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0002,DTS_FQZT,&DB_A020102,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0003,DTS_FQZT,&DB_A020103,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0004,DTS_FQZT,&DB_A020104,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0005,DTS_FQZT,&DB_A020105,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0006,DTS_FQZT,&DB_A020106,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0007,DTS_FQZT,&DB_A020107,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0008,DTS_FQZT,&DB_A020108,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0009,DTS_FQZT,&DB_A020109,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0010,DTS_FQZT,&DB_A020210,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0011,DTS_FQZT,&DB_A020211,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0012,DTS_FQZT,&DB_A020212,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0013,DTS_FQZT,&DB_A020213,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0014,DTS_FQZT,&DB_A020214,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0015,DTS_FQZT,&DB_A020215,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0016,DTS_FQZT,&DB_A020216,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0017,DTS_FQZT,&DB_A020317,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0018,DTS_FQZT,&DB_A020318,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0019,DTS_FQZT,&DB_A020319,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0020,DTS_FQZT,&DB_A020320,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0021,DTS_FQZT,&DB_A020321,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0022,DTS_FQZT,&DB_A020322,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0023,DTS_FQZT,&DB_A020323,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0024,DTS_FQZT,&DB_A020424,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0025,DTS_FQZT,&DB_A020425,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0026,DTS_FQZT,&DB_A020426,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0027,DTS_FQZT,&DB_A020427,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0028,DTS_FQZT,&DB_A020428,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0029,DTS_FQZT,&DB_A020429,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0030,DTS_FQZT,&DB_A020430,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
:R:A:ZXN:DTS:FQZT0031,DTS_FQZT,&DB_A020431,basicEquipment:DTS_FQZT,basicEquipment,,,&DB_GUANGXIANFENQUZHUANGTA,&DB_ZHONGXINGDAQIAONANZHAN
