ID,name,address,type,length,deadband,label,ELEMENT_NAME,varInvalid1,functTrans,SubscriptionPeriod,RefreshPeriod,link_object_is_from_object_type
:R:A:POLE_ZXN:FEP:DTS,DTS,,,,,,GRP_VE,,,0,0,
:R:A:POLE_ZXN:FEP:DTS:deiZXNDTSZJXT0001-RUNSTA,deiZXNDTSZJXT0001-RUNSTA,035/010/00001/0/000001,DEIV,4,0,&DB_MA02-&DB_ZHUJIXITONG,VE,deiZXNSYSFEPDTS-COM,,,,
:R:A:POLE_ZXN:FEP:DTS:deiZXNDTSZJXT0001-RESSTA,deiZXNDTSZJXT0001-RESSTA,035/010/00003/0/000001,DEIV,4,0,&DB_MA02-&DB_ZHUJIXITONG,VE,deiZXNSYSFEPDTS-COM,,,,
:R:A:POLE_ZXN:FEP:DTS:deiZXNDTSZJXT0001-FIRSTA,deiZXNDTSZJXT0001-FIRSTA,035/010/00005/0/000001,DEIV,4,0,&DB_MA02-&DB_ZHUJIXITONG,VE,deiZXNSYSFEPDTS-COM,,,,
:R:A:POLE_ZXN:FEP:DTS:deiZXNDTSZJXT0001-SYSFLT,deiZXNDTSZJXT0001-SYSFLT,035/010/00007/0/000001,DEIV,4,0,&DB_MA02-&DB_ZHUJIXITONG,VE,deiZXNSYSFEPDTS-COM,,,,
:R:A:POLE_ZXN:FEP:DTS:aeiZXNDTSZJXT0001-SECQUAT,aeiZXNDTSZJXT0001-SECQUAT,035/010/00008/0/000016,AEIV,4,0,&DB_MA02-&DB_ZHUJIXITONG,VE,deiZXNSYSFEPDTS-COM,,,,
:R:A:POLE_ZXN:FEP:DTS:deiZXNDTSGLTD0001-CHANFLT,deiZXNDTSGLTD0001-CHANFLT,035/010/00011/0/000001,DEIV,4,0,&DB_C0201-&DB_GUANGLANTONGDAO,VE,deiZXNSYSFEPDTS-COM,,,,
:R:A:POLE_ZXN:FEP:DTS:aeiZXNDTSGLTD0001-MILE,aeiZXNDTSGLTD0001-MILE,035/010/00012/0/000016,AEIV,4,0,&DB_C0201-&DB_GUANGLANTONGDAO,VE,deiZXNSYSFEPDTS-COM,,,,
:R:A:POLE_ZXN:FEP:DTS:aeiZXNDTSGLTD0001-METER,aeiZXNDTSGLTD0001-METER,035/010/00014/0/000016,AEIV,4,0,&DB_C0201-&DB_GUANGLANTONGDAO,VE,deiZXNSYSFEPDTS-COM,,,,
:R:A:POLE_ZXN:FEP:DTS:deiZXNDTSGLTD0002-CHANFLT,deiZXNDTSGLTD0002-CHANFLT,035/010/00017/0/000001,DEIV,4,0,&DB_C0202-&DB_GUANGLANTONGDAO,VE,deiZXNSYSFEPDTS-COM,,,,
:R:A:POLE_ZXN:FEP:DTS:aeiZXNDTSGLTD0002-MILE,aeiZXNDTSGLTD0002-MILE,035/010/00018/0/000016,AEIV,4,0,&DB_C0202-&DB_GUANGLANTONGDAO,VE,deiZXNSYSFEPDTS-COM,,,,
:R:A:POLE_ZXN:FEP:DTS:aeiZXNDTSGLTD0002-METER,aeiZXNDTSGLTD0002-METER,035/010/00020/0/000016,AEIV,4,0,&DB_C0202-&DB_GUANGLANTONGDAO,VE,deiZXNSYSFEPDTS-COM,,,,
