ID,__AGGREGATE__,label,link_object_is_from_object_type,ELEMENT_NAME,lk0,lk1,shortLabel,EqtLocation
:R:A:ZXN,,ZXN,,basicNode,,,,
:R:A:ZXN:link_geo_cat,,,,,:R:A:Opm:Definition:Location:ZXN,,,
:R:A:ZXN:FAS,,FAS,,basicNode,,,,
:R:A:ZXN:FAS:link_fct_cat,,,,,:R:A:Opm:Definition:Function:FAS,,,
:R:A:ZXN:FAS:CONP0001,FAS_CONP,&DB_L1D000,basicEquipment:FAS_CONP,basicEquipment,,,&DB_FASHUOZAIBAOJINGKONGZHIQI,&DB_CHEKONGSHI
:R:A:ZXN:FAS:SMK_0001,FAS_SMK_,&DB_L1D001,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_CHEZHANKONGZHISHI
:R:A:ZXN:FAS:SMK_0002,FAS_SMK_,&DB_L1D002,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_CHEZHANKONGZHISHI
:R:A:ZXN:FAS:SMK_0003,FAS_SMK_,&DB_L1D003,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_ZHANZHANGSHI
:R:A:ZXN:FAS:SMK_0004,FAS_SMK_,&DB_L1D004,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_ZHANZHANGSHI
:R:A:ZXN:FAS:SMK_0005,FAS_SMK_,&DB_L1D005,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_ZHANWUSHI
:R:A:ZXN:FAS:SMK_0006,FAS_SMK_,&DB_L1D006,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_ZHANWUSHI
:R:A:ZXN:FAS:SMK_0007,FAS_SMK_,&DB_L1D008,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_ZHAOMINGPEIDIANJIAN
:R:A:ZXN:FAS:SMK_0008,FAS_SMK_,&DB_L1D009,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_ZHAOMINGPEIDIANJIAN
:R:A:ZXN:FAS:SMK_0009,FAS_SMK_,&DB_L1D014,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_XIAOFANGBENGFANG
:R:A:ZXN:FAS:SMK_0010,FAS_SMK_,&DB_L1D015,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_XIAOFANGBENGFANG
:R:A:ZXN:FAS:SMK_0011,FAS_SMK_,&DB_L1D016,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_LOUTIQIANSHI
:R:A:ZXN:FAS:SMK_0012,FAS_SMK_,&DB_L1D017,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_LOUTIQIANSHI
:R:A:ZXN:FAS:SMK_0013,FAS_SMK_,&DB_L1D018,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_LOUTIJIAN
:R:A:ZXN:FAS:SMK_0014,FAS_SMK_,&DB_L1D019,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_QINGSAOJIAN
:R:A:ZXN:FAS:SMK_0015,FAS_SMK_,&DB_L1D020,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_QINGSAOJIAN
:R:A:ZXN:FAS:SMK_0016,FAS_SMK_,&DB_L1D021,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_LAJIJIAN
:R:A:ZXN:FAS:SMK_0017,FAS_SMK_,&DB_L1D022,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_LAJIJIAN
:R:A:ZXN:FAS:SMK_0018,FAS_SMK_,&DB_L1D024,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_AFCPIAOWUSHI
:R:A:ZXN:FAS:SMK_0019,FAS_SMK_,&DB_L1D025,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_AFCPIAOWUSHI
:R:A:ZXN:FAS:SMK_0020,FAS_SMK_,&DB_L1D026,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_QIANGDIANLANJING
:R:A:ZXN:FAS:SMK_0021,FAS_SMK_,&DB_L1D027,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_QIANGDIANLANJING
:R:A:ZXN:FAS:SMK_0022,FAS_SMK_,&DB_L1D028,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_RUODIANLANJING
:R:A:ZXN:FAS:SMK_0023,FAS_SMK_,&DB_L1D029,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_RUODIANLANJING
:R:A:ZXN:FAS:SMK_0024,FAS_SMK_,&DB_L1D031,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_GONGANZHIBANSHI
:R:A:ZXN:FAS:SMK_0025,FAS_SMK_,&DB_L1D032,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_GONGANZHIBANSHI
:R:A:ZXN:FAS:SMK_0026,FAS_SMK_,&DB_L1D033,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_CHEZHANKONGZHISHI
:R:A:ZXN:FAS:SMK_0027,FAS_SMK_,&DB_L1D034,basicEquipment:FAS_SMK_,basicEquipment,,,&DB_YANGAN,&DB_CHEZHANKONGZHISHI
:R:A:ZXN:FAS:MCP_0001,FAS_MCP_,&DB_L1B001,basicEquipment:FAS_MCP_,basicEquipment,,,&DB_SHOUDONGBAOJINGANNIU,&DB_SHEBEIQUZOULANG
:R:A:ZXN:FAS:MCP_0002,FAS_MCP_,&DB_L1B002,basicEquipment:FAS_MCP_,basicEquipment,,,&DB_SHOUDONGBAOJINGANNIU,&DB_SHEBEIQUZOULANG
:R:A:ZXN:FAS:MCP_0003,FAS_MCP_,&DB_L1B003,basicEquipment:FAS_MCP_,basicEquipment,,,&DB_SHOUDONGBAOJINGANNIU,&DB_SHEBEIQUZOULANG
:R:A:ZXN:FAS:MCP_0004,FAS_MCP_,&DB_L1B004,basicEquipment:FAS_MCP_,basicEquipment,,,&DB_SHOUDONGBAOJINGANNIU,&DB_ADUANSHEBEIQU
:R:A:ZXN:FAS:MCP_0005,FAS_MCP_,&DB_L1B005,basicEquipment:FAS_MCP_,basicEquipment,,,&DB_SHOUDONGBAOJINGANNIU,&DB_ADUANSHEBEIQU
:R:A:ZXN:FAS:MCP_0006,FAS_MCP_,&DB_L1B006,basicEquipment:FAS_MCP_,basicEquipment,,,&DB_SHOUDONGBAOJINGANNIU,&DB_ADUANSHEBEIQU
:R:A:ZXN:FAS:MCP_0007,FAS_MCP_,&DB_L1B007,basicEquipment:FAS_MCP_,basicEquipment,,,&DB_SHOUDONGBAOJINGANNIU,&DB_ADUANSHEBEIQU
:R:A:ZXN:FAS:HB__0001,FAS_HB__,&DB_L1S002,basicEquipment:FAS_HB__,basicEquipment,,,&DB_XIAOHUOSHUANANNIU,&DB_ZHANTINGCENGADUANSHEBEIQU
:R:A:ZXN:FAS:SRMK0001,FAS_SRMK,&DB_FMS10101,basicEquipment:FAS_SRMK,basicEquipment,,,&DB_SHURUMOKUAI,&DB_ZHANTINGCENGADUANSHEBEIQUFMS101MOKUAIXIANG
:R:A:ZXN:FAS:HB__0002,FAS_HB__,&DB_L1S001,basicEquipment:FAS_HB__,basicEquipment,,,&DB_XIAOHUOSHUANANNIU,&DB_ZHANTINGCENGADUANSHEBEIQU
:R:A:ZXN:FAS:SRMK0002,FAS_SRMK,&DB_FMS10102,basicEquipment:FAS_SRMK,basicEquipment,,,&DB_SHURUMOKUAI,&DB_ZHANTINGCENGADUANSHEBEIQUFMS101MOKUAIXIANG
:R:A:ZXN:FAS:SGBJ0001,FAS_SGBJ,&DB_SGQA101,basicEquipment:FAS_SGBJ,basicEquipment,,,&DB_SHENGGUANGBAOJING,&DB_ZHANTINGCENGADUANSHEBEIQU
:R:A:ZXN:FAS:SCMK0001,FAS_SCMK,&DB_FMS10103,basicEquipment:FAS_SCMK,basicEquipment,,,&DB_SHUCHUMOKUAI,&DB_ZHANTINGCENGADUANSHEBEIQUFMS101MOKUAIXIANG
