ID,name,address,type,length,deadband,label,ELEMENT_NAME,varInvalid1,functTrans,SubscriptionPeriod,RefreshPeriod,link_object_is_from_object_type
:R:A:POLE_ZXN:FEP:FAS,FAS,,,,,,GRP_VE,,,0,0,
:R:A:POLE_ZXN:FEP:FAS:deiZXNFASCONP0001-MANAUTO,deiZXNFASCONP0001-MANAUTO,032/010/00061/0/000001,DEIV,4,0,&DB_L1D000-&DB_FASHUOZAIBAOJINGKONGZH,VE,deiZXNSYSFEPFAS-COM,,,,
:R:A:POLE_ZXN:FEP:FAS:deiZXNFASCONP0001-FIRCON,deiZXNFASCONP0001-FIRCON,032/010/00061/4/000001,DEIV,4,0,&DB_L1D000-&DB_FASHUOZAIBAOJINGKONGZH,VE,deiZXNSYSFEPFAS-COM,,,,
:R:A:POLE_ZXN:FEP:FAS:deiZXNFASCONP0001-SYSSTA,deiZXNFASCONP0001-SYSSTA,032/010/00060/0/000001,DEIV,4,0,&DB_L1D000-&DB_FASHUOZAIBAOJINGKONGZH,VE,deiZXNSYSFEPFAS-COM,,,,
:R:A:POLE_ZXN:FEP:FAS:deiZXNFASCONP0001-POWFLT,deiZXNFASCONP0001-POWFLT,032/010/00060/4/000001,DEIV,4,0,&DB_L1D000-&DB_FASHUOZAIBAOJINGKONGZH,VE,deiZXNSYSFEPFAS-COM,,,,
:R:A:POLE_ZXN:FEP:FAS:deiZXNFASCONP0001-LEARSTA,deiZXNFASCONP0001-LEARSTA,032/010/00063/0/000001,DEIV,4,0,&DB_L1D000-&DB_FASHUOZAIBAOJINGKONGZH,VE,deiZXNSYSFEPFAS-COM,,,,
:R:A:POLE_ZXN:FEP:FAS:deiZXNFASSMK_0001-ALMSTA,deiZXNFASSMK_0001-ALMSTA,032/010/00065/0/000001,DEIV,4,0,&DB_L1D001-&DB_YANGAN,VE,deiZXNSYSFEPFAS-COM,,,,
:R:A:POLE_ZXN:FEP:FAS:deiZXNFASSMK_0001-FLTSTA,deiZXNFASSMK_0001-FLTSTA,032/010/00065/1/000001,DEIV,4,0,&DB_L1D001-&DB_YANGAN,VE,deiZXNSYSFEPFAS-COM,,,,
:R:A:POLE_ZXN:FEP:FAS:deiZXNFASSMK_0002-ALMSTA,deiZXNFASSMK_0002-ALMSTA,032/010/00065/4/000001,DEIV,4,0,&DB_L1D002-&DB_YANGAN,VE,deiZXNSYSFEPFAS-COM,,,,
:R:A:POLE_ZXN:FEP:FAS:deiZXNFASSMK_0002-FLTSTA,deiZXNFASSMK_0002-FLTSTA,032/010/00065/5/000001,DEIV,4,0,&DB_L1D002-&DB_YANGAN,VE,deiZXNSYSFEPFAS-COM,,,,
