ID,__AGGREGATE__,label,link_object_is_from_object_type,ELEMENT_NAME,lk0,lk1,shortLabel,EqtLocation
:R:A:ZXN,,ZXN,,basicNode,,,,
:R:A:ZXN:link_geo_cat,,,,,:R:A:Opm:Definition:Location:ZXN,,,
:R:A:ZXN:PA,,PA,,basicNode,,,,
:R:A:ZXN:PA:link_fct_cat,,,,,:R:A:Opm:Definition:Function:PA,,,
:R:A:ZXN:PA:PAST0001,PA_PAST,&DB_PASTATE,basicEquipment:PA_PAST,basicEquipment,,,&DB_CHEZHANZHUANGTAI,&DB_TONGXINJIFANG
:R:A:ZXN:PA:ZONE0001,PA_ZONE,&DB_XIAXINGZHANTAI,PAZONEEquipment:PA_ZONE,PAZONEEquipment,,,&DB_GUANGBOQUYU,&DB_TONGXINJIFANG
:R:A:ZXN:PA:ZONE0002,PA_ZONE,&DB_SHANGXINGZHANTAI,PAZONEEquipment:PA_ZONE,PAZONEEquipment,,,&DB_GUANGBOQUYU,&DB_TONGXINJIFANG
:R:A:ZXN:PA:ZONE0003,PA_ZONE,&DB_ZHANTINGJICHURUKOU,PAZONEEquipment:PA_ZONE,PAZONEEquipment,,,&DB_GUANGBOQUYU,&DB_TONGXINJIFANG
:R:A:ZXN:PA:ZONE0004,PA_ZONE,&DB_BANGONGQUJISHEBEIYONGFANG,PAZONEEquipment:PA_ZONE,PAZONEEquipment,,,&DB_GUANGBOQUYU,&DB_TONGXINJIFANG
:R:A:ZXN:PA:CTRL0001,PA_CTRL,&DB_PACTRL,basicEquipment:PA_CTRL,basicEquipment,,,&DB_KONGZHICANSHU,&DB_TONGXINJIFANG
