ID,name,address,type,length,deadband,label,ELEMENT_NAME,varInvalid1,functTrans,SubscriptionPeriod,RefreshPeriod,link_object_is_from_object_type
:R:A:POLE_ZXN:FEP:PA,PA,,,,,,GRP_VE,,,0,0,
:R:A:POLE_ZXN:FEP:PA:deiZXNPAPAST0001-OPSTA,deiZXNPAPAST0001-OPSTA,048/010/00001/0/000001,DEIV,4,0,&DB_PASTATE-&DB_CHEZHANZHUANGTAI,VE,deiZXNSYSFEPPA-COM,,,,
:R:A:POLE_ZXN:FEP:PA:deiZXNPAZONE0001-BRODALM,deiZXNPAZONE0001-BRODALM,048/010/00003/0/000001,DEIV,4,0,&DB_XIAXINGZHANTAI-&DB_GUANGBOQUYU,VE,deiZXNSYSFEPPA-COM,,,,
:R:A:POLE_ZXN:FEP:PA:deiZXNPAZONE0001-OCCUSTA,deiZXNPAZONE0001-OCCUSTA,048/010/00003/1/000001,DEIV,4,0,&DB_XIAXINGZHANTAI-&DB_GUANGBOQUYU,VE,deiZXNSYSFEPPA-COM,,,,
:R:A:POLE_ZXN:FEP:PA:deiZXNPAZONE0001-BRODSTA,deiZXNPAZONE0001-BRODSTA,048/010/00003/2/000002,DEIV,4,0,&DB_XIAXINGZHANTAI-&DB_GUANGBOQUYU,VE,deiZXNSYSFEPPA-COM,,,,
:R:A:POLE_ZXN:FEP:PA:deiZXNPAZONE0001-LISSTA,deiZXNPAZONE0001-LISSTA,048/010/00003/4/000001,DEIV,4,0,&DB_XIAXINGZHANTAI-&DB_GUANGBOQUYU,VE,deiZXNSYSFEPPA-COM,,,,
:R:A:POLE_ZXN:FEP:PA:aeiZXNPAZONE0001-PRIORITY,aeiZXNPAZONE0001-PRIORITY,048/010/00002/0/000008,AEIV,4,0,&DB_XIAXINGZHANTAI-&DB_GUANGBOQUYU,VE,deiZXNSYSFEPPA-COM,,,,
:R:A:POLE_ZXN:FEP:PA:aeiZXNPAZONE0001-AUDIO,aeiZXNPAZONE0001-AUDIO,048/010/00004/0/000016,AEIV,4,0,&DB_XIAXINGZHANTAI-&DB_GUANGBOQUYU,VE,deiZXNSYSFEPPA-COM,,,,
:R:A:POLE_ZXN:FEP:PA:deiZXNPAZONE0002-BRODALM,deiZXNPAZONE0002-BRODALM,048/010/00007/0/000001,DEIV,4,0,&DB_SHANGXINGZHANTAI-&DB_GUANGBOQUYU,VE,deiZXNSYSFEPPA-COM,,,,
:R:A:POLE_ZXN:FEP:PA:deiZXNPAZONE0002-OCCUSTA,deiZXNPAZONE0002-OCCUSTA,048/010/00007/1/000001,DEIV,4,0,&DB_SHANGXINGZHANTAI-&DB_GUANGBOQUYU,VE,deiZXNSYSFEPPA-COM,,,,
