ID,name,address,type,length,deadband,label,ELEMENT_NAME,varInvalid1,functTrans,SubscriptionPeriod,RefreshPeriod,link_object_is_from_object_type
:R:A:POLE_ZXN:FEP:PIS,PIS,,,,,,GRP_VE,,,0,0,
:R:A:POLE_ZXN:FEP:PIS:deiZXNPISZSTA0001-SELSTHAL,deiZXNPISZSTA0001-SELSTHAL,049/010/00017/0/000001,DEIV,4,0,&DB_AREASTA-&DB_XUANQUZHUANGTAI,VE,deiZXNSYSFEPPIS-COM,,,,
:R:A:POLE_ZXN:FEP:PIS:deiZXNPISZSTA0001-SELUPPF,deiZXNPISZSTA0001-SELUPPF,049/010/00017/1/000001,DEIV,4,0,&DB_AREASTA-&DB_XUANQUZHUANGTAI,VE,deiZXNSYSFEPPIS-COM,,,,
:R:A:POLE_ZXN:FEP:PIS:deiZXNPISZSTA0001-SELDNPF,deiZXNPISZSTA0001-SELDNPF,049/010/00017/2/000001,DEIV,4,0,&DB_AREASTA-&DB_XUANQUZHUANGTAI,VE,deiZXNSYSFEPPIS-COM,,,,
:R:A:POLE_ZXN:FEP:PIS:deiZXNPISZSTA0001-SELENEX,deiZXNPISZSTA0001-SELENEX,049/010/00017/3/000001,DEIV,4,0,&DB_AREASTA-&DB_XUANQUZHUANGTAI,VE,deiZXNSYSFEPPIS-COM,,,,
:R:A:POLE_ZXN:FEP:PIS:deiZXNPISLCDC0001-PCTLSTA,deiZXNPISLCDC0001-PCTLSTA,049/010/00019/0/000001,DEIV,4,0,&DB_LCD1-&DB_LCDBOFANGKONGZHIQI,VE,deiZXNSYSFEPPIS-COM,,,,
:R:A:POLE_ZXN:FEP:PIS:deoZXNPISLCDC0001-SWTCTL,deoZXNPISLCDC0001-SWTCTL,049/051/00000/0/000001,DEOV,4,0,&DB_LCD1-&DB_LCDBOFANGKONGZHIQI,VE,,,,,
:R:A:POLE_ZXN:FEP:PIS:deiZXNPISLCDC0002-PCTLSTA,deiZXNPISLCDC0002-PCTLSTA,049/010/00019/1/000001,DEIV,4,0,&DB_LCD2-&DB_LCDBOFANGKONGZHIQI,VE,deiZXNSYSFEPPIS-COM,,,,
:R:A:POLE_ZXN:FEP:PIS:deoZXNPISLCDC0002-SWTCTL,deoZXNPISLCDC0002-SWTCTL,049/051/00000/1/000001,DEOV,4,0,&DB_LCD2-&DB_LCDBOFANGKONGZHIQI,VE,,,,,
:R:A:POLE_ZXN:FEP:PIS:deiZXNPISLCDC0003-PCTLSTA,deiZXNPISLCDC0003-PCTLSTA,049/010/00019/2/000001,DEIV,4,0,&DB_LCD3-&DB_LCDBOFANGKONGZHIQI,VE,deiZXNSYSFEPPIS-COM,,,,
:R:A:POLE_ZXN:FEP:PIS:deoZXNPISLCDC0003-SWTCTL,deoZXNPISLCDC0003-SWTCTL,049/051/00000/2/000001,DEOV,4,0,&DB_LCD3-&DB_LCDBOFANGKONGZHIQI,VE,,,,,
:R:A:POLE_ZXN:FEP:PIS:seoZXNPISSMSG0001-MESSAGE,seoZXNPISSMSG0001-MESSAGE,049/050/00000/0/001856,SEOV,256,0,&DB_MSGSEND-&DB_CHEZHANXINXIFASONG,VE,,,,,
