ID,name,address,type,length,deadband,label,ELEMENT_NAME,varInvalid1,functTrans,SubscriptionPeriod,RefreshPeriod,link_object_is_from_object_type
:R:A:POLE_QHB:FEP:PSCADA,PSCADA,,,,,,GRP_VE,,,0,0,
:R:A:POLE_QHB:FEP:PSCADA:aeiQHBPSCADAAJXG0001-CURA,aeiQHBPSCADAAJXG0001-CURA,160/020/00000/0/000032,AEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:aeiQHBPSCADAAJXG0001-CURB,aeiQHBPSCADAAJXG0001-CURB,160/020/00004/0/000032,AEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:aeiQHBPSCADAAJXG0001-CURC,aeiQHBPSCADAAJXG0001-CURC,160/020/00008/0/000032,AEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:aeiQHBPSCADAAJXG0001-ZEOSECUIO,aeiQHBPSCADAAJXG0001-ZEOSECUIO,160/020/00012/0/000032,AEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:aeiQHBPSCADAAJXG0001-UAB,aeiQHBPSCADAAJXG0001-UAB,160/020/00016/0/000032,AEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:aeiQHBPSCADAAJXG0001-UBC,aeiQHBPSCADAAJXG0001-UBC,160/020/00020/0/000032,AEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:aeiQHBPSCADAAJXG0001-UCA,aeiQHBPSCADAAJXG0001-UCA,160/020/00024/0/000032,AEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:aeiQHBPSCADAAJXG0001-ACTPOW,aeiQHBPSCADAAJXG0001-ACTPOW,160/020/00028/0/000032,AEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:aeiQHBPSCADAAJXG0001-REAPOW,aeiQHBPSCADAAJXG0001-REAPOW,160/020/00032/0/000032,AEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:aeiQHBPSCADAAJXG0001-POWFACT,aeiQHBPSCADAAJXG0001-POWFACT,160/020/00036/0/000032,AEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:deiQHBPSCADAAJXG0001-CITBRDIV,deiQHBPSCADAAJXG0001-CITBRDIV,160/002/00000/0/000001,DEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:deiQHBPSCADAAJXG0001-CITBRCLO,deiQHBPSCADAAJXG0001-CITBRCLO,160/002/00001/0/000001,DEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:deiQHBPSCADAAJXG0001-TIOVPRTR,deiQHBPSCADAAJXG0001-TIOVPRTR,160/002/00002/0/000001,DEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:deiQHBPSCADAAJXG0001-TIZEFPRT,deiQHBPSCADAAJXG0001-TIZEFPRT,160/002/00003/0/000001,DEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:deiQHBPSCADAAJXG0001-PTTCIBRAL,deiQHBPSCADAAJXG0001-PTTCIBRAL,160/002/00004/0/000001,DEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:deiQHBPSCADAAJXG0001-LOWGAPRAL,deiQHBPSCADAAJXG0001-LOWGAPRAL,160/002/00005/0/000001,DEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:deiQHBPSCADAAJXG0001-ABOFTRCI,deiQHBPSCADAAJXG0001-ABOFTRCI,160/002/00006/0/000001,DEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:deiQHBPSCADAAJXG0001-OPOFCIBR,deiQHBPSCADAAJXG0001-OPOFCIBR,160/002/00007/0/000001,DEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:deiQHBPSCADAAJXG0001-FITHPCOP,deiQHBPSCADAAJXG0001-FITHPCOP,160/002/00011/0/000001,DEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:deiQHBPSCADAAJXG0001-DI1SCHARGE,deiQHBPSCADAAJXG0001-DI1SCHARGE,160/002/00012/0/000001,DEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:deiQHBPSCADAAJXG0001-PTBPOSTA,deiQHBPSCADAAJXG0001-PTBPOSTA,160/002/00013/0/000001,DEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:deiQHBPSCADAAJXG0001-CAEVOSTA,deiQHBPSCADAAJXG0001-CAEVOSTA,160/002/00014/0/000001,DEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:deiQHBPSCADAAJXG0001-MAACTOSI,deiQHBPSCADAAJXG0001-MAACTOSI,160/002/00015/0/000001,DEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:deiQHBPSCADAAJXG0001-CLGCOARAV,deiQHBPSCADAAJXG0001-CLGCOARAV,160/002/00016/0/000001,DEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:deiQHBPSCADAAJXG0001-BNORMALB,deiQHBPSCADAAJXG0001-BNORMALB,160/002/00017/0/000001,DEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:deiQHBPSCADAAJXG0001-ABOFDIDE,deiQHBPSCADAAJXG0001-ABOFDIDE,160/002/00018/0/000001,DEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
:R:A:POLE_QHB:FEP:PSCADA:deiQHBPSCADAAJXG0001-MCBTRALA,deiQHBPSCADAAJXG0001-MCBTRALA,160/002/00019/0/000001,DEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiQHBSYSFEPPSCADA-COM,,,,
