ID,lk0
:R:A:QHB:PSCADA:AJXG0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:QHB:PSCADA:GLKG0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:QHB:PSCADA:BHFG0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:QHB:PSCADA:BHFG0002:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:QHB:PSCADA:AJXG0002:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:QHB:PSCADA:GLKG0002:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:QHB:PSCADA:BHFG0003:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:QHB:PSCADA:BHFG0004:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:QHB:PSCADA:ACXG0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:QHB:PSCADA:GLKG0003:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:QHB:PSCADA:BHFG0005:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:QHB:PSCADA:BHFG0006:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:QHB:PSCADA:ACXG0002:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:QHB:PSCADA:GLKG0004:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:QHB:PSCADA:BHFG0007:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:QHB:PSCADA:BHFG0008:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:QHB:PSCADA:APDB0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:QHB:PSCADA:GLKG0005:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
