ID,name,address,type,length,deadband,label,ELEMENT_NAME,varInvalid1,functTrans,SubscriptionPeriod,RefreshPeriod,link_object_is_from_object_type
:R:A:POLE_ZXN:FEP:PSCADA,PSCADA,,,,,,GRP_VE,,,0,0,
:R:A:POLE_ZXN:FEP:PSCADA:aeiZXNPSCADAAJXG0001-CURA,aeiZXNPSCADAAJXG0001-CURA,160/020/00000/0/000032,AEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiZXNSYSFEPPSCADA-COM,,,,
:R:A:POLE_ZXN:FEP:PSCADA:aeiZXNPSCADAAJXG0001-CURB,aeiZXNPSCADAAJXG0001-CURB,160/020/00004/0/000032,AEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiZXNSYSFEPPSCADA-COM,,,,
:R:A:POLE_ZXN:FEP:PSCADA:aeiZXNPSCADAAJXG0001-CURC,aeiZXNPSCADAAJXG0001-CURC,160/020/00008/0/000032,AEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiZXNSYSFEPPSCADA-COM,,,,
:R:A:POLE_ZXN:FEP:PSCADA:aeiZXNPSCADAAJXG0001-ZEOSECUIO,aeiZXNPSCADAAJXG0001-ZEOSECUIO,160/020/00012/0/000032,AEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiZXNSYSFEPPSCADA-COM,,,,
:R:A:POLE_ZXN:FEP:PSCADA:aeiZXNPSCADAAJXG0001-UAB,aeiZXNPSCADAAJXG0001-UAB,160/020/00016/0/000032,AEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiZXNSYSFEPPSCADA-COM,,,,
:R:A:POLE_ZXN:FEP:PSCADA:aeiZXNPSCADAAJXG0001-UBC,aeiZXNPSCADAAJXG0001-UBC,160/020/00020/0/000032,AEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiZXNSYSFEPPSCADA-COM,,,,
:R:A:POLE_ZXN:FEP:PSCADA:aeiZXNPSCADAAJXG0001-UCA,aeiZXNPSCADAAJXG0001-UCA,160/020/00024/0/000032,AEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiZXNSYSFEPPSCADA-COM,,,,
:R:A:POLE_ZXN:FEP:PSCADA:aeiZXNPSCADAAJXG0001-ACTPOW,aeiZXNPSCADAAJXG0001-ACTPOW,160/020/00028/0/000032,AEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiZXNSYSFEPPSCADA-COM,,,,
:R:A:POLE_ZXN:FEP:PSCADA:aeiZXNPSCADAAJXG0001-REAPOW,aeiZXNPSCADAAJXG0001-REAPOW,160/020/00032/0/000032,AEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiZXNSYSFEPPSCADA-COM,,,,
:R:A:POLE_ZXN:FEP:PSCADA:aeiZXNPSCADAAJXG0001-POWFACT,aeiZXNPSCADAAJXG0001-POWFACT,160/020/00036/0/000032,AEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiZXNSYSFEPPSCADA-COM,,,,
:R:A:POLE_ZXN:FEP:PSCADA:deiZXNPSCADAAJXG0001-CITBRDIV,deiZXNPSCADAAJXG0001-CITBRDIV,160/002/00000/0/000001,DEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiZXNSYSFEPPSCADA-COM,,,,
:R:A:POLE_ZXN:FEP:PSCADA:deiZXNPSCADAAJXG0001-CITBRCLO,deiZXNPSCADAAJXG0001-CITBRCLO,160/002/00001/0/000001,DEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiZXNSYSFEPPSCADA-COM,,,,
:R:A:POLE_ZXN:FEP:PSCADA:deiZXNPSCADAAJXG0001-TIOVPRTR,deiZXNPSCADAAJXG0001-TIOVPRTR,160/002/00002/0/000001,DEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiZXNSYSFEPPSCADA-COM,,,,
:R:A:POLE_ZXN:FEP:PSCADA:deiZXNPSCADAAJXG0001-TIZEFPRT,deiZXNPSCADAAJXG0001-TIZEFPRT,160/002/00003/0/000001,DEIV,4,0,&DB_301-&DB_35KVJINXIANGUIDUANLUQI,VE,deiZXNSYSFEPPSCADA-COM,,,,
