ID,lk0
:R:A:ZXN:PSCADA:AJXG0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:GLKG0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:BHFG0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:BHFG0002:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:AJXG0002:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:GLKG0002:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:BHFG0003:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:BHFG0004:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:ACXG0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:GLKG0003:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:BHFG0005:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:BHFG0006:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:ACXG0002:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:GLKG0004:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:BHFG0007:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:BHFG0008:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:APDB0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:GLKG0005:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:BHFG0009:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:APDB0002:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:GLKG0006:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:BHFG0010:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:ABZT0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:AMLG0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:GLKG0007:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:GLKG0008:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:BHFG0011:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-35
:R:A:ZXN:PSCADA:WDWG0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:ZXN:PSCADA:GDFG0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:ZXN:PSCADA:BWKQ0001:link_fct_cat,:R:A:Opm:Definition:Function:POW
:R:A:ZXN:PSCADA:BWKQ0002:link_fct_cat,:R:A:Opm:Definition:Function:POW
:R:A:ZXN:PSCADA:DJLP0001:link_fct_cat,:R:A:Opm:Definition:Function:POW
:R:A:ZXN:PSCADA:DZLP0001:link_fct_cat,:R:A:Opm:Definition:Function:POW
:R:A:ZXN:PSCADA:TXZT0001:link_fct_cat,:R:A:Opm:Definition:Function:POW
:R:A:ZXN:PSCADA:KZQX0001:link_fct_cat,:R:A:Opm:Definition:Function:POW
:R:A:ZXN:PSCADA:DPHU0001:link_fct_cat,:R:A:Opm:Definition:Function:POW
:R:A:ZXN:PSCADA:LVIA0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-400
:R:A:ZXN:PSCADA:LVSC0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-400
:R:A:ZXN:PSCADA:LVIA0002:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-400
:R:A:ZXN:PSCADA:LVSC0002:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-400
:R:A:ZXN:PSCADA:LVCA0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-400
:R:A:ZXN:PSCADA:LVSC0003:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-400
:R:A:ZXN:PSCADA:YYLB0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-400
:R:A:ZXN:PSCADA:YYLB0002:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-400
:R:A:ZXN:PSCADA:ZMZJ0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-400
:R:A:ZXN:PSCADA:XKG10001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-400
:R:A:ZXN:PSCADA:XKG10002:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-400
:R:A:ZXN:PSCADA:XKG10003:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-400
:R:A:ZXN:PSCADA:XKG10004:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-400
:R:A:ZXN:PSCADA:XKG10005:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-400
:R:A:ZXN:PSCADA:XKG10006:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-400
:R:A:ZXN:PSCADA:XKG10007:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-400
:R:A:ZXN:PSCADA:XKG10008:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-400
