ID,__AGGREGATE__,label,link_object_is_from_object_type,ELEMENT_NAME,lk0,lk1,shortLabel,EqtLocation
:R:A:ZXN,,ZXN,,basicNode,,,,
:R:A:ZXN:link_geo_cat,,,,,:R:A:Opm:Definition:Location:ZXN,,,
:R:A:ZXN:PSCADA,,PSCADA,,basicNode,,,,
:R:A:ZXN:PSCADA:link_fct_cat,,,,,:R:A:Opm:Definition:Function:POW,,,
:R:A:ZXN:PSCADA:AJXG0001,PSCADA_AJXG,&DB_301,POWEquipment:PSCADA_AJXG,POWEquipment,,,&DB_35KVJINXIANGUIDUANLUQI,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:GLKG0001,PSCADA_GLKG,&DB_3011,POWEquipment:PSCADA_GLKG,POWEquipment,,,&DB_SANGONGWEIGELIKAIGUAN,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:BHFG0001,PSCADA_BHFG,&DB_301ZHUBAOHU,POWEquipment:PSCADA_BHFG,POWEquipment,,,&DB_BAOHUFUGUI,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:BHFG0002,PSCADA_BHFG,&DB_301CHADONGBAOHU,POWEquipment:PSCADA_BHFG,POWEquipment,,,&DB_BAOHUFUGUI,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:AJXG0002,PSCADA_AJXG,&DB_302,POWEquipment:PSCADA_AJXG,POWEquipment,,,&DB_35KVJINXIANGUIDUANLUQI,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:GLKG0002,PSCADA_GLKG,&DB_3021,POWEquipment:PSCADA_GLKG,POWEquipment,,,&DB_SANGONGWEIGELIKAIGUAN,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:BHFG0003,PSCADA_BHFG,&DB_302ZHUBAOHU,POWEquipment:PSCADA_BHFG,POWEquipment,,,&DB_BAOHUFUGUI,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:BHFG0004,PSCADA_BHFG,&DB_302CHADONGBAOHU,POWEquipment:PSCADA_BHFG,POWEquipment,,,&DB_BAOHUFUGUI,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:ACXG0001,PSCADA_ACXG,&DB_303,POWEquipment:PSCADA_ACXG,POWEquipment,,,&DB_35KVCHUXIANGUIDUANLUQI,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:GLKG0003,PSCADA_GLKG,&DB_3031,POWEquipment:PSCADA_GLKG,POWEquipment,,,&DB_SANGONGWEIGELIKAIGUAN,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:BHFG0005,PSCADA_BHFG,&DB_303ZHUBAOHU,POWEquipment:PSCADA_BHFG,POWEquipment,,,&DB_BAOHUFUGUI,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:BHFG0006,PSCADA_BHFG,&DB_303CHADONGBAOHU,POWEquipment:PSCADA_BHFG,POWEquipment,,,&DB_BAOHUFUGUI,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:ACXG0002,PSCADA_ACXG,&DB_304,POWEquipment:PSCADA_ACXG,POWEquipment,,,&DB_35KVCHUXIANGUIDUANLUQI,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:GLKG0004,PSCADA_GLKG,&DB_3041,POWEquipment:PSCADA_GLKG,POWEquipment,,,&DB_SANGONGWEIGELIKAIGUAN,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:BHFG0007,PSCADA_BHFG,&DB_304ZHUBAOHU,POWEquipment:PSCADA_BHFG,POWEquipment,,,&DB_BAOHUFUGUI,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:BHFG0008,PSCADA_BHFG,&DB_304CHADONGBAOHU,POWEquipment:PSCADA_BHFG,POWEquipment,,,&DB_BAOHUFUGUI,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:APDB0001,PSCADA_APDB,&DB_311,POWEquipment:PSCADA_APDB,POWEquipment,,,&DB_35KVPEIDIANBIANKUIXIAN,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:GLKG0005,PSCADA_GLKG,&DB_3111,POWEquipment:PSCADA_GLKG,POWEquipment,,,&DB_SANGONGWEIGELIKAIGUAN,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:BHFG0009,PSCADA_BHFG,&DB_311FG,POWEquipment:PSCADA_BHFG,POWEquipment,,,&DB_BAOHUFUGUI,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:APDB0002,PSCADA_APDB,&DB_312,POWEquipment:PSCADA_APDB,POWEquipment,,,&DB_35KVPEIDIANBIANKUIXIAN,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:GLKG0006,PSCADA_GLKG,&DB_3121,POWEquipment:PSCADA_GLKG,POWEquipment,,,&DB_SANGONGWEIGELIKAIGUAN,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:BHFG0010,PSCADA_BHFG,&DB_312FG,POWEquipment:PSCADA_BHFG,POWEquipment,,,&DB_BAOHUFUGUI,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:ABZT0001,PSCADA_ABZT,&DB_300BZT,POWEquipment:PSCADA_ABZT,POWEquipment,,,&DB_35KVMULIANBEIZITOU,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:AMLG0001,PSCADA_AMLG,&DB_300,POWEquipment:PSCADA_AMLG,POWEquipment,,,&DB_35KVMULIANGUIDUANLUQI,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:GLKG0007,PSCADA_GLKG,&DB_3001,POWEquipment:PSCADA_GLKG,POWEquipment,,,&DB_SANGONGWEIGELIKAIGUAN,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:GLKG0008,PSCADA_GLKG,&DB_3002,POWEquipment:PSCADA_GLKG,POWEquipment,,,&DB_SANGONGWEIGELIKAIGUAN,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:BHFG0011,PSCADA_BHFG,&DB_300FG,POWEquipment:PSCADA_BHFG,POWEquipment,,,&DB_BAOHUFUGUI,&DB_35KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:WDWG0001,PSCADA_WDWG,&DB_NPM,POWEquipment:PSCADA_WDWG,POWEquipment,,,&DB_GUIDIANWEIGUI,&DB_BIANDIANSUO
:R:A:ZXN:PSCADA:GDFG0001,PSCADA_GDFG,&DB_NPMFG,POWEquipment:PSCADA_GDFG,POWEquipment,,,&DB_GUIDIANWEIFUGUI,&DB_BIANDIANSUO
:R:A:ZXN:PSCADA:BWKQ0001,PSCADA_BWKQ,&DB_DT1,POWEquipment:PSCADA_BWKQ,POWEquipment,,,&DB_BIANYAQIWENKONGQI,&DB_04KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:BWKQ0002,PSCADA_BWKQ,&DB_DT2,POWEquipment:PSCADA_BWKQ,POWEquipment,,,&DB_BIANYAQIWENKONGQI,&DB_04KVKAIGUANGUISHI
:R:A:ZXN:PSCADA:DJLP0001,PSCADA_DJLP,&DB_ADP,POWEquipment:PSCADA_DJLP,POWEquipment,,,&DB_JIAOLIUPING,&DB_BIANDIANSUO
:R:A:ZXN:PSCADA:DZLP0001,PSCADA_DZLP,&DB_DDP,POWEquipment:PSCADA_DZLP,POWEquipment,,,&DB_ZHILIUPING,&DB_BIANDIANSUO
:R:A:ZXN:PSCADA:TXZT0001,PSCADA_TXZT,&DB_JIAOZHILIUPING,POWEquipment:PSCADA_TXZT,POWEquipment,,,&DB_TONGXINZHUANGTAI,&DB_BIANDIANSUO
:R:A:ZXN:PSCADA:KZQX0001,PSCADA_KZQX,&DB_QXWZ,POWEquipment:PSCADA_KZQX,POWEquipment,,,&DB_PSCADAKONGZHIQUANXIANW,&DB_BIANDIANSUO
:R:A:ZXN:PSCADA:DPHU0001,PSCADA_DPHU,&DB_CP,POWEquipment:PSCADA_DPHU,POWEquipment,,,&DB_JIANGYASUOKONGZHIXINHA,&DB_BIANDIANSUO
:R:A:ZXN:PSCADA:LVIA0001,PSCADA_LVIA,&DB_401,POWEquipment:PSCADA_LVIA,POWEquipment,,,&DB_04KVJINXIANDUANLUQI,&DB_04KVKAIGUANGUISHI
