ID,__AGGREGATE__,label,link_object_is_from_object_type,ELEMENT_NAME,lk0,lk1,shortLabel,EqtLocation
:R:A:ZXN,,ZXN,,basicNode,,,,
:R:A:ZXN:link_geo_cat,,,,,:R:A:Opm:Definition:Location:ZXN,,,
:R:A:ZXN:PSD,,PSD,,basicNode,,,,
:R:A:ZXN:PSD:link_fct_cat,,,,,:R:A:Opm:Definition:Function:PSD,,,
:R:A:ZXN:PSD:PPS_0001,PSD_PPS_,&DB_1011,basicEquipment:PSD_PPS_,basicEquipment,,,&DB_DIANYUANXITONG,&DB_PSDSHEBEISHI
:R:A:ZXN:PSD:MMS_0001,PSD_MMS_,&DB_2011,basicEquipment:PSD_MMS_,basicEquipment,,,&DB_XIANCHANGZONGXIAN,&DB_PSDSHEBEISHI
:R:A:ZXN:PSD:ZPSD0001,PSD_ZPSD,&DB_13011,basicEquipment:PSD_ZPSD,basicEquipment,,,&DB_PINGBIMENXITONG,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:MSD_0001,PSD_MSD_,&DB_14011,basicEquipment:PSD_MSD_,basicEquipment,,,&DB_ZHANTAIDUANMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:MSD_0002,PSD_MSD_,&DB_14021,basicEquipment:PSD_MSD_,basicEquipment,,,&DB_ZHANTAIDUANMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:PSL_0001,PSD_PSL_,&DB_15011,basicEquipment:PSD_PSL_,basicEquipment,,,&DB_JIUDIKONGZHIPAN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZEED0001,PSD_ZEED,&DB_16011,basicEquipment:PSD_ZEED,basicEquipment,,,&DB_YINGJIMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZEED0002,PSD_ZEED,&DB_16021,basicEquipment:PSD_ZEED,basicEquipment,,,&DB_YINGJIMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZEED0003,PSD_ZEED,&DB_16031,basicEquipment:PSD_ZEED,basicEquipment,,,&DB_YINGJIMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZEED0004,PSD_ZEED,&DB_16041,basicEquipment:PSD_ZEED,basicEquipment,,,&DB_YINGJIMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZEED0005,PSD_ZEED,&DB_16051,basicEquipment:PSD_ZEED,basicEquipment,,,&DB_YINGJIMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZEED0006,PSD_ZEED,&DB_16061,basicEquipment:PSD_ZEED,basicEquipment,,,&DB_YINGJIMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZIBP0001,PSD_ZIBP,&DB_17021,basicEquipment:PSD_ZIBP,basicEquipment,,,&DB_ZONGHEHOUBEIPAN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZLSR0001,PSD_ZLSR,&DB_17031,basicEquipment:PSD_ZLSR,basicEquipment,,,&DB_JIGUANGTANCEQI,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZASD0001,PSD_ZASD,&DB_18011,basicEquipment:PSD_ZASD,basicEquipment,,,&DB_HUADONGMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZASD0002,PSD_ZASD,&DB_18021,basicEquipment:PSD_ZASD,basicEquipment,,,&DB_HUADONGMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZASD0003,PSD_ZASD,&DB_18031,basicEquipment:PSD_ZASD,basicEquipment,,,&DB_HUADONGMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZASD0004,PSD_ZASD,&DB_18041,basicEquipment:PSD_ZASD,basicEquipment,,,&DB_HUADONGMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZASD0005,PSD_ZASD,&DB_18051,basicEquipment:PSD_ZASD,basicEquipment,,,&DB_HUADONGMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZASD0006,PSD_ZASD,&DB_18061,basicEquipment:PSD_ZASD,basicEquipment,,,&DB_HUADONGMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZASD0007,PSD_ZASD,&DB_18071,basicEquipment:PSD_ZASD,basicEquipment,,,&DB_HUADONGMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZASD0008,PSD_ZASD,&DB_18081,basicEquipment:PSD_ZASD,basicEquipment,,,&DB_HUADONGMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZASD0009,PSD_ZASD,&DB_18091,basicEquipment:PSD_ZASD,basicEquipment,,,&DB_HUADONGMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZASD0010,PSD_ZASD,&DB_18101,basicEquipment:PSD_ZASD,basicEquipment,,,&DB_HUADONGMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZASD0011,PSD_ZASD,&DB_18111,basicEquipment:PSD_ZASD,basicEquipment,,,&DB_HUADONGMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZASD0012,PSD_ZASD,&DB_18121,basicEquipment:PSD_ZASD,basicEquipment,,,&DB_HUADONGMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZASD0013,PSD_ZASD,&DB_18131,basicEquipment:PSD_ZASD,basicEquipment,,,&DB_HUADONGMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZASD0014,PSD_ZASD,&DB_18141,basicEquipment:PSD_ZASD,basicEquipment,,,&DB_HUADONGMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZASD0015,PSD_ZASD,&DB_18151,basicEquipment:PSD_ZASD,basicEquipment,,,&DB_HUADONGMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZASD0016,PSD_ZASD,&DB_18161,basicEquipment:PSD_ZASD,basicEquipment,,,&DB_HUADONGMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZASD0017,PSD_ZASD,&DB_18171,basicEquipment:PSD_ZASD,basicEquipment,,,&DB_HUADONGMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZASD0018,PSD_ZASD,&DB_18181,basicEquipment:PSD_ZASD,basicEquipment,,,&DB_HUADONGMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZASD0019,PSD_ZASD,&DB_18191,basicEquipment:PSD_ZASD,basicEquipment,,,&DB_HUADONGMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZASD0020,PSD_ZASD,&DB_18201,basicEquipment:PSD_ZASD,basicEquipment,,,&DB_HUADONGMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZASD0021,PSD_ZASD,&DB_18211,basicEquipment:PSD_ZASD,basicEquipment,,,&DB_HUADONGMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZASD0022,PSD_ZASD,&DB_18221,basicEquipment:PSD_ZASD,basicEquipment,,,&DB_HUADONGMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZASD0023,PSD_ZASD,&DB_18231,basicEquipment:PSD_ZASD,basicEquipment,,,&DB_HUADONGMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZASD0024,PSD_ZASD,&DB_18241,basicEquipment:PSD_ZASD,basicEquipment,,,&DB_HUADONGMEN,&DB_SHANGXINGZHANTAICE
:R:A:ZXN:PSD:ZPSD0002,PSD_ZPSD,&DB_23011,basicEquipment:PSD_ZPSD,basicEquipment,,,&DB_PINGBIMENXITONG,&DB_XIAXINGZHANTAICE
:R:A:ZXN:PSD:MSD_0003,PSD_MSD_,&DB_24011,basicEquipment:PSD_MSD_,basicEquipment,,,&DB_ZHANTAIDUANMEN,&DB_XIAXINGZHANTAICE
:R:A:ZXN:PSD:MSD_0004,PSD_MSD_,&DB_24021,basicEquipment:PSD_MSD_,basicEquipment,,,&DB_ZHANTAIDUANMEN,&DB_XIAXINGZHANTAICE
