ID,name,address,type,length,deadband,label,ELEMENT_NAME,varInvalid1,functTrans,SubscriptionPeriod,RefreshPeriod,link_object_is_from_object_type
:R:A:POLE_ZXN:FEP:PSD,PSD,,,,,,GRP_VE,,,0,0,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDPPS_0001-DPFLTALM,deiZXNPSDPPS_0001-DPFLTALM,033/010/00001/0/000001,DEIV,4,0,&DB_1011-&DB_DIANYUANXITONG,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDPPS_0001-CTLFLTALM,deiZXNPSDPPS_0001-CTLFLTALM,033/010/00001/1/000001,DEIV,4,0,&DB_1011-&DB_DIANYUANXITONG,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDPPS_0001-MBUSALM,deiZXNPSDPPS_0001-MBUSALM,033/010/00001/2/000001,DEIV,4,0,&DB_1011-&DB_DIANYUANXITONG,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDMMS_0001-FBUSALM,deiZXNPSDMMS_0001-FBUSALM,033/010/00001/3/000001,DEIV,4,0,&DB_2011-&DB_XIANCHANGZONGXIAN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZPSD0001-CLOSEDR,deiZXNPSDZPSD0001-CLOSEDR,033/010/00003/0/000001,DEIV,4,0,&DB_13011-&DB_PINGBIMENXITONG,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZPSD0001-OPNFLT,deiZXNPSDZPSD0001-OPNFLT,033/010/00003/1/000001,DEIV,4,0,&DB_13011-&DB_PINGBIMENXITONG,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZPSD0001-CLOFLT,deiZXNPSDZPSD0001-CLOFLT,033/010/00003/2/000001,DEIV,4,0,&DB_13011-&DB_PINGBIMENXITONG,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZPSD0001-AUTOOPN,deiZXNPSDZPSD0001-AUTOOPN,033/010/00003/3/000001,DEIV,4,0,&DB_13011-&DB_PINGBIMENXITONG,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZPSD0001-AUTOCLO,deiZXNPSDZPSD0001-AUTOCLO,033/010/00003/4/000001,DEIV,4,0,&DB_13011-&DB_PINGBIMENXITONG,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZPSD0001-CTLSYSALM,deiZXNPSDZPSD0001-CTLSYSALM,033/010/00003/5/000001,DEIV,4,0,&DB_13011-&DB_PINGBIMENXITONG,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZPSD0001-SITEFLT,deiZXNPSDZPSD0001-SITEFLT,033/010/00003/6/000001,DEIV,4,0,&DB_13011-&DB_PINGBIMENXITONG,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDMSD_0001-SITEALM,deiZXNPSDMSD_0001-SITEALM,033/010/00005/0/000001,DEIV,4,0,&DB_14011-&DB_ZHANTAIDUANMEN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDMSD_0001-SITEOT,deiZXNPSDMSD_0001-SITEOT,033/010/00005/1/000001,DEIV,4,0,&DB_14011-&DB_ZHANTAIDUANMEN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDMSD_0002-SITEALM,deiZXNPSDMSD_0002-SITEALM,033/010/00005/2/000001,DEIV,4,0,&DB_14021-&DB_ZHANTAIDUANMEN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDMSD_0002-SITEOT,deiZXNPSDMSD_0002-SITEOT,033/010/00005/3/000001,DEIV,4,0,&DB_14021-&DB_ZHANTAIDUANMEN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDPSL_0001-PSLALM,deiZXNPSDPSL_0001-PSLALM,033/010/00005/4/000001,DEIV,4,0,&DB_15011-&DB_JIUDIKONGZHIPAN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDPSL_0001-LCOPALOW,deiZXNPSDPSL_0001-LCOPALOW,033/010/00005/5/000001,DEIV,4,0,&DB_15011-&DB_JIUDIKONGZHIPAN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDPSL_0001-OPNCOMD,deiZXNPSDPSL_0001-OPNCOMD,033/010/00005/6/000001,DEIV,4,0,&DB_15011-&DB_JIUDIKONGZHIPAN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDPSL_0001-CLOCOMD,deiZXNPSDPSL_0001-CLOCOMD,033/010/00005/7/000001,DEIV,4,0,&DB_15011-&DB_JIUDIKONGZHIPAN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZEED0001-EDOPNALM,deiZXNPSDZEED0001-EDOPNALM,033/010/00007/0/000001,DEIV,4,0,&DB_16011-&DB_YINGJIMEN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZEED0002-EDOPNALM,deiZXNPSDZEED0002-EDOPNALM,033/010/00007/1/000001,DEIV,4,0,&DB_16021-&DB_YINGJIMEN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZEED0003-EDOPNALM,deiZXNPSDZEED0003-EDOPNALM,033/010/00007/2/000001,DEIV,4,0,&DB_16031-&DB_YINGJIMEN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZEED0004-EDOPNALM,deiZXNPSDZEED0004-EDOPNALM,033/010/00007/3/000001,DEIV,4,0,&DB_16041-&DB_YINGJIMEN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZEED0005-EDOPNALM,deiZXNPSDZEED0005-EDOPNALM,033/010/00007/4/000001,DEIV,4,0,&DB_16051-&DB_YINGJIMEN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZEED0006-EDOPNALM,deiZXNPSDZEED0006-EDOPNALM,033/010/00007/5/000001,DEIV,4,0,&DB_16061-&DB_YINGJIMEN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZIBP0001-ECTLALLOW,deiZXNPSDZIBP0001-ECTLALLOW,033/010/00009/0/000001,DEIV,4,0,&DB_17021-&DB_ZONGHEHOUBEIPAN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZIBP0001-IBPOPNCMD,deiZXNPSDZIBP0001-IBPOPNCMD,033/010/00009/1/000001,DEIV,4,0,&DB_17021-&DB_ZONGHEHOUBEIPAN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZIBP0001-IBPCLOCMD,deiZXNPSDZIBP0001-IBPCLOCMD,033/010/00009/2/000001,DEIV,4,0,&DB_17021-&DB_ZONGHEHOUBEIPAN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZIBP0001-IBPOPNSCMD,deiZXNPSDZIBP0001-IBPOPNSCMD,033/010/00009/3/000001,DEIV,4,0,&DB_17021-&DB_ZONGHEHOUBEIPAN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZLSR0001-LDETFLT,deiZXNPSDZLSR0001-LDETFLT,033/010/00009/4/000001,DEIV,4,0,&DB_17031-&DB_JIGUANGTANCEQI,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZLSR0001-LDETALM,deiZXNPSDZLSR0001-LDETALM,033/010/00009/5/000001,DEIV,4,0,&DB_17031-&DB_JIGUANGTANCEQI,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZASD0001-SLDCLOSTA,deiZXNPSDZASD0001-SLDCLOSTA,033/010/00017/0/000001,DEIV,4,0,&DB_18011-&DB_HUADONGMEN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZASD0001-SLDOPNSTA,deiZXNPSDZASD0001-SLDOPNSTA,033/010/00017/1/000001,DEIV,4,0,&DB_18011-&DB_HUADONGMEN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZASD0001-GATEALM,deiZXNPSDZASD0001-GATEALM,033/010/00017/2/000001,DEIV,4,0,&DB_18011-&DB_HUADONGMEN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZASD0001-MOTORALM,deiZXNPSDZASD0001-MOTORALM,033/010/00017/3/000001,DEIV,4,0,&DB_18011-&DB_HUADONGMEN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZASD0001-ISOSTA,deiZXNPSDZASD0001-ISOSTA,033/010/00017/4/000001,DEIV,4,0,&DB_18011-&DB_HUADONGMEN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZASD0001-MANUSTA,deiZXNPSDZASD0001-MANUSTA,033/010/00017/5/000001,DEIV,4,0,&DB_18011-&DB_HUADONGMEN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZASD0001-AUTOSTA,deiZXNPSDZASD0001-AUTOSTA,033/010/00017/6/000001,DEIV,4,0,&DB_18011-&DB_HUADONGMEN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZASD0001-LLLSALM,deiZXNPSDZASD0001-LLLSALM,033/010/00017/7/000001,DEIV,4,0,&DB_18011-&DB_HUADONGMEN,VE,deiZXNSYSFEPPSD-COM,,,,
:R:A:POLE_ZXN:FEP:PSD:deiZXNPSDZASD0002-SLDCLOSTA,deiZXNPSDZASD0002-SLDCLOSTA,033/010/00019/0/000001,DEIV,4,0,&DB_18021-&DB_HUADONGMEN,VE,deiZXNSYSFEPPSD-COM,,,,
