ID,name,address,type,length,deadband,label,ELEMENT_NAME,varInvalid1,functTrans,SubscriptionPeriod,RefreshPeriod,link_object_is_from_object_type
:R:A:POLE_ZXN:FEP:UPS,UPS,,,,,,GRP_VE,,,0,0,
:R:A:POLE_ZXN:FEP:UPS:aeiZXNUPSYUPS0001-BATVOLT,aeiZXNUPSYUPS0001-BATVOLT,112/010/00000/4/000016,AEIV,4,0,&DB_UPS-&DB_SANXIANGUPS,VE,deiZXNSYSFEPUPS-COM,tfLIN 0.1 0.0,,,
:R:A:POLE_ZXN:FEP:UPS:aeiZXNUPSYUPS0001-BATCUR,aeiZXNUPSYUPS0001-BATCUR,112/010/00000/5/000016,AEIV,4,0,&DB_UPS-&DB_SANXIANGUPS,VE,deiZXNSYSFEPUPS-COM,tfLIN 0.1 0.0,,,
:R:A:POLE_ZXN:FEP:UPS:aeiZXNUPSYUPS0001-BATTEMP,aeiZXNUPSYUPS0001-BATTEMP,112/010/00000/6/000016,AEIV,4,0,&DB_UPS-&DB_SANXIANGUPS,VE,deiZXNSYSFEPUPS-COM,,,,
:R:A:POLE_ZXN:FEP:UPS:aeiZXNUPSYUPS0001-INPPHS,aeiZXNUPSYUPS0001-INPPHS,112/010/00001/0/000016,AEIV,4,0,&DB_UPS-&DB_SANXIANGUPS,VE,deiZXNSYSFEPUPS-COM,,,,
:R:A:POLE_ZXN:FEP:UPS:aeiZXNUPSYUPS0001-IPTVOLTA,aeiZXNUPSYUPS0001-IPTVOLTA,112/010/00001/1/000016,AEIV,4,0,&DB_UPS-&DB_SANXIANGUPS,VE,deiZXNSYSFEPUPS-COM,,,,
:R:A:POLE_ZXN:FEP:UPS:aeiZXNUPSYUPS0001-IPTVOLTB,aeiZXNUPSYUPS0001-IPTVOLTB,112/010/00001/2/000016,AEIV,4,0,&DB_UPS-&DB_SANXIANGUPS,VE,deiZXNSYSFEPUPS-COM,,,,
:R:A:POLE_ZXN:FEP:UPS:aeiZXNUPSYUPS0001-IPTVOLTC,aeiZXNUPSYUPS0001-IPTVOLTC,112/010/00001/3/000016,AEIV,4,0,&DB_UPS-&DB_SANXIANGUPS,VE,deiZXNSYSFEPUPS-COM,,,,
:R:A:POLE_ZXN:FEP:UPS:aeiZXNUPSYUPS0001-IPTCURA,aeiZXNUPSYUPS0001-IPTCURA,112/010/00001/4/000016,AEIV,4,0,&DB_UPS-&DB_SANXIANGUPS,VE,deiZXNSYSFEPUPS-COM,tfLIN 0.1 0.0,,,
:R:A:POLE_ZXN:FEP:UPS:aeiZXNUPSYUPS0001-IPTCURB,aeiZXNUPSYUPS0001-IPTCURB,112/010/00001/5/000016,AEIV,4,0,&DB_UPS-&DB_SANXIANGUPS,VE,deiZXNSYSFEPUPS-COM,tfLIN 0.1 0.0,,,
