ID,v0,v1,v2,v3,v4,v5,v6,v7
:R:A:ASD:ASD_:dciFAS-HRFLTSTA:dal:V_valueTable_format,0,0,0,0,0,__ERASE__,__ERASE__,__ERASE__
:R:A:ASD:ASD_:dciFAS-HRFLTSTA:dal:V_valueTable_label,&DB_NORMAL,&DB_YUJI,&DB_XING,&DB_HUOJING1,&DB_HUOJ,__ERASE__,__ERASE__,__ERASE__
:R:A:ASD:ASD_:dciFAS-HRFLTSTA:dal:V_valueTable_severity,0,2,2,1,1,__ERASE__,__ERASE__,__ERASE__
:R:A:ASD:ASD_:dciFAS-HRFLTSTA:dal:V_valueTable_state,N,A,A,A,A,__ERASE__,__ERASE__,__ERASE__
:R:A:ASD:ASD_:dciFAS-HRFLTSTA:dal:V_valueTable_value,0,1,2,3,4,__ERASE__,__ERASE__,__ERASE__
:R:A:ASD:ASD_:dciASD-FLTASTA:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:ASD:ASD_:dciASD-FLTASTA:dal:V_valueTable_label,&DB_NORMAL,&DB_GUZH,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:ASD:ASD_:dciASD-FLTASTA:dal:V_valueTable_severity,0,3,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:ASD:ASD_:dciASD-FLTASTA:dal:V_valueTable_state,N,A,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:ASD:ASD_:dciASD-FLTASTA:dal:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:ASD:ASD_:dciASD-FLTLSTA:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:ASD:ASD_:dciASD-FLTLSTA:dal:V_valueTable_label,&DB_NORMAL,&DB_GUZH,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:ASD:ASD_:dciASD-FLTLSTA:dal:V_valueTable_severity,0,3,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:ASD:ASD_:dciASD-FLTLSTA:dal:V_valueTable_state,N,A,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:ASD:ASD_:dciASD-FLTLSTA:dal:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:ASD:ASD_:dciASD-FLTHSTA:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:ASD:ASD_:dciASD-FLTHSTA:dal:V_valueTable_label,&DB_WUYI,&DB_GUZH,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:ASD:ASD_:dciASD-FLTHSTA:dal:V_valueTable_severity,0,3,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:ASD:ASD_:dciASD-FLTHSTA:dal:V_valueTable_state,N,A,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:ASD:ASD_:dciASD-FLTHSTA:dal:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
