322,&DB_322
3221,&DB_3221
322FG,&DB_322FG
322BJ,&DB_322BJ
324,&DB_324
3241,&DB_3241
324FG,&DB_324FG
324BJ,&DB_324BJ
RCB,&DB_RCB
2011,&DB_2011
ND1,&DB_ND1
ND1FG,&DB_ND1FG
2021,&DB_2021
ND2,&DB_ND2
ND2FG,&DB_ND2FG
2111,&DB_2111
2131,&DB_2131
2113,&DB_2113
2121,&DB_2121
2141,&DB_2141
2124,&DB_2124
DZG,&DB_DZG
TT1,&DB_TT1
TT2,&DB_TT2
RT1,&DB_RT1
RT2,&DB_RT2
201SC,&DB_201SC
201FG,&DB_201FG
202SC,&DB_202SC
202,&DB_202
202FG,&DB_202FG
211SC,&DB_211SC
211,&DB_211
211FG,&DB_211FG
212SC,&DB_212SC
212,&DB_212
212FG,&DB_212FG
213SC,&DB_213SC
213,&DB_213
213FG,&DB_213FG
214SC,&DB_214SC
214,&DB_214
214FG,&DB_214FG
215SC,&DB_215SC
215,&DB_215
钱湖北路站,&DB_QIANHUBEILUZHAN
C01,&DB_C01
C02,&DB_C02
C03,&DB_C03
C04,&DB_C04
C05,&DB_C05
C06,&DB_C06
C07,&DB_C07
C08,&DB_C08
C09,&DB_C09
C10,&DB_C10
C11,&DB_C11
C12,&DB_C12
C13,&DB_C13
C14,&DB_C14
仇毕站,&DB_CHOUBIZHAN
C15,&DB_C15
C16,&DB_C16
C17,&DB_C17
C18,&DB_C18
C19,&DB_C19
C20,&DB_C20
C21,&DB_C21
C22,&DB_C22
C23,&DB_C23
C24,&DB_C24
C25,&DB_C25
C26,&DB_C26
A端应急电源EPS柜（主）,&DB_ADUANYINGJIDIANYUANEPSGUIZHU
A端区间正常照明总箱（主）,&DB_ADUANQUJIANZHENGCHANGZHAOMINGZONGXIANGZHU
B端应急电源EPS柜(备),&DB_BDUANYINGJIDIANYUANEPSGUIBEI
B端区间正常照明总箱(备),&DB_BDUANQUJIANZHENGCHANGZHAOMINGZONGXIANGBEI
A端站厅照明总箱1,&DB_ADUANZHANTINGZHAOMINGZONGXIANG1
A端站厅设备房照明,&DB_ADUANZHANTINGSHEBEIFANGZHAOMING
B端站厅照明总箱1,&DB_BDUANZHANTINGZHAOMINGZONGXIANG1
A端站台设备房照明,&DB_ADUANZHANTAISHEBEIFANGZHAOMING
A端站台照明总箱1,&DB_ADUANZHANTAIZHAOMINGZONGXIANG1
B端站台照明总箱1,&DB_BDUANZHANTAIZHAOMINGZONGXIANG1
1号风井雨水泵(主),&DB_1HAOFENGJINGYUSHUIBENGZHU
A端站厅一级小配电箱(主),&DB_ADUANZHANTINGYIJIXIAOPEIDIANXIANGZHU
AFC设备室(主),&DB_AFCSHEBEISHIZHU
公安通信(备),&DB_GONGANTONGXINBEI
车控室(备),&DB_CHEKONGSHIBEI
A端环控一级负荷(备),&DB_ADUANHUANKONGYIJIFUHEBEI
消防泵(主),&DB_XIAOFANGBENGZHU
A端气体灭火(主),&DB_ADUANQITIMIEHUOZHU
专用通信(主),&DB_ZHUANYONGTONGXINZHU
2号风井雨水泵(备),&DB_2HAOFENGJINGYUSHUIBENGBEI
综合监控(备),&DB_ZONGHEJIANKONGBEI
B端环控一级负荷(备),&DB_BDUANHUANKONGYIJIFUHEBEI
LF3-7,&DB_LF37
B端气体灭火(备),&DB_BDUANQITIMIEHUOBEI
B端站厅一级小配电箱(备),&DB_BDUANZHANTINGYIJIXIAOPEIDIANXIANGBEI
民用通信(备),&DB_MINYONGTONGXINBEI
信号(主),&DB_XINHAOZHU
A端站台升站厅扶梯(主),&DB_ADUANZHANTAISHENGZHANTINGFUTIZHU
A端环控一级负荷(主),&DB_ADUANHUANKONGYIJIFUHEZHU
A端站台气体灭火(备),&DB_ADUANZHANTAIQITIMIEHUOBEI
B端站台升站厅扶梯(备),&DB_BDUANZHANTAISHENGZHANTINGFUTIBEI
废水泵(备),&DB_FEISHUIBENGBEI
变电所所用屏(备),&DB_BIANDIANSUOSUOYONGPINGBEI
站台门(主),&DB_ZHANTAIMENZHU
B端环控一级负荷(主),&DB_BDUANHUANKONGYIJIFUHEZHU
C出入口扶梯,&DB_CCHURUKOUFUTI
A端站厅二级小配电箱,&DB_ADUANZHANTINGERJIXIAOPEIDIANXIANG
变电所检修,&DB_BIANDIANSUOJIANXIU
A端下行区间检修电源箱,&DB_ADUANXIAXINGQUJIANJIANXIUDIANYUANXIANG
A端环控二级负荷,&DB_ADUANHUANKONGERJIFUHE
LF6-7,&DB_LF67
D出入口电梯,&DB_DCHURUKOUDIANTI
B端下行区间检修电源箱,&DB_BDUANXIAXINGQUJIANJIANXIUDIANYUANXIANG
A端站厅三级小配电箱,&DB_ADUANZHANTINGSANJIXIAOPEIDIANXIANG
A端站台广告照明,&DB_ADUANZHANTAIGUANGGAOZHAOMING
A端站厅广告照明,&DB_ADUANZHANTINGGUANGGAOZHAOMING
A端环控三级负荷1,&DB_ADUANHUANKONGSANJIFUHE1
冷水机组1,&DB_LENGSHUIJIZU1
B端站台广告照明,&DB_BDUANZHANTAIGUANGGAOZHAOMING
B端站厅三级小配电箱,&DB_BDUANZHANTINGSANJIXIAOPEIDIANXIANG
B端站厅广告照明,&DB_BDUANZHANTINGGUANGGAOZHAOMING
A端环控三级负荷2,&DB_ADUANHUANKONGSANJIFUHE2
冷水机组2,&DB_LENGSHUIJIZU2
LF9-6,&DB_LF96
污水泵,&DB_WUSHUIBENG
B端上行区间检修电源箱,&DB_BDUANSHANGXINGQUJIANJIANXIUDIANYUANXIANG
B端站台二级小配电箱,&DB_BDUANZHANTAIERJIXIAOPEIDIANXIANG
B端站台三级小配电箱,&DB_BDUANZHANTAISANJIXIAOPEIDIANXIANG
D出入口扶梯,&DB_DCHURUKOUFUTI
B端站厅二级小配电箱,&DB_BDUANZHANTINGERJIXIAOPEIDIANXIANG
站台升站厅电梯,&DB_ZHANTAISHENGZHANTINGDIANTI
A端上行区间检修电源箱,&DB_ADUANSHANGXINGQUJIANJIANXIUDIANYUANXIANG
B端环控二级负荷,&DB_BDUANHUANKONGERJIFUHE
A端站台气体灭火(主),&DB_ADUANZHANTAIQITIMIEHUOZHU
B端站台升站厅扶梯(主),&DB_BDUANZHANTAISHENGZHANTINGFUTIZHU
废水泵(主),&DB_FEISHUIBENGZHU
变电所所用屏(主),&DB_BIANDIANSUOSUOYONGPINGZHU
B端气体灭火(主),&DB_BDUANQITIMIEHUOZHU
B端站厅一级小配电箱(主),&DB_BDUANZHANTINGYIJIXIAOPEIDIANXIANGZHU
民用通信(主),&DB_MINYONGTONGXINZHU
信号(备),&DB_XINHAOBEI
消防泵(备),&DB_XIAOFANGBENGBEI
A端气体灭火(备),&DB_ADUANQITIMIEHUOBEI
专用通信(备),&DB_ZHUANYONGTONGXINBEI
2号风井雨水泵(主),&DB_2HAOFENGJINGYUSHUIBENGZHU
综合监控(主),&DB_ZONGHEJIANKONGZHU
LF14-7,&DB_LF147
1号风井雨水泵(备),&DB_1HAOFENGJINGYUSHUIBENGBEI
A端站厅一级小配电箱(备),&DB_ADUANZHANTINGYIJIXIAOPEIDIANXIANGBEI
AFC设备室(备),&DB_AFCSHEBEISHIBEI
公安通信(主),&DB_GONGANTONGXINZHU
车控室(主),&DB_CHEKONGSHIZHU
A端应急电源EPS柜（备）,&DB_ADUANYINGJIDIANYUANEPSGUIBEI
A端区间正常照明总箱（备）,&DB_ADUANQUJIANZHENGCHANGZHAOMINGZONGXIANGBEI
B端应急电源EPS柜(主),&DB_BDUANYINGJIDIANYUANEPSGUIZHU
B端区间正常照明总箱(主),&DB_BDUANQUJIANZHENGCHANGZHAOMINGZONGXIANGZHU
A端站厅照明总箱2,&DB_ADUANZHANTINGZHAOMINGZONGXIANG2
B端站厅设备房照明,&DB_BDUANZHANTINGSHEBEIFANGZHAOMING
